constraint_id,timestep,a_x,a_y,b,ego_x,ego_y,obs_x,obs_y,scenario_id
0,0,-0.970143,-0.242536,-2.523106,0.000000,0.000000,4.000000,1.000000,0
1,1,-0.968091,-0.250598,-2.475135,0.100000,0.000000,3.951382,0.996962,0
2,2,-0.965627,-0.259930,-2.426164,0.200000,0.000000,3.901287,0.996323,0
3,3,-0.962701,-0.270567,-2.374112,0.300000,0.000000,3.847844,0.997123,0
4,4,-0.959724,-0.280944,-2.318260,0.400000,0.000000,3.792021,0.992960,0
5,5,-0.956468,-0.291837,-2.258336,0.500000,0.000000,3.732960,0.986439,0
6,6,-0.952846,-0.303454,-2.197292,0.600000,0.000000,3.673485,0.978818,0
7,7,-0.948611,-0.316445,-2.140628,0.700000,0.000000,3.618496,0.973575,0
8,8,-0.943244,-0.332101,-2.081865,0.800000,0.000000,3.561130,0.972149,0
9,9,-0.936800,-0.349864,-2.015391,0.900000,0.000000,3.497064,0.969918,0
10,10,-0.928801,-0.370580,-1.943774,1.000000,0.000000,3.428789,0.969056,0
11,0,-0.970143,-0.242536,-2.523106,0.000000,0.000000,4.000000,1.000000,1
12,1,-0.967853,-0.251515,-2.477614,0.100000,0.000000,3.952858,1.001238,1
13,2,-0.964946,-0.262450,-2.434956,0.200000,0.000000,3.907289,1.008324,1
14,3,-0.960917,-0.276837,-2.388613,0.300000,0.000000,3.855717,1.024392,1
15,4,-0.956130,-0.292942,-2.340145,0.400000,0.000000,3.801618,1.042196,1
16,5,-0.950811,-0.309770,-2.296449,0.500000,0.000000,3.752767,1.059738,1
17,6,-0.944853,-0.327494,-2.254566,0.600000,0.000000,3.706350,1.076688,1
18,7,-0.938388,-0.345584,-2.212097,0.700000,0.000000,3.660826,1.090395,1
19,8,-0.931043,-0.364911,-2.166876,0.800000,0.000000,3.613650,1.102775,1
20,9,-0.922253,-0.386588,-2.116701,0.900000,0.000000,3.562243,1.115953,1
21,10,-0.911306,-0.411729,-2.065227,1.000000,0.000000,3.509665,1.133870,1
22,0,-0.970143,-0.242536,-2.523106,0.000000,0.000000,4.000000,1.000000,2
23,1,-0.967841,-0.251563,-2.475156,0.100000,0.000000,3.950432,1.000810,2
24,2,-0.965561,-0.260177,-2.428354,0.200000,0.000000,3.903160,0.997840,2
25,3,-0.963400,-0.268067,-2.383397,0.300000,0.000000,3.859164,0.990342,2
26,4,-0.960924,-0.276813,-2.341116,0.400000,0.000000,3.817762,0.984555,2
27,5,-0.957981,-0.286833,-2.306403,0.500000,0.000000,3.783395,0.983094,2
28,6,-0.954533,-0.298105,-2.278127,0.600000,0.000000,3.755121,0.985359,2
29,7,-0.950754,-0.309945,-2.246901,0.700000,0.000000,3.724705,0.986051,2
30,8,-0.946867,-0.321624,-2.206725,0.800000,0.000000,3.687217,0.980707,2
31,9,-0.942960,-0.332905,-2.161440,0.900000,0.000000,3.646632,0.969678,2
32,10,-0.938518,-0.345229,-2.118247,1.000000,0.000000,3.608827,0.959643,2
33,0,-0.970143,-0.242536,-2.523106,0.000000,0.000000,4.000000,1.000000,3
34,1,-0.967782,-0.251791,-2.476682,0.100000,0.000000,3.951678,1.002103,3
35,2,-0.964847,-0.262814,-2.432641,0.200000,0.000000,3.904694,1.009118,3
36,3,-0.961363,-0.275285,-2.388358,0.300000,0.000000,3.856994,1.018540,3
37,4,-0.957286,-0.289144,-2.347113,0.400000,0.000000,3.811956,1.030566,3
38,5,-0.952149,-0.305635,-2.306720,0.500000,0.000000,3.766486,1.048524,3
39,6,-0.945474,-0.325698,-2.259366,0.600000,0.000000,3.712578,1.072224,3
40,7,-0.936818,-0.349816,-2.206908,0.700000,0.000000,3.652042,1.102317,3
41,8,-0.925980,-0.377573,-2.152322,0.800000,0.000000,3.588624,1.137074,3
42,9,-0.912662,-0.408714,-2.093558,0.900000,0.000000,3.521314,1.173894,3
43,10,-0.896064,-0.443924,-2.031937,1.000000,0.000000,3.451518,1.214520,3
44,0,-0.970143,-0.242536,-2.523106,0.000000,0.000000,4.000000,1.000000,4
45,1,-0.967788,-0.251768,-2.472904,0.100000,0.000000,3.948045,1.001060,4
46,2,-0.964710,-0.263314,-2.424473,0.200000,0.000000,3.896316,1.008898,4
47,3,-0.960807,-0.277220,-2.383915,0.300000,0.000000,3.850827,1.024513,4
48,4,-0.956160,-0.292846,-2.348947,0.400000,0.000000,3.810128,1.044429,4
49,5,-0.950735,-0.310004,-2.313375,0.500000,0.000000,3.768635,1.065796,4
50,6,-0.944504,-0.328499,-2.272045,0.600000,0.000000,3.721910,1.085801,4
51,7,-0.937413,-0.348221,-2.228630,0.700000,0.000000,3.673886,1.104709,4
52,8,-0.929419,-0.369025,-2.184503,0.800000,0.000000,3.626334,1.122194,4
53,9,-0.920367,-0.391056,-2.138753,0.900000,0.000000,3.578657,1.138140,4
54,10,-0.910646,-0.413188,-2.094290,1.000000,0.000000,3.534914,1.150168,4
