num_scenarios,dimension,horizon,epsilon_effective,epsilon_required,beta
10,30,5,6.921034,0.050000,0.010000
15,30,5,4.614023,0.050000,0.010000
20,30,5,3.460517,0.050000,0.010000
25,30,5,2.768414,0.050000,0.010000
30,30,5,2.307011,0.050000,0.010000
35,30,5,1.977438,0.050000,0.010000
40,30,5,1.730259,0.050000,0.010000
45,30,5,1.538008,0.050000,0.010000
50,30,5,1.384207,0.050000,0.010000
55,30,5,1.258370,0.050000,0.010000
60,30,5,1.153506,0.050000,0.010000
65,30,5,1.064774,0.050000,0.010000
70,30,5,0.988719,0.050000,0.010000
75,30,5,0.922805,0.050000,0.010000
80,30,5,0.865129,0.050000,0.010000
85,30,5,0.814239,0.050000,0.010000
90,30,5,0.769004,0.050000,0.010000
95,30,5,0.728530,0.050000,0.010000
100,30,5,0.692103,0.050000,0.010000
105,30,5,0.659146,0.050000,0.010000
110,30,5,0.629185,0.050000,0.010000
115,30,5,0.601829,0.050000,0.010000
120,30,5,0.576753,0.050000,0.010000
125,30,5,0.553683,0.050000,0.010000
130,30,5,0.532387,0.050000,0.010000
135,30,5,0.512669,0.050000,0.010000
140,30,5,0.494360,0.050000,0.010000
145,30,5,0.477313,0.050000,0.010000
150,30,5,0.461402,0.050000,0.010000
155,30,5,0.446518,0.050000,0.010000
160,30,5,0.432565,0.050000,0.010000
165,30,5,0.419457,0.050000,0.010000
170,30,5,0.407120,0.050000,0.010000
175,30,5,0.395488,0.050000,0.010000
180,30,5,0.384502,0.050000,0.010000
185,30,5,0.374110,0.050000,0.010000
190,30,5,0.364265,0.050000,0.010000
195,30,5,0.354925,0.050000,0.010000
200,30,5,0.346052,0.050000,0.010000
205,30,5,0.337611,0.050000,0.010000
210,30,5,0.329573,0.050000,0.010000
215,30,5,0.321909,0.050000,0.010000
220,30,5,0.314592,0.050000,0.010000
225,30,5,0.307602,0.050000,0.010000
230,30,5,0.300915,0.050000,0.010000
235,30,5,0.294512,0.050000,0.010000
240,30,5,0.288376,0.050000,0.010000
245,30,5,0.282491,0.050000,0.010000
250,30,5,0.276841,0.050000,0.010000
255,30,5,0.271413,0.050000,0.010000
260,30,5,0.266194,0.050000,0.010000
265,30,5,0.261171,0.050000,0.010000
270,30,5,0.256335,0.050000,0.010000
275,30,5,0.251674,0.050000,0.010000
280,30,5,0.247180,0.050000,0.010000
285,30,5,0.242843,0.050000,0.010000
290,30,5,0.238656,0.050000,0.010000
295,30,5,0.234611,0.050000,0.010000
300,30,5,0.230701,0.050000,0.010000
305,30,5,0.226919,0.050000,0.010000
310,30,5,0.223259,0.050000,0.010000
315,30,5,0.219715,0.050000,0.010000
320,30,5,0.216282,0.050000,0.010000
325,30,5,0.212955,0.050000,0.010000
330,30,5,0.209728,0.050000,0.010000
335,30,5,0.206598,0.050000,0.010000
340,30,5,0.203560,0.050000,0.010000
345,30,5,0.200610,0.050000,0.010000
350,30,5,0.197744,0.050000,0.010000
355,30,5,0.194959,0.050000,0.010000
360,30,5,0.192251,0.050000,0.010000
365,30,5,0.189617,0.050000,0.010000
370,30,5,0.187055,0.050000,0.010000
375,30,5,0.184561,0.050000,0.010000
380,30,5,0.182132,0.050000,0.010000
385,30,5,0.179767,0.050000,0.010000
390,30,5,0.177462,0.050000,0.010000
395,30,5,0.175216,0.050000,0.010000
400,30,5,0.173026,0.050000,0.010000
405,30,5,0.170890,0.050000,0.010000
410,30,5,0.168806,0.050000,0.010000
415,30,5,0.166772,0.050000,0.010000
420,30,5,0.164787,0.050000,0.010000
425,30,5,0.162848,0.050000,0.010000
430,30,5,0.160954,0.050000,0.010000
435,30,5,0.159104,0.050000,0.010000
440,30,5,0.157296,0.050000,0.010000
445,30,5,0.155529,0.050000,0.010000
450,30,5,0.153801,0.050000,0.010000
455,30,5,0.152111,0.050000,0.010000
460,30,5,0.150457,0.050000,0.010000
465,30,5,0.148839,0.050000,0.010000
470,30,5,0.147256,0.050000,0.010000
475,30,5,0.145706,0.050000,0.010000
480,30,5,0.144188,0.050000,0.010000
485,30,5,0.142702,0.050000,0.010000
490,30,5,0.141246,0.050000,0.010000
495,30,5,0.139819,0.050000,0.010000
500,30,5,0.138421,0.050000,0.010000
10,60,10,12.921034,0.050000,0.010000
15,60,10,8.614023,0.050000,0.010000
20,60,10,6.460517,0.050000,0.010000
25,60,10,5.168414,0.050000,0.010000
30,60,10,4.307011,0.050000,0.010000
35,60,10,3.691724,0.050000,0.010000
40,60,10,3.230259,0.050000,0.010000
45,60,10,2.871341,0.050000,0.010000
50,60,10,2.584207,0.050000,0.010000
55,60,10,2.349279,0.050000,0.010000
60,60,10,2.153506,0.050000,0.010000
65,60,10,1.987851,0.050000,0.010000
70,60,10,1.845862,0.050000,0.010000
75,60,10,1.722805,0.050000,0.010000
80,60,10,1.615129,0.050000,0.010000
85,60,10,1.520122,0.050000,0.010000
90,60,10,1.435670,0.050000,0.010000
95,60,10,1.360109,0.050000,0.010000
100,60,10,1.292103,0.050000,0.010000
105,60,10,1.230575,0.050000,0.010000
110,60,10,1.174639,0.050000,0.010000
115,60,10,1.123568,0.050000,0.010000
120,60,10,1.076753,0.050000,0.010000
125,60,10,1.033683,0.050000,0.010000
130,60,10,0.993926,0.050000,0.010000
135,60,10,0.957114,0.050000,0.010000
140,60,10,0.922931,0.050000,0.010000
145,60,10,0.891106,0.050000,0.010000
150,60,10,0.861402,0.050000,0.010000
155,60,10,0.833615,0.050000,0.010000
160,60,10,0.807565,0.050000,0.010000
165,60,10,0.783093,0.050000,0.010000
170,60,10,0.760061,0.050000,0.010000
175,60,10,0.738345,0.050000,0.010000
180,60,10,0.717835,0.050000,0.010000
185,60,10,0.698434,0.050000,0.010000
