step,ego_x,ego_y,ego_theta,ego_v,obs_x,obs_y,goal_x,goal_y,plan_k,plan_x,plan_y,num_scenarios,num_constraints
0,0.0000,0.0000,0.0000,1.0000,7.0000,0.5000,15.0000,0.0000,0,0.0000,0.0000,5,80
0,0.0000,0.0000,0.0000,1.0000,7.0000,0.5000,15.0000,0.0000,1,0.1150,-0.0003,5,80
0,0.0000,0.0000,0.0000,1.0000,7.0000,0.5000,15.0000,0.0000,2,0.2598,-0.0038,5,80
0,0.0000,0.0000,0.0000,1.0000,7.0000,0.5000,15.0000,0.0000,3,0.4345,-0.0117,5,80
0,0.0000,0.0000,0.0000,1.0000,7.0000,0.5000,15.0000,0.0000,4,0.6391,-0.0220,5,80
1,0.1150,-0.0003,-0.0050,1.2994,6.9200,0.5000,15.0000,0.0000,0,0.1150,-0.0003,3,48
1,0.1150,-0.0003,-0.0050,1.2994,6.9200,0.5000,15.0000,0.0000,1,0.2599,-0.0032,3,48
1,0.1150,-0.0003,-0.0050,1.2994,6.9200,0.5000,15.0000,0.0000,2,0.4346,-0.0117,3,48
1,0.1150,-0.0003,-0.0050,1.2994,6.9200,0.5000,15.0000,0.0000,3,0.6391,-0.0251,3,48
1,0.1150,-0.0003,-0.0050,1.2994,6.9200,0.5000,15.0000,0.0000,4,0.8736,-0.0401,3,48
2,0.2599,-0.0032,-0.0343,1.5994,6.8400,0.5000,15.0000,0.0000,0,0.2599,-0.0032,4,64
2,0.2599,-0.0032,-0.0343,1.5994,6.8400,0.5000,15.0000,0.0000,1,0.4347,-0.0104,4,64
2,0.2599,-0.0032,-0.0343,1.5994,6.8400,0.5000,15.0000,0.0000,2,0.6393,-0.0208,4,64
2,0.2599,-0.0032,-0.0343,1.5994,6.8400,0.5000,15.0000,0.0000,3,0.8739,-0.0341,4,64
2,0.2599,-0.0032,-0.0343,1.5994,6.8400,0.5000,15.0000,0.0000,4,1.1380,-0.0548,4,64
3,0.4347,-0.0104,-0.0479,1.8994,6.7600,0.5000,15.0000,0.0000,0,0.4347,-0.0104,10,160
3,0.4347,-0.0104,-0.0479,1.8994,6.7600,0.5000,15.0000,0.0000,1,0.6393,-0.0216,10,160
3,0.4347,-0.0104,-0.0479,1.8994,6.7600,0.5000,15.0000,0.0000,2,0.8741,-0.0263,10,160
3,0.4347,-0.0104,-0.0479,1.8994,6.7600,0.5000,15.0000,0.0000,3,1.1385,-0.0105,10,160
3,0.4347,-0.0104,-0.0479,1.8994,6.7600,0.5000,15.0000,0.0000,4,1.4323,0.0142,10,160
4,0.6393,-0.0216,-0.0610,2.1993,6.6800,0.5000,15.0000,0.0000,0,0.6393,-0.0216,7,112
4,0.6393,-0.0216,-0.0610,2.1993,6.6800,0.5000,15.0000,0.0000,1,0.8734,-0.0408,7,112
4,0.6393,-0.0216,-0.0610,2.1993,6.6800,0.5000,15.0000,0.0000,2,1.1366,-0.0714,7,112
4,0.6393,-0.0216,-0.0610,2.1993,6.6800,0.5000,15.0000,0.0000,3,1.4283,-0.1146,7,112
4,0.6393,-0.0216,-0.0610,2.1993,6.6800,0.5000,15.0000,0.0000,4,1.7485,-0.1696,7,112
5,0.8734,-0.0408,-0.1013,2.4993,6.6000,0.5000,15.0000,0.0000,0,0.8734,-0.0408,6,96
5,0.8734,-0.0408,-0.1013,2.4993,6.6000,0.5000,15.0000,0.0000,1,1.1364,-0.0728,6,96
5,0.8734,-0.0408,-0.1013,2.4993,6.6000,0.5000,15.0000,0.0000,2,1.4285,-0.1135,6,96
5,0.8734,-0.0408,-0.1013,2.4993,6.6000,0.5000,15.0000,0.0000,3,1.7500,-0.1607,6,96
5,0.8734,-0.0408,-0.1013,2.4993,6.6000,0.5000,15.0000,0.0000,4,2.1001,-0.2191,6,96
6,1.1364,-0.0728,-0.1406,2.7993,6.5200,0.5000,15.0000,0.0000,0,1.1364,-0.0728,14,224
6,1.1364,-0.0728,-0.1406,2.7993,6.5200,0.5000,15.0000,0.0000,1,1.4281,-0.1161,14,224
6,1.1364,-0.0728,-0.1406,2.7993,6.5200,0.5000,15.0000,0.0000,2,1.7487,-0.1691,14,224
6,1.1364,-0.0728,-0.1406,2.7993,6.5200,0.5000,15.0000,0.0000,3,2.0975,-0.2348,14,224
6,1.1364,-0.0728,-0.1406,2.7993,6.5200,0.5000,15.0000,0.0000,4,2.4750,-0.3099,14,224
7,1.4281,-0.1161,-0.1537,3.0993,6.4400,0.5000,15.0000,0.0000,0,1.4281,-0.1161,5,80
7,1.4281,-0.1161,-0.1537,3.0993,6.4400,0.5000,15.0000,0.0000,1,1.7471,-0.1774,5,80
7,1.4281,-0.1161,-0.1537,3.0993,6.4400,0.5000,15.0000,0.0000,2,2.0946,-0.2496,5,80
7,1.4281,-0.1161,-0.1537,3.0993,6.4400,0.5000,15.0000,0.0000,3,2.4725,-0.3229,5,80
7,1.4281,-0.1161,-0.1537,3.0993,6.4400,0.5000,15.0000,0.0000,4,2.8776,-0.4127,5,80
