step,scenario_id,obs_id,mode,timestep,pred_x,pred_y
0,8,0,constant_velocity,0,7.0000,0.5000
0,8,0,constant_velocity,2,6.8306,0.4991
0,8,0,constant_velocity,4,6.6593,0.5010
0,8,0,constant_velocity,6,6.4846,0.4927
0,8,0,constant_velocity,8,6.3030,0.4696
0,8,0,constant_velocity,10,6.1103,0.4342
0,8,0,constant_velocity,12,5.8969,0.3927
0,8,0,constant_velocity,14,5.6839,0.3544
0,9,0,constant_velocity,0,7.0000,0.5000
0,9,0,constant_velocity,2,6.8224,0.4902
0,9,0,constant_velocity,4,6.6227,0.4896
0,9,0,constant_velocity,6,6.4352,0.5091
0,9,0,constant_velocity,8,6.2669,0.5514
0,9,0,constant_velocity,10,6.0930,0.6086
0,9,0,constant_velocity,12,5.9240,0.6574
0,9,0,constant_velocity,14,5.7509,0.7083
0,0,0,constant_velocity,0,7.0000,0.5000
0,0,0,constant_velocity,2,6.8392,0.5007
0,0,0,constant_velocity,4,6.6772,0.5131
0,0,0,constant_velocity,6,6.5124,0.5206
0,0,0,constant_velocity,8,6.3422,0.5290
0,0,0,constant_velocity,10,6.1843,0.5490
0,0,0,constant_velocity,12,6.0231,0.5836
0,0,0,constant_velocity,14,5.8605,0.6422
1,6,0,constant_velocity,0,6.9200,0.5000
1,6,0,constant_velocity,2,6.7552,0.5002
1,6,0,constant_velocity,4,6.6048,0.5007
1,6,0,constant_velocity,6,6.4520,0.4958
1,6,0,constant_velocity,8,6.2973,0.4917
1,6,0,constant_velocity,10,6.1366,0.4579
1,6,0,constant_velocity,12,5.9777,0.4210
1,6,0,constant_velocity,14,5.8034,0.4055
1,7,0,constant_velocity,0,6.9200,0.5000
1,7,0,constant_velocity,2,6.7561,0.4817
1,7,0,constant_velocity,4,6.5834,0.4405
1,7,0,constant_velocity,6,6.4076,0.4159
1,7,0,constant_velocity,8,6.2462,0.3870
1,7,0,constant_velocity,10,6.0776,0.3412
1,7,0,constant_velocity,12,5.8965,0.2846
1,7,0,constant_velocity,14,5.7099,0.2305
1,9,0,constant_velocity,0,6.9200,0.5000
1,9,0,constant_velocity,2,6.7575,0.4944
1,9,0,constant_velocity,4,6.6021,0.4982
1,9,0,constant_velocity,6,6.4492,0.5056
1,9,0,constant_velocity,8,6.2961,0.5075
1,9,0,constant_velocity,10,6.1173,0.4983
1,9,0,constant_velocity,12,5.9282,0.4655
1,9,0,constant_velocity,14,5.7589,0.4272
2,0,0,constant_velocity,0,6.8400,0.5000
2,0,0,constant_velocity,2,6.6770,0.4957
2,0,0,constant_velocity,4,6.4901,0.4814
2,0,0,constant_velocity,6,6.2914,0.4551
2,0,0,constant_velocity,8,6.0758,0.4300
2,0,0,constant_velocity,10,5.8542,0.4095
2,0,0,constant_velocity,12,5.6519,0.3960
2,0,0,constant_velocity,14,5.4475,0.3855
2,2,0,constant_velocity,0,6.8400,0.5000
2,2,0,constant_velocity,2,6.6820,0.5056
2,2,0,constant_velocity,4,6.5357,0.5118
2,2,0,constant_velocity,6,6.3774,0.5205
2,2,0,constant_velocity,8,6.1998,0.5220
2,2,0,constant_velocity,10,6.0111,0.5165
2,2,0,constant_velocity,12,5.8111,0.5056
2,2,0,constant_velocity,14,5.6119,0.4795
2,3,0,constant_velocity,0,6.8400,0.5000
2,3,0,constant_velocity,2,6.6910,0.5184
2,3,0,constant_velocity,4,6.5546,0.5462
2,3,0,constant_velocity,6,6.4041,0.5643
2,3,0,constant_velocity,8,6.2404,0.5814
2,3,0,constant_velocity,10,6.0657,0.6146
2,3,0,constant_velocity,12,5.8757,0.6502
2,3,0,constant_velocity,14,5.6937,0.6660
3,3,0,constant_velocity,0,6.7600,0.5000
3,3,0,constant_velocity,2,6.5942,0.4956
3,3,0,constant_velocity,4,6.4259,0.4830
3,3,0,constant_velocity,6,6.2523,0.4713
3,3,0,constant_velocity,8,6.0874,0.4456
3,3,0,constant_velocity,10,5.9269,0.4072
3,3,0,constant_velocity,12,5.7617,0.3943
3,3,0,constant_velocity,14,5.6009,0.3958
3,5,0,constant_velocity,0,6.7600,0.5000
3,5,0,constant_velocity,2,6.5954,0.4958
3,5,0,constant_velocity,4,6.4170,0.4909
3,5,0,constant_velocity,6,6.2187,0.4709
3,5,0,constant_velocity,8,6.0266,0.4436
3,5,0,constant_velocity,10,5.8229,0.4226
3,5,0,constant_velocity,12,5.6138,0.4036
3,5,0,constant_velocity,14,5.4046,0.3995
3,8,0,constant_velocity,0,6.7600,0.5000
3,8,0,constant_velocity,2,6.5949,0.4953
3,8,0,constant_velocity,4,6.4271,0.4920
3,8,0,constant_velocity,6,6.2468,0.4852
3,8,0,constant_velocity,8,6.0630,0.4670
3,8,0,constant_velocity,10,5.8805,0.4314
3,8,0,constant_velocity,12,5.7046,0.3945
3,8,0,constant_velocity,14,5.5365,0.3393
4,3,0,constant_velocity,0,6.6800,0.5000
4,3,0,constant_velocity,2,6.5334,0.5227
4,3,0,constant_velocity,4,6.3911,0.5632
4,3,0,constant_velocity,6,6.2397,0.6265
4,3,0,constant_velocity,8,6.0872,0.6969
4,3,0,constant_velocity,10,5.9302,0.7669
4,3,0,constant_velocity,12,5.7823,0.8427
4,3,0,constant_velocity,14,5.6272,0.9083
4,4,0,constant_velocity,0,6.6800,0.5000
4,4,0,constant_velocity,2,6.5192,0.5019
4,4,0,constant_velocity,4,6.3564,0.5179
4,4,0,constant_velocity,6,6.2079,0.5332
4,4,0,constant_velocity,8,6.0839,0.5694
4,4,0,constant_velocity,10,5.9715,0.6092
4,4,0,constant_velocity,12,5.8784,0.6383
4,4,0,constant_velocity,14,5.7829,0.6609
4,7,0,constant_velocity,0,6.6800,0.5000
4,7,0,constant_velocity,2,6.5192,0.4997
4,7,0,constant_velocity,4,6.3298,0.5103
4,7,0,constant_velocity,6,6.1173,0.5143
4,7,0,constant_velocity,8,5.8955,0.5207
4,7,0,constant_velocity,10,5.6612,0.5188
4,7,0,constant_velocity,12,5.4342,0.5386
4,7,0,constant_velocity,14,5.2120,0.5749
5,3,0,constant_velocity,0,6.6000,0.5000
5,3,0,constant_velocity,2,6.4326,0.4931
5,3,0,constant_velocity,4,6.2556,0.4709
5,3,0,constant_velocity,6,6.0588,0.4399
5,3,0,constant_velocity,8,5.8588,0.3831
5,3,0,constant_velocity,10,5.6754,0.3282
5,3,0,constant_velocity,12,5.4823,0.2777
5,3,0,constant_velocity,14,5.2683,0.2413
5,4,0,constant_velocity,0,6.6000,0.5000
5,4,0,constant_velocity,2,6.4256,0.4991
5,4,0,constant_velocity,4,6.2555,0.5047
5,4,0,constant_velocity,6,6.1086,0.5161
5,4,0,constant_velocity,8,5.9616,0.5460
5,4,0,constant_velocity,10,5.8239,0.5776
5,4,0,constant_velocity,12,5.6894,0.6093
5,4,0,constant_velocity,14,5.5474,0.6323
5,7,0,constant_velocity,0,6.6000,0.5000
5,7,0,constant_velocity,2,6.4221,0.4926
5,7,0,constant_velocity,4,6.2589,0.4838
5,7,0,constant_velocity,6,6.1154,0.4715
5,7,0,constant_velocity,8,5.9782,0.4674
5,7,0,constant_velocity,10,5.8083,0.4477
5,7,0,constant_velocity,12,5.6307,0.4138
5,7,0,constant_velocity,14,5.4612,0.3675
6,1,0,constant_velocity,0,6.5200,0.5000
6,1,0,constant_velocity,2,6.3514,0.4971
6,1,0,constant_velocity,4,6.1807,0.4659
6,1,0,constant_velocity,6,6.0082,0.4242
6,1,0,constant_velocity,8,5.8325,0.3817
6,1,0,constant_velocity,10,5.6678,0.3471
6,1,0,constant_velocity,12,5.5039,0.3203
6,1,0,constant_velocity,14,5.3630,0.3031
6,3,0,constant_velocity,0,6.5200,0.5000
6,3,0,constant_velocity,2,6.3534,0.4912
6,3,0,constant_velocity,4,6.1837,0.4779
6,3,0,constant_velocity,6,6.0237,0.4750
6,3,0,constant_velocity,8,5.8745,0.4749
6,3,0,constant_velocity,10,5.7067,0.4887
6,3,0,constant_velocity,12,5.5226,0.5077
6,3,0,constant_velocity,14,5.3291,0.5301
6,4,0,constant_velocity,0,6.5200,0.5000
6,4,0,constant_velocity,2,6.3579,0.4945
6,4,0,constant_velocity,4,6.1885,0.4974
6,4,0,constant_velocity,6,6.0050,0.5054
6,4,0,constant_velocity,8,5.8077,0.4943
6,4,0,constant_velocity,10,5.6177,0.4671
6,4,0,constant_velocity,12,5.4412,0.4244
6,4,0,constant_velocity,14,5.2857,0.3843
7,2,0,constant_velocity,0,6.4400,0.5000
7,2,0,constant_velocity,2,6.2704,0.4948
7,2,0,constant_velocity,4,6.0926,0.4829
7,2,0,constant_velocity,6,5.9203,0.4684
7,2,0,constant_velocity,8,5.7853,0.4496
7,2,0,constant_velocity,10,5.6373,0.4217
7,2,0,constant_velocity,12,5.4742,0.3782
7,2,0,constant_velocity,14,5.3194,0.3479
7,3,0,constant_velocity,0,6.4400,0.5000
7,3,0,constant_velocity,2,6.2920,0.4905
7,3,0,constant_velocity,4,6.1423,0.4702
7,3,0,constant_velocity,6,5.9991,0.4523
7,3,0,constant_velocity,8,5.8663,0.4467
7,3,0,constant_velocity,10,5.7618,0.4430
7,3,0,constant_velocity,12,5.6670,0.4379
7,3,0,constant_velocity,14,5.5736,0.4266
7,4,0,constant_velocity,0,6.4400,0.5000
7,4,0,constant_velocity,2,6.2735,0.5043
7,4,0,constant_velocity,4,6.0999,0.4975
7,4,0,constant_velocity,6,5.9246,0.4670
7,4,0,constant_velocity,8,5.7506,0.4301
7,4,0,constant_velocity,10,5.5709,0.4001
7,4,0,constant_velocity,12,5.3839,0.3835
7,4,0,constant_velocity,14,5.1845,0.3536
8,0,0,constant_velocity,0,6.3600,0.5000
8,0,0,constant_velocity,2,6.1817,0.5152
8,0,0,constant_velocity,4,6.0091,0.5223
8,0,0,constant_velocity,6,5.8450,0.5182
8,0,0,constant_velocity,8,5.7028,0.4989
8,0,0,constant_velocity,10,5.5755,0.4923
8,0,0,constant_velocity,12,5.4265,0.4859
8,0,0,constant_velocity,14,5.2533,0.4905
8,3,0,constant_velocity,0,6.3600,0.5000
8,3,0,constant_velocity,2,6.1975,0.4960
8,3,0,constant_velocity,4,6.0314,0.5261
8,3,0,constant_velocity,6,5.8680,0.5754
