step,method,mode,weight,wasserstein_distance
0,frequency,constant_velocity,1.000000,0.0
0,frequency,decelerating,0.000000,0.0
0,frequency,lane_change_left,0.000000,0.0
0,frequency,lane_change_right,0.000000,0.0
0,frequency,turn_left,0.000000,0.0
0,frequency,turn_right,0.000000,0.0
0,recency,constant_velocity,1.000000,0.0
0,recency,decelerating,0.000000,0.0
0,recency,lane_change_left,0.000000,0.0
0,recency,lane_change_right,0.000000,0.0
0,recency,turn_left,0.000000,0.0
0,recency,turn_right,0.000000,0.0
1,frequency,constant_velocity,1.000000,0.0
1,frequency,decelerating,0.000000,0.0
1,frequency,lane_change_left,0.000000,0.0
1,frequency,lane_change_right,0.000000,0.0
1,frequency,turn_left,0.000000,0.0
1,frequency,turn_right,0.000000,0.0
1,recency,constant_velocity,1.000000,0.0
1,recency,decelerating,0.000000,0.0
1,recency,lane_change_left,0.000000,0.0
1,recency,lane_change_right,0.000000,0.0
1,recency,turn_left,0.000000,0.0
1,recency,turn_right,0.000000,0.0
2,frequency,constant_velocity,1.000000,0.0
2,frequency,decelerating,0.000000,0.0
2,frequency,lane_change_left,0.000000,0.0
2,frequency,lane_change_right,0.000000,0.0
2,frequency,turn_left,0.000000,0.0
2,frequency,turn_right,0.000000,0.0
2,recency,constant_velocity,1.000000,0.0
2,recency,decelerating,0.000000,0.0
2,recency,lane_change_left,0.000000,0.0
2,recency,lane_change_right,0.000000,0.0
2,recency,turn_left,0.000000,0.0
2,recency,turn_right,0.000000,0.0
3,frequency,constant_velocity,1.000000,0.0
3,frequency,decelerating,0.000000,0.0
3,frequency,lane_change_left,0.000000,0.0
3,frequency,lane_change_right,0.000000,0.0
3,frequency,turn_left,0.000000,0.0
3,frequency,turn_right,0.000000,0.0
3,recency,constant_velocity,1.000000,0.0
3,recency,decelerating,0.000000,0.0
3,recency,lane_change_left,0.000000,0.0
3,recency,lane_change_right,0.000000,0.0
3,recency,turn_left,0.000000,0.0
3,recency,turn_right,0.000000,0.0
4,frequency,constant_velocity,1.000000,0.0
4,frequency,decelerating,0.000000,0.0
4,frequency,lane_change_left,0.000000,0.0
4,frequency,lane_change_right,0.000000,0.0
4,frequency,turn_left,0.000000,0.0
4,frequency,turn_right,0.000000,0.0
4,recency,constant_velocity,1.000000,0.0
4,recency,decelerating,0.000000,0.0
4,recency,lane_change_left,0.000000,0.0
4,recency,lane_change_right,0.000000,0.0
4,recency,turn_left,0.000000,0.0
4,recency,turn_right,0.000000,0.0
5,frequency,constant_velocity,1.000000,0.0
5,frequency,decelerating,0.000000,0.0
5,frequency,lane_change_left,0.000000,0.0
5,frequency,lane_change_right,0.000000,0.0
5,frequency,turn_left,0.000000,0.0
5,frequency,turn_right,0.000000,0.0
5,recency,constant_velocity,1.000000,0.0
5,recency,decelerating,0.000000,0.0
5,recency,lane_change_left,0.000000,0.0
5,recency,lane_change_right,0.000000,0.0
5,recency,turn_left,0.000000,0.0
5,recency,turn_right,0.000000,0.0
6,frequency,constant_velocity,1.000000,0.0
6,frequency,decelerating,0.000000,0.0
6,frequency,lane_change_left,0.000000,0.0
6,frequency,lane_change_right,0.000000,0.0
6,frequency,turn_left,0.000000,0.0
6,frequency,turn_right,0.000000,0.0
6,recency,constant_velocity,1.000000,0.0
6,recency,decelerating,0.000000,0.0
6,recency,lane_change_left,0.000000,0.0
6,recency,lane_change_right,0.000000,0.0
6,recency,turn_left,0.000000,0.0
6,recency,turn_right,0.000000,0.0
7,frequency,constant_velocity,1.000000,0.0
7,frequency,decelerating,0.000000,0.0
7,frequency,lane_change_left,0.000000,0.0
7,frequency,lane_change_right,0.000000,0.0
7,frequency,turn_left,0.000000,0.0
7,frequency,turn_right,0.000000,0.0
7,recency,constant_velocity,1.000000,0.0
7,recency,decelerating,0.000000,0.0
7,recency,lane_change_left,0.000000,0.0
7,recency,lane_change_right,0.000000,0.0
7,recency,turn_left,0.000000,0.0
7,recency,turn_right,0.000000,0.0
8,frequency,constant_velocity,1.000000,0.0
8,frequency,decelerating,0.000000,0.0
8,frequency,lane_change_left,0.000000,0.0
8,frequency,lane_change_right,0.000000,0.0
8,frequency,turn_left,0.000000,0.0
8,frequency,turn_right,0.000000,0.0
8,recency,constant_velocity,1.000000,0.0
8,recency,decelerating,0.000000,0.0
8,recency,lane_change_left,0.000000,0.0
8,recency,lane_change_right,0.000000,0.0
8,recency,turn_left,0.000000,0.0
8,recency,turn_right,0.000000,0.0
9,frequency,constant_velocity,1.000000,0.0
9,frequency,decelerating,0.000000,0.0
9,frequency,lane_change_left,0.000000,0.0
9,frequency,lane_change_right,0.000000,0.0
9,frequency,turn_left,0.000000,0.0
9,frequency,turn_right,0.000000,0.0
9,recency,constant_velocity,1.000000,0.0
9,recency,decelerating,0.000000,0.0
9,recency,lane_change_left,0.000000,0.0
9,recency,lane_change_right,0.000000,0.0
9,recency,turn_left,0.000000,0.0
9,recency,turn_right,0.000000,0.0
10,frequency,constant_velocity,1.000000,0.0
10,frequency,decelerating,0.000000,0.0
10,frequency,lane_change_left,0.000000,0.0
10,frequency,lane_change_right,0.000000,0.0
10,frequency,turn_left,0.000000,0.0
10,frequency,turn_right,0.000000,0.0
10,recency,constant_velocity,1.000000,0.0
10,recency,decelerating,0.000000,0.0
10,recency,lane_change_left,0.000000,0.0
10,recency,lane_change_right,0.000000,0.0
10,recency,turn_left,0.000000,0.0
10,recency,turn_right,0.000000,0.0
10,wasserstein,constant_velocity,0.202408,0.0
10,wasserstein,decelerating,0.160750,0.0
10,wasserstein,lane_change_left,0.191453,0.0
10,wasserstein,lane_change_right,0.197607,0.0
10,wasserstein,turn_left,0.122307,0.0
10,wasserstein,turn_right,0.125475,0.0
11,frequency,constant_velocity,1.000000,0.0
11,frequency,decelerating,0.000000,0.0
11,frequency,lane_change_left,0.000000,0.0
11,frequency,lane_change_right,0.000000,0.0
11,frequency,turn_left,0.000000,0.0
11,frequency,turn_right,0.000000,0.0
11,recency,constant_velocity,1.000000,0.0
11,recency,decelerating,0.000000,0.0
11,recency,lane_change_left,0.000000,0.0
11,recency,lane_change_right,0.000000,0.0
11,recency,turn_left,0.000000,0.0
11,recency,turn_right,0.000000,0.0
11,wasserstein,constant_velocity,0.204488,0.0
11,wasserstein,decelerating,0.160331,0.0
11,wasserstein,lane_change_left,0.190954,0.0
11,wasserstein,lane_change_right,0.197091,0.0
11,wasserstein,turn_left,0.121988,0.0
11,wasserstein,turn_right,0.125148,0.0
12,frequency,constant_velocity,1.000000,0.0
12,frequency,decelerating,0.000000,0.0
12,frequency,lane_change_left,0.000000,0.0
12,frequency,lane_change_right,0.000000,0.0
12,frequency,turn_left,0.000000,0.0
12,frequency,turn_right,0.000000,0.0
12,recency,constant_velocity,1.000000,0.0
12,recency,decelerating,0.000000,0.0
12,recency,lane_change_left,0.000000,0.0
12,recency,lane_change_right,0.000000,0.0
12,recency,turn_left,0.000000,0.0
12,recency,turn_right,0.000000,0.0
12,wasserstein,constant_velocity,0.206336,0.0
12,wasserstein,decelerating,0.159958,0.0
12,wasserstein,lane_change_left,0.190510,0.0
12,wasserstein,lane_change_right,0.196633,0.0
12,wasserstein,turn_left,0.121705,0.0
12,wasserstein,turn_right,0.124857,0.0
13,frequency,constant_velocity,1.000000,0.0
13,frequency,decelerating,0.000000,0.0
13,frequency,lane_change_left,0.000000,0.0
13,frequency,lane_change_right,0.000000,0.0
13,frequency,turn_left,0.000000,0.0
13,frequency,turn_right,0.000000,0.0
13,recency,constant_velocity,1.000000,0.0
13,recency,decelerating,0.000000,0.0
13,recency,lane_change_left,0.000000,0.0
13,recency,lane_change_right,0.000000,0.0
13,recency,turn_left,0.000000,0.0
13,recency,turn_right,0.000000,0.0
13,wasserstein,constant_velocity,0.207993,0.0
13,wasserstein,decelerating,0.159624,0.0
13,wasserstein,lane_change_left,0.190112,0.0
13,wasserstein,lane_change_right,0.196223,0.0
13,wasserstein,turn_left,0.121451,0.0
13,wasserstein,turn_right,0.124597,0.0
14,frequency,constant_velocity,1.000000,0.0
14,frequency,decelerating,0.000000,0.0
14,frequency,lane_change_left,0.000000,0.0
14,frequency,lane_change_right,0.000000,0.0
14,frequency,turn_left,0.000000,0.0
14,frequency,turn_right,0.000000,0.0
14,recency,constant_velocity,1.000000,0.0
14,recency,decelerating,0.000000,0.0
14,recency,lane_change_left,0.000000,0.0
14,recency,lane_change_right,0.000000,0.0
14,recency,turn_left,0.000000,0.0
14,recency,turn_right,0.000000,0.0
14,wasserstein,constant_velocity,0.209490,0.0
14,wasserstein,decelerating,0.159322,0.0
14,wasserstein,lane_change_left,0.189753,0.0
14,wasserstein,lane_change_right,0.195852,0.0
14,wasserstein,turn_left,0.121221,0.0
14,wasserstein,turn_right,0.124361,0.0
15,frequency,constant_velocity,1.000000,0.0
15,frequency,decelerating,0.000000,0.0
15,frequency,lane_change_left,0.000000,0.0
15,frequency,lane_change_right,0.000000,0.0
15,frequency,turn_left,0.000000,0.0
15,frequency,turn_right,0.000000,0.0
15,recency,constant_velocity,1.000000,0.0
15,recency,decelerating,0.000000,0.0
15,recency,lane_change_left,0.000000,0.0
15,recency,lane_change_right,0.000000,0.0
15,recency,turn_left,0.000000,0.0
15,recency,turn_right,0.000000,0.0
15,wasserstein,constant_velocity,0.210851,0.0
15,wasserstein,decelerating,0.159048,0.0
15,wasserstein,lane_change_left,0.189426,0.0
15,wasserstein,lane_change_right,0.195515,0.0
15,wasserstein,turn_left,0.121012,0.0
15,wasserstein,turn_right,0.124147,0.0
16,frequency,constant_velocity,1.000000,0.0
16,frequency,decelerating,0.000000,0.0
16,frequency,lane_change_left,0.000000,0.0
16,frequency,lane_change_right,0.000000,0.0
16,frequency,turn_left,0.000000,0.0
16,frequency,turn_right,0.000000,0.0
16,recency,constant_velocity,1.000000,0.0
16,recency,decelerating,0.000000,0.0
16,recency,lane_change_left,0.000000,0.0
16,recency,lane_change_right,0.000000,0.0
16,recency,turn_left,0.000000,0.0
16,recency,turn_right,0.000000,0.0
16,wasserstein,constant_velocity,0.212096,0.0
16,wasserstein,decelerating,0.158797,0.0
16,wasserstein,lane_change_left,0.189128,0.0
16,wasserstein,lane_change_right,0.195206,0.0
16,wasserstein,turn_left,0.120822,0.0
16,wasserstein,turn_right,0.123951,0.0
17,frequency,constant_velocity,1.000000,0.0
17,frequency,decelerating,0.000000,0.0
17,frequency,lane_change_left,0.000000,0.0
17,frequency,lane_change_right,0.000000,0.0
17,frequency,turn_left,0.000000,0.0
17,frequency,turn_right,0.000000,0.0
17,recency,constant_velocity,1.000000,0.0
17,recency,decelerating,0.000000,0.0
17,recency,lane_change_left,0.000000,0.0
17,recency,lane_change_right,0.000000,0.0
17,recency,turn_left,0.000000,0.0
17,recency,turn_right,0.000000,0.0
17,wasserstein,constant_velocity,0.213240,0.0
17,wasserstein,decelerating,0.158567,0.0
17,wasserstein,lane_change_left,0.188853,0.0
17,wasserstein,lane_change_right,0.194923,0.0
17,wasserstein,turn_left,0.120646,0.0
17,wasserstein,turn_right,0.123771,0.0
18,frequency,constant_velocity,1.000000,0.0
18,frequency,decelerating,0.000000,0.0
18,frequency,lane_change_left,0.000000,0.0
18,frequency,lane_change_right,0.000000,0.0
18,frequency,turn_left,0.000000,0.0
18,frequency,turn_right,0.000000,0.0
18,recency,constant_velocity,1.000000,0.0
18,recency,decelerating,0.000000,0.0
18,recency,lane_change_left,0.000000,0.0
18,recency,lane_change_right,0.000000,0.0
18,recency,turn_left,0.000000,0.0
18,recency,turn_right,0.000000,0.0
18,wasserstein,constant_velocity,0.214297,0.0
18,wasserstein,decelerating,0.158354,0.0
18,wasserstein,lane_change_left,0.188599,0.0
18,wasserstein,lane_change_right,0.194661,0.0
18,wasserstein,turn_left,0.120484,0.0
18,wasserstein,turn_right,0.123605,0.0
19,frequency,constant_velocity,1.000000,0.0
19,frequency,decelerating,0.000000,0.0
19,frequency,lane_change_left,0.000000,0.0
19,frequency,lane_change_right,0.000000,0.0
19,frequency,turn_left,0.000000,0.0
19,frequency,turn_right,0.000000,0.0
19,recency,constant_velocity,1.000000,0.0
19,recency,decelerating,0.000000,0.0
19,recency,lane_change_left,0.000000,0.0
19,recency,lane_change_right,0.000000,0.0
19,recency,turn_left,0.000000,0.0
19,recency,turn_right,0.000000,0.0
19,wasserstein,constant_velocity,0.215276,0.0
19,wasserstein,decelerating,0.158156,0.0
19,wasserstein,lane_change_left,0.188364,0.0
19,wasserstein,lane_change_right,0.194418,0.0
19,wasserstein,turn_left,0.120334,0.0
19,wasserstein,turn_right,0.123451,0.0
20,frequency,constant_velocity,1.000000,0.0
20,frequency,decelerating,0.000000,0.0
20,frequency,lane_change_left,0.000000,0.0
20,frequency,lane_change_right,0.000000,0.0
20,frequency,turn_left,0.000000,0.0
20,frequency,turn_right,0.000000,0.0
20,recency,constant_velocity,1.000000,0.0
20,recency,decelerating,0.000000,0.0
20,recency,lane_change_left,0.000000,0.0
20,recency,lane_change_right,0.000000,0.0
20,recency,turn_left,0.000000,0.0
20,recency,turn_right,0.000000,0.0
20,wasserstein,constant_velocity,0.216188,0.0
20,wasserstein,decelerating,0.157972,0.0
20,wasserstein,lane_change_left,0.188145,0.0
20,wasserstein,lane_change_right,0.194193,0.0
20,wasserstein,turn_left,0.120194,0.0
20,wasserstein,turn_right,0.123307,0.0
21,frequency,constant_velocity,1.000000,0.0
21,frequency,decelerating,0.000000,0.0
21,frequency,lane_change_left,0.000000,0.0
