stage,scenario_id,obs_id,timestep,x,y,probability
original,0,0,0,4.0000,1.0000,0.6944
original,0,0,2,3.9011,1.0007,0.6944
original,0,0,4,3.7916,1.0080,0.6944
original,0,0,6,3.6722,1.0114,0.6944
original,0,0,8,3.5583,1.0291,0.6944
original,0,0,10,3.4241,1.0577,0.6944
original,0,1,0,6.0000,-1.5000,0.6944
original,0,1,2,5.9455,-1.4586,0.6944
original,0,1,4,5.8735,-1.4011,0.6944
original,0,1,6,5.8066,-1.3535,0.6944
original,0,1,8,5.7381,-1.3237,0.6944
original,0,1,10,5.6553,-1.2994,0.6944
original,1,0,0,4.0000,1.0000,0.6944
original,1,0,2,3.9032,0.9978,0.6944
original,1,0,4,3.8178,0.9846,0.6944
original,1,0,6,3.7551,0.9854,0.6944
original,1,0,8,3.6872,0.9807,0.6944
original,1,0,10,3.6088,0.9596,0.6944
original,1,1,0,6.0000,-1.5000,0.6944
original,1,1,2,5.9428,-1.4579,0.6944
original,1,1,4,5.8844,-1.4127,0.6944
original,1,1,6,5.8147,-1.3562,0.6944
original,1,1,8,5.7134,-1.2886,0.6944
original,1,1,10,5.5906,-1.2230,0.6944
original,2,0,0,4.0000,1.0000,0.1389
original,2,0,2,3.8963,1.0089,0.1389
original,2,0,4,3.8101,1.0444,0.1389
original,2,0,6,3.7219,1.0858,0.1389
original,2,0,8,3.6263,1.1222,0.1389
original,2,0,10,3.5349,1.1502,0.1389
original,2,1,0,6.0000,-1.5000,0.1389
original,2,1,2,5.9302,-1.4708,0.1389
original,2,1,4,5.8703,-1.4566,0.1389
original,2,1,6,5.7996,-1.4502,0.1389
original,2,1,8,5.7139,-1.4384,0.1389
original,2,1,10,5.6285,-1.4304,0.1389
original,3,0,0,4.0000,1.0000,0.6944
original,3,0,2,3.9101,0.9942,0.6944
original,3,0,4,3.8387,0.9856,0.6944
original,3,0,6,3.7562,0.9719,0.6944
original,3,0,8,3.6703,0.9699,0.6944
original,3,0,10,3.5904,0.9647,0.6944
original,3,1,0,6.0000,-1.5000,0.6944
original,3,1,2,5.9425,-1.4670,0.6944
original,3,1,4,5.8854,-1.4479,0.6944
original,3,1,6,5.8304,-1.4253,0.6944
original,3,1,8,5.7813,-1.4040,0.6944
original,3,1,10,5.7295,-1.3801,0.6944
original,4,0,0,4.0000,1.0000,0.6944
original,4,0,2,3.9054,1.0062,0.6944
original,4,0,4,3.8185,1.0346,0.6944
original,4,0,6,3.7374,1.0516,0.6944
original,4,0,8,3.6503,1.0617,0.6944
original,4,0,10,3.5644,1.0822,0.6944
original,4,1,0,6.0000,-1.5000,0.6944
original,4,1,2,5.9425,-1.4729,0.6944
original,4,1,4,5.8869,-1.4466,0.6944
original,4,1,6,5.8458,-1.4321,0.6944
original,4,1,8,5.8130,-1.4282,0.6944
original,4,1,10,5.7724,-1.4227,0.6944
original,5,0,0,4.0000,1.0000,0.6944
original,5,0,2,3.9020,0.9992,0.6944
original,5,0,4,3.7928,0.9882,0.6944
original,5,0,6,3.6745,0.9679,0.6944
original,5,0,8,3.5514,0.9301,0.6944
original,5,0,10,3.4190,0.8906,0.6944
original,5,1,0,6.0000,-1.5000,0.6944
original,5,1,2,5.9314,-1.4617,0.6944
original,5,1,4,5.8395,-1.4106,0.6944
original,5,1,6,5.7333,-1.3553,0.6944
original,5,1,8,5.6378,-1.3241,0.6944
original,5,1,10,5.5477,-1.3093,0.6944
original,6,0,0,4.0000,1.0000,0.1389
original,6,0,2,3.9032,0.9953,0.1389
original,6,0,4,3.8122,0.9797,0.1389
original,6,0,6,3.7153,0.9601,0.1389
original,6,0,8,3.6149,0.9511,0.1389
original,6,0,10,3.5069,0.9735,0.1389
original,6,1,0,6.0000,-1.5000,0.1389
original,6,1,2,5.9342,-1.4635,0.1389
original,6,1,4,5.8658,-1.4252,0.1389
original,6,1,6,5.8173,-1.3837,0.1389
original,6,1,8,5.8001,-1.3264,0.1389
original,6,1,10,5.7899,-1.2501,0.1389
original,7,0,0,4.0000,1.0000,0.1389
original,7,0,2,3.9046,1.0112,0.1389
original,7,0,4,3.8077,1.0235,0.1389
original,7,0,6,3.7089,1.0176,0.1389
original,7,0,8,3.6282,0.9916,0.1389
original,7,0,10,3.5581,0.9562,0.1389
original,7,1,0,6.0000,-1.5000,0.1389
original,7,1,2,5.9378,-1.4571,0.1389
original,7,1,4,5.8726,-1.3904,0.1389
original,7,1,6,5.8116,-1.3254,0.1389
original,7,1,8,5.7568,-1.2625,0.1389
original,7,1,10,5.6960,-1.2135,0.1389
original,8,0,0,4.0000,1.0000,0.6944
original,8,0,2,3.9024,1.0041,0.6944
original,8,0,4,3.7985,1.0210,0.6944
original,8,0,6,3.6876,1.0349,0.6944
original,8,0,8,3.5868,1.0560,0.6944
original,8,0,10,3.4765,1.0762,0.6944
original,8,1,0,6.0000,-1.5000,0.6944
original,8,1,2,5.9361,-1.4614,0.6944
original,8,1,4,5.8596,-1.4080,0.6944
original,8,1,6,5.7809,-1.3707,0.6944
original,8,1,8,5.6998,-1.3571,0.6944
original,8,1,10,5.6294,-1.3394,0.6944
original,9,0,0,4.0000,1.0000,0.6944
original,9,0,2,3.8872,1.0025,0.6944
original,9,0,4,3.7385,1.0187,0.6944
original,9,0,6,3.5790,1.0388,0.6944
original,9,0,8,3.4090,1.0671,0.6944
original,9,0,10,3.2305,1.0979,0.6944
original,9,1,0,6.0000,-1.5000,0.6944
original,9,1,2,5.9262,-1.4705,0.6944
original,9,1,4,5.8441,-1.4735,0.6944
original,9,1,6,5.7745,-1.5038,0.6944
original,9,1,8,5.7186,-1.5469,0.6944
original,9,1,10,5.6611,-1.5844,0.6944
original,10,0,0,4.0000,1.0000,0.6944
original,10,0,2,3.8957,1.0056,0.6944
original,10,0,4,3.7985,1.0288,0.6944
original,10,0,6,3.7075,1.0655,0.6944
original,10,0,8,3.6037,1.0930,0.6944
original,10,0,10,3.4730,1.1165,0.6944
original,10,1,0,6.0000,-1.5000,0.6944
original,10,1,2,5.9346,-1.4543,0.6944
original,10,1,4,5.8529,-1.4055,0.6944
original,10,1,6,5.7809,-1.3481,0.6944
original,10,1,8,5.7075,-1.2784,0.6944
original,10,1,10,5.6416,-1.2218,0.6944
original,11,0,0,4.0000,1.0000,0.6944
original,11,0,2,3.8996,1.0074,0.6944
original,11,0,4,3.7931,1.0099,0.6944
original,11,0,6,3.7126,0.9832,0.6944
original,11,0,8,3.6568,0.9402,0.6944
original,11,0,10,3.6100,0.8945,0.6944
original,11,1,0,6.0000,-1.5000,0.6944
original,11,1,2,5.9290,-1.4739,0.6944
original,11,1,4,5.8349,-1.4586,0.6944
original,11,1,6,5.7259,-1.4589,0.6944
original,11,1,8,5.6153,-1.4631,0.6944
original,11,1,10,5.5059,-1.4798,0.6944
original,12,0,0,4.0000,1.0000,0.6944
original,12,0,2,3.9144,0.9999,0.6944
original,12,0,4,3.8368,0.9953,0.6944
original,12,0,6,3.7545,0.9731,0.6944
original,12,0,8,3.6622,0.9361,0.6944
original,12,0,10,3.5800,0.8725,0.6944
original,12,1,0,6.0000,-1.5000,0.6944
original,12,1,2,5.9487,-1.4493,0.6944
original,12,1,4,5.8859,-1.3912,0.6944
original,12,1,6,5.7936,-1.3372,0.6944
original,12,1,8,5.6982,-1.2966,0.6944
original,12,1,10,5.6064,-1.2501,0.6944
original,13,0,0,4.0000,1.0000,0.1389
original,13,0,2,3.8858,1.0209,0.1389
original,13,0,4,3.7735,1.0465,0.1389
original,13,0,6,3.6769,1.0732,0.1389
original,13,0,8,3.5903,1.0824,0.1389
