weight_type,scenario_id,obs_id,mode,timestep,x,y,probability
UNIFORM,0,0,turn_left,0,5.0000,0.0000,0.1667
UNIFORM,0,0,turn_left,1,4.9014,-0.0045,0.1667
UNIFORM,0,0,turn_left,2,4.8014,-0.0082,0.1667
UNIFORM,0,0,turn_left,3,4.6982,-0.0119,0.1667
UNIFORM,0,0,turn_left,4,4.5927,-0.0220,0.1667
UNIFORM,0,0,turn_left,5,4.4842,-0.0360,0.1667
UNIFORM,0,0,turn_left,6,4.3755,-0.0526,0.1667
UNIFORM,0,0,turn_left,7,4.2716,-0.0682,0.1667
UNIFORM,0,0,turn_left,8,4.1657,-0.0816,0.1667
UNIFORM,0,0,turn_left,9,4.0535,-0.0971,0.1667
UNIFORM,0,0,turn_left,10,3.9374,-0.1128,0.1667
UNIFORM,0,0,turn_left,11,3.8180,-0.1274,0.1667
UNIFORM,0,0,turn_left,12,3.7001,-0.1426,0.1667
UNIFORM,0,0,turn_left,13,3.5829,-0.1593,0.1667
UNIFORM,0,0,turn_left,14,3.4658,-0.1780,0.1667
UNIFORM,0,0,turn_left,15,3.3491,-0.1986,0.1667
UNIFORM,1,0,decelerating,0,5.0000,0.0000,0.1667
UNIFORM,1,0,decelerating,1,4.9019,-0.0028,0.1667
UNIFORM,1,0,decelerating,2,4.8037,-0.0123,0.1667
UNIFORM,1,0,decelerating,3,4.7023,-0.0289,0.1667
UNIFORM,1,0,decelerating,4,4.5963,-0.0551,0.1667
UNIFORM,1,0,decelerating,5,4.4833,-0.0889,0.1667
UNIFORM,1,0,decelerating,6,4.3607,-0.1285,0.1667
UNIFORM,1,0,decelerating,7,4.2315,-0.1698,0.1667
UNIFORM,1,0,decelerating,8,4.0986,-0.2136,0.1667
UNIFORM,1,0,decelerating,9,3.9602,-0.2599,0.1667
UNIFORM,1,0,decelerating,10,3.8165,-0.3016,0.1667
UNIFORM,1,0,decelerating,11,3.6704,-0.3375,0.1667
UNIFORM,1,0,decelerating,12,3.5211,-0.3741,0.1667
UNIFORM,1,0,decelerating,13,3.3642,-0.4137,0.1667
UNIFORM,1,0,decelerating,14,3.1964,-0.4577,0.1667
UNIFORM,1,0,decelerating,15,3.0214,-0.5087,0.1667
UNIFORM,2,0,lane_change_left,0,5.0000,0.0000,0.1667
UNIFORM,2,0,lane_change_left,1,4.9016,0.0277,0.1667
UNIFORM,2,0,lane_change_left,2,4.8060,0.0565,0.1667
UNIFORM,2,0,lane_change_left,3,4.7121,0.0899,0.1667
UNIFORM,2,0,lane_change_left,4,4.6164,0.1246,0.1667
UNIFORM,2,0,lane_change_left,5,4.5222,0.1562,0.1667
UNIFORM,2,0,lane_change_left,6,4.4341,0.1893,0.1667
UNIFORM,2,0,lane_change_left,7,4.3495,0.2225,0.1667
UNIFORM,2,0,lane_change_left,8,4.2668,0.2513,0.1667
UNIFORM,2,0,lane_change_left,9,4.1861,0.2818,0.1667
UNIFORM,2,0,lane_change_left,10,4.1047,0.3119,0.1667
UNIFORM,2,0,lane_change_left,11,4.0209,0.3376,0.1667
UNIFORM,2,0,lane_change_left,12,3.9371,0.3605,0.1667
UNIFORM,2,0,lane_change_left,13,3.8603,0.3806,0.1667
UNIFORM,2,0,lane_change_left,14,3.7881,0.3992,0.1667
UNIFORM,2,0,lane_change_left,15,3.7162,0.4246,0.1667
UNIFORM,3,0,decelerating,0,5.0000,0.0000,0.1667
UNIFORM,3,0,decelerating,1,4.9003,0.0015,0.1667
UNIFORM,3,0,decelerating,2,4.7978,0.0005,0.1667
UNIFORM,3,0,decelerating,3,4.6883,-0.0025,0.1667
UNIFORM,3,0,decelerating,4,4.5699,-0.0105,0.1667
UNIFORM,3,0,decelerating,5,4.4452,-0.0295,0.1667
UNIFORM,3,0,decelerating,6,4.3136,-0.0551,0.1667
UNIFORM,3,0,decelerating,7,4.1754,-0.0860,0.1667
UNIFORM,3,0,decelerating,8,4.0306,-0.1228,0.1667
UNIFORM,3,0,decelerating,9,3.8769,-0.1661,0.1667
UNIFORM,3,0,decelerating,10,3.7151,-0.2200,0.1667
UNIFORM,3,0,decelerating,11,3.5534,-0.2824,0.1667
UNIFORM,3,0,decelerating,12,3.3894,-0.3523,0.1667
UNIFORM,3,0,decelerating,13,3.2169,-0.4306,0.1667
UNIFORM,3,0,decelerating,14,3.0329,-0.5122,0.1667
UNIFORM,3,0,decelerating,15,2.8387,-0.5957,0.1667
UNIFORM,4,0,decelerating,0,5.0000,0.0000,0.1667
UNIFORM,4,0,decelerating,1,4.9027,0.0025,0.1667
UNIFORM,4,0,decelerating,2,4.8020,0.0023,0.1667
UNIFORM,4,0,decelerating,3,4.6984,-0.0066,0.1667
UNIFORM,4,0,decelerating,4,4.5936,-0.0192,0.1667
UNIFORM,4,0,decelerating,5,4.4896,-0.0367,0.1667
UNIFORM,4,0,decelerating,6,4.3836,-0.0637,0.1667
UNIFORM,4,0,decelerating,7,4.2675,-0.0968,0.1667
UNIFORM,4,0,decelerating,8,4.1426,-0.1332,0.1667
UNIFORM,4,0,decelerating,9,4.0123,-0.1705,0.1667
UNIFORM,4,0,decelerating,10,3.8782,-0.2109,0.1667
UNIFORM,4,0,decelerating,11,3.7404,-0.2579,0.1667
UNIFORM,4,0,decelerating,12,3.5997,-0.3119,0.1667
UNIFORM,4,0,decelerating,13,3.4532,-0.3715,0.1667
UNIFORM,4,0,decelerating,14,3.3012,-0.4362,0.1667
UNIFORM,4,0,decelerating,15,3.1445,-0.5052,0.1667
UNIFORM,5,0,turn_right,0,5.0000,0.0000,0.1667
UNIFORM,5,0,turn_right,1,4.9011,-0.0032,0.1667
UNIFORM,5,0,turn_right,2,4.8043,-0.0073,0.1667
UNIFORM,5,0,turn_right,3,4.7065,-0.0045,0.1667
UNIFORM,5,0,turn_right,4,4.6115,0.0040,0.1667
UNIFORM,5,0,turn_right,5,4.5200,0.0148,0.1667
UNIFORM,5,0,turn_right,6,4.4273,0.0281,0.1667
UNIFORM,5,0,turn_right,7,4.3352,0.0464,0.1667
UNIFORM,5,0,turn_right,8,4.2435,0.0691,0.1667
UNIFORM,5,0,turn_right,9,4.1546,0.0923,0.1667
UNIFORM,5,0,turn_right,10,4.0691,0.1157,0.1667
UNIFORM,5,0,turn_right,11,3.9869,0.1414,0.1667
UNIFORM,5,0,turn_right,12,3.9093,0.1717,0.1667
UNIFORM,5,0,turn_right,13,3.8299,0.2098,0.1667
UNIFORM,5,0,turn_right,14,3.7446,0.2507,0.1667
UNIFORM,5,0,turn_right,15,3.6508,0.2895,0.1667
UNIFORM,6,0,turn_right,0,5.0000,0.0000,0.1667
UNIFORM,6,0,turn_right,1,4.8967,0.0029,0.1667
UNIFORM,6,0,turn_right,2,4.7936,0.0072,0.1667
UNIFORM,6,0,turn_right,3,4.6916,0.0153,0.1667
UNIFORM,6,0,turn_right,4,4.5891,0.0370,0.1667
UNIFORM,6,0,turn_right,5,4.4858,0.0712,0.1667
UNIFORM,6,0,turn_right,6,4.3812,0.1105,0.1667
UNIFORM,6,0,turn_right,7,4.2808,0.1529,0.1667
UNIFORM,6,0,turn_right,8,4.1792,0.1961,0.1667
UNIFORM,6,0,turn_right,9,4.0775,0.2433,0.1667
UNIFORM,6,0,turn_right,10,3.9798,0.2976,0.1667
UNIFORM,6,0,turn_right,11,3.8898,0.3560,0.1667
UNIFORM,6,0,turn_right,12,3.8085,0.4173,0.1667
UNIFORM,6,0,turn_right,13,3.7306,0.4805,0.1667
UNIFORM,6,0,turn_right,14,3.6577,0.5404,0.1667
UNIFORM,6,0,turn_right,15,3.5888,0.5976,0.1667
UNIFORM,7,0,constant_velocity,0,5.0000,0.0000,0.1667
UNIFORM,7,0,constant_velocity,1,4.8976,-0.0015,0.1667
UNIFORM,7,0,constant_velocity,2,4.7926,-0.0088,0.1667
UNIFORM,7,0,constant_velocity,3,4.6839,-0.0246,0.1667
UNIFORM,7,0,constant_velocity,4,4.5691,-0.0410,0.1667
UNIFORM,7,0,constant_velocity,5,4.4492,-0.0565,0.1667
UNIFORM,7,0,constant_velocity,6,4.3294,-0.0756,0.1667
UNIFORM,7,0,constant_velocity,7,4.2128,-0.0977,0.1667
UNIFORM,7,0,constant_velocity,8,4.0928,-0.1204,0.1667
UNIFORM,7,0,constant_velocity,9,3.9644,-0.1433,0.1667
UNIFORM,7,0,constant_velocity,10,3.8302,-0.1669,0.1667
UNIFORM,7,0,constant_velocity,11,3.6929,-0.1904,0.1667
UNIFORM,7,0,constant_velocity,12,3.5503,-0.2092,0.1667
UNIFORM,7,0,constant_velocity,13,3.4007,-0.2200,0.1667
UNIFORM,7,0,constant_velocity,14,3.2486,-0.2274,0.1667
UNIFORM,7,0,constant_velocity,15,3.0977,-0.2392,0.1667
UNIFORM,8,0,decelerating,0,5.0000,0.0000,0.1667
UNIFORM,8,0,decelerating,1,4.8986,0.0019,0.1667
UNIFORM,8,0,decelerating,2,4.7908,0.0021,0.1667
UNIFORM,8,0,decelerating,3,4.6769,-0.0003,0.1667
UNIFORM,8,0,decelerating,4,4.5612,-0.0085,0.1667
UNIFORM,8,0,decelerating,5,4.4443,-0.0247,0.1667
UNIFORM,8,0,decelerating,6,4.3262,-0.0483,0.1667
UNIFORM,8,0,decelerating,7,4.2052,-0.0793,0.1667
UNIFORM,8,0,decelerating,8,4.0770,-0.1189,0.1667
UNIFORM,8,0,decelerating,9,3.9426,-0.1649,0.1667
UNIFORM,8,0,decelerating,10,3.8020,-0.2136,0.1667
UNIFORM,8,0,decelerating,11,3.6553,-0.2656,0.1667
UNIFORM,8,0,decelerating,12,3.5034,-0.3176,0.1667
