step,weight_type,mode,weight,true_mode
0,UNIFORM,constant_velocity,0.166667,constant_velocity
0,UNIFORM,decelerating,0.166667,constant_velocity
0,UNIFORM,lane_change_left,0.166667,constant_velocity
0,UNIFORM,lane_change_right,0.166667,constant_velocity
0,UNIFORM,turn_left,0.166667,constant_velocity
0,UNIFORM,turn_right,0.166667,constant_velocity
1,UNIFORM,constant_velocity,0.166667,constant_velocity
1,UNIFORM,decelerating,0.166667,constant_velocity
1,UNIFORM,lane_change_left,0.166667,constant_velocity
1,UNIFORM,lane_change_right,0.166667,constant_velocity
1,UNIFORM,turn_left,0.166667,constant_velocity
1,UNIFORM,turn_right,0.166667,constant_velocity
2,UNIFORM,constant_velocity,0.166667,constant_velocity
2,UNIFORM,decelerating,0.166667,constant_velocity
2,UNIFORM,lane_change_left,0.166667,constant_velocity
2,UNIFORM,lane_change_right,0.166667,constant_velocity
2,UNIFORM,turn_left,0.166667,constant_velocity
2,UNIFORM,turn_right,0.166667,constant_velocity
3,UNIFORM,constant_velocity,0.166667,constant_velocity
3,UNIFORM,decelerating,0.166667,constant_velocity
3,UNIFORM,lane_change_left,0.166667,constant_velocity
3,UNIFORM,lane_change_right,0.166667,constant_velocity
3,UNIFORM,turn_left,0.166667,constant_velocity
3,UNIFORM,turn_right,0.166667,constant_velocity
4,UNIFORM,constant_velocity,0.166667,constant_velocity
4,UNIFORM,decelerating,0.166667,constant_velocity
4,UNIFORM,lane_change_left,0.166667,constant_velocity
4,UNIFORM,lane_change_right,0.166667,constant_velocity
4,UNIFORM,turn_left,0.166667,constant_velocity
4,UNIFORM,turn_right,0.166667,constant_velocity
5,UNIFORM,constant_velocity,0.166667,constant_velocity
5,UNIFORM,decelerating,0.166667,constant_velocity
5,UNIFORM,lane_change_left,0.166667,constant_velocity
5,UNIFORM,lane_change_right,0.166667,constant_velocity
5,UNIFORM,turn_left,0.166667,constant_velocity
5,UNIFORM,turn_right,0.166667,constant_velocity
6,UNIFORM,constant_velocity,0.166667,constant_velocity
6,UNIFORM,decelerating,0.166667,constant_velocity
6,UNIFORM,lane_change_left,0.166667,constant_velocity
6,UNIFORM,lane_change_right,0.166667,constant_velocity
6,UNIFORM,turn_left,0.166667,constant_velocity
6,UNIFORM,turn_right,0.166667,constant_velocity
7,UNIFORM,constant_velocity,0.166667,constant_velocity
7,UNIFORM,decelerating,0.166667,constant_velocity
7,UNIFORM,lane_change_left,0.166667,constant_velocity
7,UNIFORM,lane_change_right,0.166667,constant_velocity
7,UNIFORM,turn_left,0.166667,constant_velocity
7,UNIFORM,turn_right,0.166667,constant_velocity
8,UNIFORM,constant_velocity,0.166667,constant_velocity
8,UNIFORM,decelerating,0.166667,constant_velocity
8,UNIFORM,lane_change_left,0.166667,constant_velocity
8,UNIFORM,lane_change_right,0.166667,constant_velocity
8,UNIFORM,turn_left,0.166667,constant_velocity
8,UNIFORM,turn_right,0.166667,constant_velocity
9,UNIFORM,constant_velocity,0.166667,constant_velocity
9,UNIFORM,decelerating,0.166667,constant_velocity
9,UNIFORM,lane_change_left,0.166667,constant_velocity
9,UNIFORM,lane_change_right,0.166667,constant_velocity
9,UNIFORM,turn_left,0.166667,constant_velocity
9,UNIFORM,turn_right,0.166667,constant_velocity
10,UNIFORM,constant_velocity,0.166667,constant_velocity
10,UNIFORM,decelerating,0.166667,constant_velocity
10,UNIFORM,lane_change_left,0.166667,constant_velocity
10,UNIFORM,lane_change_right,0.166667,constant_velocity
10,UNIFORM,turn_left,0.166667,constant_velocity
10,UNIFORM,turn_right,0.166667,constant_velocity
11,UNIFORM,constant_velocity,0.166667,constant_velocity
11,UNIFORM,decelerating,0.166667,constant_velocity
11,UNIFORM,lane_change_left,0.166667,constant_velocity
11,UNIFORM,lane_change_right,0.166667,constant_velocity
11,UNIFORM,turn_left,0.166667,constant_velocity
11,UNIFORM,turn_right,0.166667,constant_velocity
12,UNIFORM,constant_velocity,0.166667,constant_velocity
12,UNIFORM,decelerating,0.166667,constant_velocity
12,UNIFORM,lane_change_left,0.166667,constant_velocity
12,UNIFORM,lane_change_right,0.166667,constant_velocity
12,UNIFORM,turn_left,0.166667,constant_velocity
12,UNIFORM,turn_right,0.166667,constant_velocity
13,UNIFORM,constant_velocity,0.166667,constant_velocity
13,UNIFORM,decelerating,0.166667,constant_velocity
13,UNIFORM,lane_change_left,0.166667,constant_velocity
13,UNIFORM,lane_change_right,0.166667,constant_velocity
13,UNIFORM,turn_left,0.166667,constant_velocity
13,UNIFORM,turn_right,0.166667,constant_velocity
14,UNIFORM,constant_velocity,0.166667,constant_velocity
14,UNIFORM,decelerating,0.166667,constant_velocity
14,UNIFORM,lane_change_left,0.166667,constant_velocity
14,UNIFORM,lane_change_right,0.166667,constant_velocity
14,UNIFORM,turn_left,0.166667,constant_velocity
14,UNIFORM,turn_right,0.166667,constant_velocity
15,UNIFORM,constant_velocity,0.166667,constant_velocity
15,UNIFORM,decelerating,0.166667,constant_velocity
15,UNIFORM,lane_change_left,0.166667,constant_velocity
15,UNIFORM,lane_change_right,0.166667,constant_velocity
15,UNIFORM,turn_left,0.166667,constant_velocity
15,UNIFORM,turn_right,0.166667,constant_velocity
16,UNIFORM,constant_velocity,0.166667,constant_velocity
16,UNIFORM,decelerating,0.166667,constant_velocity
16,UNIFORM,lane_change_left,0.166667,constant_velocity
16,UNIFORM,lane_change_right,0.166667,constant_velocity
16,UNIFORM,turn_left,0.166667,constant_velocity
16,UNIFORM,turn_right,0.166667,constant_velocity
17,UNIFORM,constant_velocity,0.166667,constant_velocity
17,UNIFORM,decelerating,0.166667,constant_velocity
17,UNIFORM,lane_change_left,0.166667,constant_velocity
17,UNIFORM,lane_change_right,0.166667,constant_velocity
17,UNIFORM,turn_left,0.166667,constant_velocity
17,UNIFORM,turn_right,0.166667,constant_velocity
18,UNIFORM,constant_velocity,0.166667,constant_velocity
18,UNIFORM,decelerating,0.166667,constant_velocity
18,UNIFORM,lane_change_left,0.166667,constant_velocity
18,UNIFORM,lane_change_right,0.166667,constant_velocity
18,UNIFORM,turn_left,0.166667,constant_velocity
18,UNIFORM,turn_right,0.166667,constant_velocity
19,UNIFORM,constant_velocity,0.166667,constant_velocity
19,UNIFORM,decelerating,0.166667,constant_velocity
19,UNIFORM,lane_change_left,0.166667,constant_velocity
19,UNIFORM,lane_change_right,0.166667,constant_velocity
19,UNIFORM,turn_left,0.166667,constant_velocity
19,UNIFORM,turn_right,0.166667,constant_velocity
20,UNIFORM,constant_velocity,0.166667,turn_left
20,UNIFORM,decelerating,0.166667,turn_left
20,UNIFORM,lane_change_left,0.166667,turn_left
20,UNIFORM,lane_change_right,0.166667,turn_left
20,UNIFORM,turn_left,0.166667,turn_left
20,UNIFORM,turn_right,0.166667,turn_left
21,UNIFORM,constant_velocity,0.166667,turn_left
21,UNIFORM,decelerating,0.166667,turn_left
21,UNIFORM,lane_change_left,0.166667,turn_left
21,UNIFORM,lane_change_right,0.166667,turn_left
21,UNIFORM,turn_left,0.166667,turn_left
21,UNIFORM,turn_right,0.166667,turn_left
22,UNIFORM,constant_velocity,0.166667,turn_left
22,UNIFORM,decelerating,0.166667,turn_left
22,UNIFORM,lane_change_left,0.166667,turn_left
22,UNIFORM,lane_change_right,0.166667,turn_left
22,UNIFORM,turn_left,0.166667,turn_left
22,UNIFORM,turn_right,0.166667,turn_left
23,UNIFORM,constant_velocity,0.166667,turn_left
23,UNIFORM,decelerating,0.166667,turn_left
23,UNIFORM,lane_change_left,0.166667,turn_left
23,UNIFORM,lane_change_right,0.166667,turn_left
23,UNIFORM,turn_left,0.166667,turn_left
23,UNIFORM,turn_right,0.166667,turn_left
24,UNIFORM,constant_velocity,0.166667,turn_left
24,UNIFORM,decelerating,0.166667,turn_left
24,UNIFORM,lane_change_left,0.166667,turn_left
24,UNIFORM,lane_change_right,0.166667,turn_left
24,UNIFORM,turn_left,0.166667,turn_left
24,UNIFORM,turn_right,0.166667,turn_left
25,UNIFORM,constant_velocity,0.166667,turn_left
25,UNIFORM,decelerating,0.166667,turn_left
25,UNIFORM,lane_change_left,0.166667,turn_left
25,UNIFORM,lane_change_right,0.166667,turn_left
25,UNIFORM,turn_left,0.166667,turn_left
25,UNIFORM,turn_right,0.166667,turn_left
26,UNIFORM,constant_velocity,0.166667,turn_left
26,UNIFORM,decelerating,0.166667,turn_left
26,UNIFORM,lane_change_left,0.166667,turn_left
26,UNIFORM,lane_change_right,0.166667,turn_left
26,UNIFORM,turn_left,0.166667,turn_left
26,UNIFORM,turn_right,0.166667,turn_left
27,UNIFORM,constant_velocity,0.166667,turn_left
27,UNIFORM,decelerating,0.166667,turn_left
27,UNIFORM,lane_change_left,0.166667,turn_left
27,UNIFORM,lane_change_right,0.166667,turn_left
27,UNIFORM,turn_left,0.166667,turn_left
27,UNIFORM,turn_right,0.166667,turn_left
28,UNIFORM,constant_velocity,0.166667,turn_left
28,UNIFORM,decelerating,0.166667,turn_left
28,UNIFORM,lane_change_left,0.166667,turn_left
28,UNIFORM,lane_change_right,0.166667,turn_left
28,UNIFORM,turn_left,0.166667,turn_left
28,UNIFORM,turn_right,0.166667,turn_left
29,UNIFORM,constant_velocity,0.166667,turn_left
29,UNIFORM,decelerating,0.166667,turn_left
29,UNIFORM,lane_change_left,0.166667,turn_left
29,UNIFORM,lane_change_right,0.166667,turn_left
29,UNIFORM,turn_left,0.166667,turn_left
29,UNIFORM,turn_right,0.166667,turn_left
30,UNIFORM,constant_velocity,0.166667,turn_left
30,UNIFORM,decelerating,0.166667,turn_left
30,UNIFORM,lane_change_left,0.166667,turn_left
30,UNIFORM,lane_change_right,0.166667,turn_left
30,UNIFORM,turn_left,0.166667,turn_left
30,UNIFORM,turn_right,0.166667,turn_left
31,UNIFORM,constant_velocity,0.166667,turn_left
31,UNIFORM,decelerating,0.166667,turn_left
31,UNIFORM,lane_change_left,0.166667,turn_left
31,UNIFORM,lane_change_right,0.166667,turn_left
31,UNIFORM,turn_left,0.166667,turn_left
31,UNIFORM,turn_right,0.166667,turn_left
32,UNIFORM,constant_velocity,0.166667,turn_left
32,UNIFORM,decelerating,0.166667,turn_left
32,UNIFORM,lane_change_left,0.166667,turn_left
32,UNIFORM,lane_change_right,0.166667,turn_left
32,UNIFORM,turn_left,0.166667,turn_left
32,UNIFORM,turn_right,0.166667,turn_left
33,UNIFORM,constant_velocity,0.166667,turn_left
33,UNIFORM,decelerating,0.166667,turn_left
33,UNIFORM,lane_change_left,0.166667,turn_left
33,UNIFORM,lane_change_right,0.166667,turn_left
33,UNIFORM,turn_left,0.166667,turn_left
33,UNIFORM,turn_right,0.166667,turn_left
34,UNIFORM,constant_velocity,0.166667,turn_left
34,UNIFORM,decelerating,0.166667,turn_left
34,UNIFORM,lane_change_left,0.166667,turn_left
34,UNIFORM,lane_change_right,0.166667,turn_left
34,UNIFORM,turn_left,0.166667,turn_left
34,UNIFORM,turn_right,0.166667,turn_left
35,UNIFORM,constant_velocity,0.166667,turn_left
35,UNIFORM,decelerating,0.166667,turn_left
35,UNIFORM,lane_change_left,0.166667,turn_left
35,UNIFORM,lane_change_right,0.166667,turn_left
35,UNIFORM,turn_left,0.166667,turn_left
35,UNIFORM,turn_right,0.166667,turn_left
36,UNIFORM,constant_velocity,0.166667,turn_left
36,UNIFORM,decelerating,0.166667,turn_left
36,UNIFORM,lane_change_left,0.166667,turn_left
36,UNIFORM,lane_change_right,0.166667,turn_left
36,UNIFORM,turn_left,0.166667,turn_left
36,UNIFORM,turn_right,0.166667,turn_left
37,UNIFORM,constant_velocity,0.166667,turn_left
37,UNIFORM,decelerating,0.166667,turn_left
37,UNIFORM,lane_change_left,0.166667,turn_left
37,UNIFORM,lane_change_right,0.166667,turn_left
37,UNIFORM,turn_left,0.166667,turn_left
37,UNIFORM,turn_right,0.166667,turn_left
38,UNIFORM,constant_velocity,0.166667,turn_left
38,UNIFORM,decelerating,0.166667,turn_left
38,UNIFORM,lane_change_left,0.166667,turn_left
38,UNIFORM,lane_change_right,0.166667,turn_left
38,UNIFORM,turn_left,0.166667,turn_left
38,UNIFORM,turn_right,0.166667,turn_left
39,UNIFORM,constant_velocity,0.166667,turn_left
39,UNIFORM,decelerating,0.166667,turn_left
39,UNIFORM,lane_change_left,0.166667,turn_left
39,UNIFORM,lane_change_right,0.166667,turn_left
39,UNIFORM,turn_left,0.166667,turn_left
39,UNIFORM,turn_right,0.166667,turn_left
40,UNIFORM,constant_velocity,0.166667,decelerating
40,UNIFORM,decelerating,0.166667,decelerating
40,UNIFORM,lane_change_left,0.166667,decelerating
40,UNIFORM,lane_change_right,0.166667,decelerating
40,UNIFORM,turn_left,0.166667,decelerating
40,UNIFORM,turn_right,0.166667,decelerating
41,UNIFORM,constant_velocity,0.166667,decelerating
41,UNIFORM,decelerating,0.166667,decelerating
41,UNIFORM,lane_change_left,0.166667,decelerating
41,UNIFORM,lane_change_right,0.166667,decelerating
41,UNIFORM,turn_left,0.166667,decelerating
41,UNIFORM,turn_right,0.166667,decelerating
42,UNIFORM,constant_velocity,0.166667,decelerating
42,UNIFORM,decelerating,0.166667,decelerating
42,UNIFORM,lane_change_left,0.166667,decelerating
42,UNIFORM,lane_change_right,0.166667,decelerating
42,UNIFORM,turn_left,0.166667,decelerating
42,UNIFORM,turn_right,0.166667,decelerating
43,UNIFORM,constant_velocity,0.166667,decelerating
43,UNIFORM,decelerating,0.166667,decelerating
43,UNIFORM,lane_change_left,0.166667,decelerating
43,UNIFORM,lane_change_right,0.166667,decelerating
43,UNIFORM,turn_left,0.166667,decelerating
43,UNIFORM,turn_right,0.166667,decelerating
44,UNIFORM,constant_velocity,0.166667,decelerating
44,UNIFORM,decelerating,0.166667,decelerating
44,UNIFORM,lane_change_left,0.166667,decelerating
44,UNIFORM,lane_change_right,0.166667,decelerating
44,UNIFORM,turn_left,0.166667,decelerating
44,UNIFORM,turn_right,0.166667,decelerating
45,UNIFORM,constant_velocity,0.166667,decelerating
45,UNIFORM,decelerating,0.166667,decelerating
45,UNIFORM,lane_change_left,0.166667,decelerating
45,UNIFORM,lane_change_right,0.166667,decelerating
45,UNIFORM,turn_left,0.166667,decelerating
45,UNIFORM,turn_right,0.166667,decelerating
46,UNIFORM,constant_velocity,0.166667,decelerating
46,UNIFORM,decelerating,0.166667,decelerating
46,UNIFORM,lane_change_left,0.166667,decelerating
46,UNIFORM,lane_change_right,0.166667,decelerating
46,UNIFORM,turn_left,0.166667,decelerating
46,UNIFORM,turn_right,0.166667,decelerating
47,UNIFORM,constant_velocity,0.166667,decelerating
47,UNIFORM,decelerating,0.166667,decelerating
47,UNIFORM,lane_change_left,0.166667,decelerating
47,UNIFORM,lane_change_right,0.166667,decelerating
47,UNIFORM,turn_left,0.166667,decelerating
47,UNIFORM,turn_right,0.166667,decelerating
48,UNIFORM,constant_velocity,0.166667,decelerating
48,UNIFORM,decelerating,0.166667,decelerating
48,UNIFORM,lane_change_left,0.166667,decelerating
48,UNIFORM,lane_change_right,0.166667,decelerating
48,UNIFORM,turn_left,0.166667,decelerating
48,UNIFORM,turn_right,0.166667,decelerating
49,UNIFORM,constant_velocity,0.166667,decelerating
49,UNIFORM,decelerating,0.166667,decelerating
49,UNIFORM,lane_change_left,0.166667,decelerating
49,UNIFORM,lane_change_right,0.166667,decelerating
49,UNIFORM,turn_left,0.166667,decelerating
49,UNIFORM,turn_right,0.166667,decelerating
50,UNIFORM,constant_velocity,0.166667,decelerating
50,UNIFORM,decelerating,0.166667,decelerating
