variant,switch_prob,missed_mode_rate,avg_progress,avg_clearance
Base,0,0,11.73,1.507
Base,0.05,0.1892,13.31,1.343
Base,0.1,0.23,14.05,1.3
Base,0.2,0.2751,14.83,1.186
Base,0.3,0.2866,14.9,1.27
Base,0.5,0.3067,13.64,1.243
DRO,0,3.333e-05,7.927,1.681
DRO,0.05,0.1896,11.49,1.422
DRO,0.1,0.2258,11.5,1.3
DRO,0.2,0.2803,12.51,1.222
DRO,0.3,0.287,13.31,1.332
DRO,0.5,0.3074,13.53,1.313
OT,0,0,11.31,1.454
OT,0.05,0.08927,13.14,1.279
OT,0.1,0.1263,14.09,1.266
OT,0.2,0.1913,14.86,1.223
OT,0.3,0.211,15.9,1.222
OT,0.5,0.2532,14.46,1.245
OT+DRO,0,3.333e-05,7.542,1.667
OT+DRO,0.05,0.08373,11.54,1.422
OT+DRO,0.1,0.1288,10.43,1.311
OT+DRO,0.2,0.1873,12.19,1.226
OT+DRO,0.3,0.2167,13.5,1.357
OT+DRO,0.5,0.2541,13,1.337
Base+SH,0,0,20.07,1.045
Base+SH,0.05,0.1866,20.06,1.025
Base+SH,0.1,0.2404,19.96,1.038
Base+SH,0.2,0.279,20.02,1.031
Base+SH,0.3,0.287,20.06,1.05
Base+SH,0.5,0.3078,19.86,1.026
OT+SH,0,0,19.96,1.052
OT+SH,0.05,0.08033,20.06,1.04
OT+SH,0.1,0.1318,19.96,1.045
OT+SH,0.2,0.1853,19.87,1.04
OT+SH,0.3,0.2109,20,1.049
OT+SH,0.5,0.2527,19.86,1.05
OT+ADV,0,0,9.113,1.601
OT+ADV,0.05,0.08777,12.18,1.424
OT+ADV,0.1,0.1259,12.2,1.36
OT+ADV,0.2,0.1918,11.82,1.246
OT+ADV,0.3,0.2148,13.8,1.347
OT+ADV,0.5,0.2572,13.77,1.366
OT+ADV+SH,0,0,19.93,1.02
OT+ADV+SH,0.05,0.08023,20.05,1.023
OT+ADV+SH,0.1,0.13,20.05,1.024
OT+ADV+SH,0.2,0.1831,19.88,1.02
OT+ADV+SH,0.3,0.208,20.06,1.029
OT+ADV+SH,0.5,0.2505,20.05,1.001
494,19.86,1.008
