variant,step,missed_fraction
Base,0,0
Base,1,0.05
Base,2,0.05
Base,3,0
Base,4,0.05
Base,5,0
Base,6,0.1
Base,7,0.05
Base,8,0.05
Base,9,0.05
Base,10,0.15
Base,11,0.05
Base,12,0.05
Base,13,0.15
Base,14,0.1
Base,15,0.1
Base,16,0.15
Base,17,0.25
Base,18,0.15
Base,19,0.25
Base,20,0.2
Base,21,0.3
Base,22,0.25
Base,23,0.2
Base,24,0.15
Base,25,0.3
Base,26,0.25
Base,27,0.3
Base,28,0.3
Base,29,0.25
Base,30,0.25
Base,31,0.15
Base,32,0.3
Base,33,0.15
Base,34,0.15
Base,35,0.25
Base,36,0.05
Base,37,0.25
Base,38,0.15
Base,39,0.1
Base,40,0.1
Base,41,0.15
Base,42,0.3
Base,43,0.3
Base,44,0.15
Base,45,0.3
Base,46,0.25
Base,47,0.25
Base,48,0.3
Base,49,0.3
Base,50,0.25
Base,51,0.4
Base,52,0.2
Base,53,0.05
Base,54,0.15
Base,55,0.2
Base,56,0.25
Base,57,0.35
Base,58,0.15
Base,59,0.15
Base,60,0.35
Base,61,0.2
Base,62,0.3
Base,63,0.4
Base,64,0.2
Base,65,0.35
Base,66,0.45
Base,67,0.25
Base,68,0.4
Base,69,0.25
Base,70,0.35
Base,71,0.25
Base,72,0.35
Base,73,0.4
Base,74,0.2
Base,75,0.45
Base,76,0.35
Base,77,0.3
Base,78,0.4
Base,79,0.45
Base,80,0.4
Base,81,0.2
Base,82,0.45
Base,83,0.35
Base,84,0.1
Base,85,0.4
Base,86,0.35
Base,87,0.3
Base,88,0.35
Base,89,0.35
Base,90,0.5
Base,91,0.35
Base,92,0.25
Base,93,0.3
Base,94,0.35
Base,95,0.25
Base,96,0.45
Base,97,0.35
Base,98,0.4
Base,99,0.4
Base,100,0.3
Base,101,0.3
Base,102,0.35
Base,103,0.25
Base,104,0.4
Base,105,0.25
Base,106,0.35
Base,107,0.3
Base,108,0.35
Base,109,0.65
Base,110,0.3
Base,111,0.35
Base,112,0.25
Base,113,0.55
Base,114,0.45
Base,115,0.4
Base,116,0.5
Base,117,0.4
Base,118,0.4
Base,119,0.4
Base,120,0.55
Base,121,0.4
Base,122,0.35
Base,123,0.35
Base,124,0.45
Base,125,0.45
Base,126,0.45
Base,127,0.4
Base,128,0.4
Base,129,0.2
Base,130,0.35
Base,131,0.3
Base,132,0.4
Base,133,0.3
Base,134,0.3
Base,135,0.25
Base,136,0.3
Base,137,0.4
Base,138,0.25
Base,139,0.25
Base,140,0.6
Base,141,0.3
Base,142,0.45
Base,143,0.35
Base,144,0.35
Base,145,0.3
Base,146,0.25
Base,147,0.15
Base,148,0.2
Base,149,0.2
DRO,0,0
DRO,1,0.1
DRO,2,0.1
DRO,3,0.05
DRO,4,0.05
DRO,5,0
DRO,6,0.05
DRO,7,0.05
DRO,8,0
DRO,9,0.05
DRO,10,0
DRO,11,0.1
DRO,12,0.2
DRO,13,0.1
DRO,14,0.25
DRO,15,0.15
DRO,16,0.35
DRO,17,0.25
DRO,18,0.1
DRO,19,0.15
DRO,20,0.25
DRO,21,0.25
DRO,22,0.15
DRO,23,0.3
DRO,24,0.3
DRO,25,0.3
DRO,26,0.35
DRO,27,0.15
DRO,28,0.15
DRO,29,0.45
DRO,30,0.25
DRO,31,0.25
DRO,32,0.2
DRO,33,0.15
DRO,34,0.1
DRO,35,0.15
DRO,36,0.15
DRO,37,0.3
DRO,38,0.25
DRO,39,0.15
DRO,40,0
DRO,41,0.15
DRO,42,0.15
DRO,43,0.2
DRO,44,0.2
DRO,45,0.15
DRO,46,0.1
DRO,47,0.25
DRO,48,0.25
DRO,49,0.25
DRO,50,0.25
DRO,51,0.35
DRO,52,0.3
DRO,53,0.1
DRO,54,0.15
DRO,55,0.25
DRO,56,0.3
DRO,57,0.5
DRO,58,0.1
DRO,59,0.2
DRO,60,0.1
DRO,61,0.3
DRO,62,0.15
DRO,63,0.25
DRO,64,0.25
DRO,65,0.15
DRO,66,0.35
DRO,67,0.4
DRO,68,0.3
DRO,69,0.35
DRO,70,0.45
DRO,71,0.35
DRO,72,0.3
DRO,73,0.35
DRO,74,0.4
DRO,75,0.5
DRO,76,0.35
DRO,77,0.5
DRO,78,0.4
DRO,79,0.5
DRO,80,0.25
DRO,81,0.35
DRO,82,0.3
DRO,83,0.25
DRO,84,0.15
DRO,85,0.3
DRO,86,0.4
DRO,87,0.4
DRO,88,0.4
DRO,89,0.3
DRO,90,0.3
DRO,91,0.45
DRO,92,0.5
DRO,93,0.3
DRO,94,0.45
DRO,95,0.2
DRO,96,0.4
DRO,97,0.55
DRO,98,0.3
DRO,99,0.3
DRO,100,0.25
DRO,101,0.45
DRO,102,0.45
DRO,103,0.3
DRO,104,0.4
DRO,105,0.45
DRO,106,0.4
DRO,107,0.35
DRO,108,0.4
DRO,109,0.3
DRO,110,0.35
DRO,111,0.45
DRO,112,0.6
DRO,113,0.3
DRO,114,0.4
DRO,115,0.5
DRO,116,0.35
DRO,117,0.5
DRO,118,0.3
DRO,119,0.5
DRO,120,0.3
DRO,121,0.5
DRO,122,0.3
DRO,123,0.55
DRO,124,0.35
DRO,125,0.35
DRO,126,0.35
DRO,127,0.35
DRO,128,0.1
DRO,129,0.3
DRO,130,0.2
DRO,131,0.5
DRO,132,0.3
DRO,133,0.3
DRO,134,0.35
DRO,135,0.25
DRO,136,0.45
DRO,137,0.4
DRO,138,0.3
DRO,139,0.45
DRO,140,0.35
DRO,141,0.3
DRO,142,0.3
DRO,143,0.25
DRO,144,0.5
DRO,145,0.25
DRO,146,0.2
DRO,147,0.1
DRO,148,0.15
DRO,149,0.25
OT,0,0.05
OT,1,0.1
OT,2,0
OT,3,0.05
OT,4,0
OT,5,0
OT,6,0
OT,7,0
OT,8,0
OT,9,0
OT,10,0.05
OT,11,0
OT,12,0
OT,13,0.05
OT,14,0.05
OT,15,0.1
OT,16,0.15
OT,17,0.15
OT,18,0.2
OT,19,0.1
OT,20,0.05
OT,21,0.15
OT,22,0.1
OT,23,0.2
OT,24,0.2
OT,25,0.1
OT,26,0.25
OT,27,0.15
OT,28,0.05
OT,29,0.15
OT,30,0.05
OT,31,0.15
OT,32,0.05
OT,33,0.05
OT,34,0.1
OT,35,0.15
OT,36,0.2
OT,37,0
OT,38,0.2
OT,39,0
OT,40,0.2
OT,41,0.1
OT,42,0
OT,43,0.2
OT,44,0.15
OT,45,0.15
OT,46,0.15
OT,47,0.2
OT,48,0.1
OT,49,0.05
OT,50,0.1
OT,51,0.2
OT,52,0.2
OT,53,0.1
OT,54,0.2
OT,55,0.05
OT,56,0.15
OT,57,0.2
OT,58,0.05
OT,59,0
OT,60,0.25
OT,61,0.1
OT,62,0.25
OT,63,0.15
OT,64,0.1
OT,65,0.2
OT,66,0.4
OT,67,0.3
OT,68,0.15
OT,69,0.15
OT,70,0.35
OT,71,0.15
OT,72,0.3
OT,73,0.25
OT,74,0.3
OT,75,0.3
OT,76,0.4
OT,77,0.1
OT,78,0.1
OT,79,0.15
OT,80,0.2
OT,81,0.2
OT,82,0.2
OT,83,0.15
OT,84,0
OT,85,0.4
OT,86,0.35
OT,87,0.55
OT,88,0.25
OT,89,0.3
OT,90,0.3
OT,91,0.1
OT,92,0.15
OT,93,0.25
OT,94,0.1
OT,95,0.25
OT,96,0.3
OT,97,0.25
OT,98,0.3
OT,99,0.15
OT,100,0.25
OT,101,0.45
OT,102,0.3
OT,103,0.2
OT,104,0.25
OT,105,0.3
OT,106,0.05
OT,107,0.25
OT,108,0.1
OT,109,0.15
OT,110,0.2
OT,111,0.05
OT,112,0.25
OT,113,0.2
OT,114,0.35
OT,115,0.25
OT,116,0.25
OT,117,0.45
OT,118,0.3
OT,119,0.45
OT,120,0.4
OT,121,0.2
OT,122,0.05
OT,123,0.1
OT,124,0.25
OT,125,0.25
OT,126,0.25
OT,127,0.15
OT,128,0.3
OT,129,0.15
OT,130,0.15
OT,131,0.2
OT,132,0.25
OT,133,0.3
OT,134,0.45
OT,135,0.2
OT,136,0.15
OT,137,0.25
OT,138,0.35
OT,139,0.25
OT,140,0.3
OT,141,0.4
OT,142,0.35
OT,143,0.25
OT,144,0.2
OT,145,0.05
OT,146,0.15
OT,147,0.25
OT,148,0.1
OT,149,0.15
OT+DRO,0,0
OT+DRO,1,0.05
OT+DRO,2,0
OT+DRO,3,0
OT+DRO,4,0
OT+DRO,5,0
OT+DRO,6,0.05
OT+DRO,7,0
OT+DRO,8,0
OT+DRO,9,0
OT+DRO,10,0
OT+DRO,11,0.05
OT+DRO,12,0.1
OT+DRO,13,0.15
OT+DRO,14,0.1
OT+DRO,15,0.15
OT+DRO,16,0.15
OT+DRO,17,0.1
OT+DRO,18,0.1
OT+DRO,19,0.2
OT+DRO,20,0.1
OT+DRO,21,0.15
OT+DRO,22,0.2
OT+DRO,23,0
OT+DRO,24,0.2
