environment,variant,seed,collision,missed_mode_rate,progress,min_clearance,mean_solve_ms,p99_solve_ms
Straight,Base,160000,0,0.2133,20.0014,1.0452,2.1095,11.6901
Straight,Base,160001,0,0.1933,0.1650,1.6810,1.7391,6.8030
Straight,Base,160002,0,0.3733,20.0703,1.0601,1.5622,9.3345
Straight,Base,160003,1,0.3467,19.9762,0.3197,1.9476,9.5168
Straight,Base,160004,0,0.2533,20.0719,1.0891,1.3303,4.2030
Straight,Base,160005,0,0.2867,20.0719,1.0346,1.5059,5.6346
Straight,Base,160006,0,0.3800,0.1650,1.8802,1.2379,3.3277
Straight,Base,160007,1,0.2067,0.1650,0.7341,1.2520,3.5260
Straight,Base,160008,0,0.2400,20.0715,1.1381,1.4955,7.7464
Straight,Base,160009,0,0.3533,0.1650,1.7248,1.4518,9.0752
Straight,Base,160010,0,0.3933,20.0329,0.9690,1.6961,5.5922
Straight,Base,160011,0,0.2133,19.9840,1.7096,2.3758,9.8867
Straight,Base,160012,0,0.2867,0.1650,2.3166,2.3619,9.2765
Straight,Base,160013,0,0.3333,19.9712,0.9819,1.7980,9.2207
Straight,Base,160014,1,0.2733,19.9528,0.5480,2.1797,9.3517
Straight,Base,160015,0,0.3000,0.1650,1.6316,1.2444,6.0058
Straight,Base,160016,1,0.1467,0.1650,0.8478,2.9577,9.5883
Straight,Base,160017,1,0.3933,20.6372,0.1819,2.0811,9.8179
Straight,Base,160018,0,0.2733,0.1649,1.8038,1.3914,6.3843
Straight,Base,160019,0,0.3267,0.1649,1.7437,2.2224,9.5022
Straight,Base,160020,0,0.1467,20.0705,1.0466,1.4578,5.7447
Straight,Base,160021,0,0.3333,0.1650,1.6027,2.5908,10.0301
Straight,Base,160022,0,0.2467,20.0595,1.4590,1.6313,9.9136
Straight,Base,160023,0,0.2533,20.0688,1.0346,1.6091,7.7036
Straight,Base,160024,0,0.2933,20.0695,1.0749,1.4961,5.8252
Straight,Base,160025,0,0.3000,0.1650,1.8345,1.7656,9.3542
Straight,Base,160026,0,0.3400,20.0698,1.0834,1.3801,5.6502
Straight,Base,160027,0,0.3000,20.0693,1.0981,1.4325,4.0670
Straight,Base,160028,0,0.2400,20.0701,1.0709,1.5472,5.1907
Straight,Base,160029,0,0.2533,20.0710,1.1090,1.5117,5.9471
Straight,Base,160030,0,0.2400,20.0690,1.1128,1.1869,5.9032
Straight,Base,160031,0,0.2933,2.5643,2.7163,2.2673,9.7226
Straight,Base,160032,0,0.1467,20.0554,1.0096,1.8815,6.8406
Straight,Base,160033,0,0.2400,0.1650,1.9034,1.3962,6.8985
Straight,Base,160034,0,0.1200,0.1650,1.9972,1.3148,4.2062
Straight,Base,160035,0,0.3000,0.1649,1.5012,1.3893,3.7903
Straight,Base,160036,0,0.2867,0.1650,1.6610,1.5421,9.5160
Straight,Base,160037,0,0.1600,20.0374,1.0452,1.4483,6.4569
Straight,Base,160038,0,0.1867,0.1649,2.2972,1.5534,7.5354
Straight,Base,160039,0,0.3333,19.9626,1.0243,2.3377,11.9711
Straight,Base,160040,0,0.2333,20.0692,1.0652,1.8634,9.7131
Straight,Base,160041,0,0.2667,20.0102,1.0572,1.7262,5.3799
Straight,Base,160042,0,0.1867,0.1650,2.2375,1.1996,6.8122
Straight,Base,160043,0,0.2267,19.9471,1.0579,1.9935,10.5361
Straight,Base,160044,0,0.2733,20.0693,1.1088,1.6055,5.6472
Straight,Base,160045,0,0.3400,20.0639,1.0217,1.5021,5.4209
Straight,Base,160046,0,0.3200,0.1649,2.4043,1.7931,9.8114
Straight,Base,160047,0,0.3200,20.0336,1.0316,1.5245,6.3352
Straight,Base,160048,0,0.2733,20.0007,2.0506,2.1994,9.5189
Straight,Base,160049,0,0.2533,0.1650,2.0784,1.5133,9.1063
Straight,Base,160050,0,0.2267,0.1650,1.5697,1.8841,5.8994
Straight,Base,160051,0,0.2667,20.0719,0.9889,1.6865,7.1960
Straight,Base,160052,0,0.3200,0.1648,1.6482,1.7862,7.5003
Straight,Base,160053,0,0.3333,0.1649,1.3332,1.4778,8.6538
Straight,Base,160054,0,0.2267,0.1649,0.9302,1.3185,4.0574
Straight,Base,160055,0,0.2067,0.1650,2.0272,2.6125,9.4790
Straight,Base,160056,0,0.1933,0.1649,2.4385,1.3789,3.7442
Straight,Base,160057,0,0.3067,0.1649,1.6730,1.3747,4.6954
Straight,Base,160058,0,0.2200,20.0681,1.0598,1.4764,5.0978
Straight,Base,160059,0,0.3333,20.0693,1.0757,1.6875,6.7471
Straight,Base,160060,0,0.3067,0.1650,1.8533,1.3617,8.9293
Straight,Base,160061,0,0.3333,0.1650,1.1767,1.1403,3.5103
Straight,Base,160062,0,0.2400,0.1650,2.0434,1.5359,8.3116
Straight,Base,160063,0,0.3000,20.0615,1.1216,1.3452,5.6609
Straight,Base,160064,0,0.2200,0.1650,1.6375,1.9539,8.9140
Straight,Base,160065,0,0.1800,20.0552,1.0115,1.9487,9.0136
Straight,Base,160066,0,0.2400,20.0701,1.0892,1.8512,9.6532
Straight,Base,160067,0,0.3200,0.1649,1.9167,1.6610,9.7158
Straight,Base,160068,0,0.2000,0.1650,2.3093,1.6464,6.9827
Straight,Base,160069,0,0.3000,20.0703,1.0369,1.2999,5.0944
Straight,Base,160070,1,0.2600,20.0256,0.8286,1.6682,8.1406
Straight,Base,160071,0,0.2800,0.1649,1.3639,1.9150,5.2766
Straight,Base,160072,0,0.2933,20.0345,2.4168,1.6101,8.7183
Straight,Base,160073,0,0.3000,19.9337,1.1089,2.0067,9.6286
Straight,Base,160074,0,0.2533,0.1650,1.9701,1.6616,9.6953
Straight,Base,160075,0,0.2667,0.1650,1.4046,1.4399,7.4384
Straight,Base,160076,0,0.1933,0.1650,2.1682,4.2601,13.8027
Straight,Base,160077,0,0.3533,20.0710,1.3989,1.5640,6.0010
Straight,Base,160078,0,0.2733,0.1650,1.7697,1.3644,7.6661
Straight,Base,160079,0,0.3533,0.1649,1.8752,1.4509,9.1968
Straight,Base,160080,0,0.3267,0.1649,2.6144,1.6446,9.2137
Straight,Base,160081,0,0.3133,0.1650,2.0824,1.7998,7.1291
Straight,Base,160082,0,0.3000,0.8398,1.7400,2.1605,8.9952
Straight,Base,160083,0,0.1933,20.0155,1.0705,1.7296,8.8308
Straight,Base,160084,0,0.3133,20.0650,1.0921,1.2151,4.8490
Straight,Base,160085,0,0.1800,20.0691,1.1163,1.2907,5.3743
Straight,Base,160086,0,0.1600,0.1648,1.8065,1.3315,7.5710
Straight,Base,160087,0,0.2600,0.1650,2.6558,1.5221,6.9489
Straight,Base,160088,0,0.3733,20.0662,1.0830,1.4164,5.8430
Straight,Base,160089,0,0.1667,20.0720,1.0691,1.3789,4.5006
Straight,Base,160090,0,0.2333,0.1650,2.2490,1.3749,4.6321
Straight,Base,160091,0,0.3267,20.3076,2.0459,2.2108,9.1660
Straight,Base,160092,0,0.2867,0.1650,1.6046,1.2444,4.4960
Straight,Base,160093,0,0.1933,0.1649,2.2386,1.4663,10.0203
Straight,Base,160094,1,0.2667,19.9525,0.1024,3.0419,13.4026
Straight,Base,160095,0,0.2267,0.1650,2.4208,1.3842,8.5480
Straight,Base,160096,0,0.2533,0.1649,1.5467,1.1422,5.6873
Straight,Base,160097,0,0.3600,20.0664,1.0477,1.5859,5.3353
Straight,Base,160098,0,0.2600,19.9326,1.0044,2.1486,9.3369
Straight,Base,160099,0,0.2800,20.0717,1.0191,1.3178,7.1152
Straight,OT,160000,0,0.1133,19.9611,0.9992,1.6887,7.1984
Straight,OT,160001,0,0.3333,0.1649,1.6811,2.1030,7.3836
Straight,OT,160002,0,0.2800,0.1649,1.7369,1.4323,7.0230
Straight,OT,160003,0,0.1933,0.1650,1.6653,1.3405,7.6019
Straight,OT,160004,0,0.1533,0.1650,1.1222,1.3570,7.9007
Straight,OT,160005,0,0.2400,0.1650,1.0557,1.9211,9.0704
Straight,OT,160006,0,0.2267,0.1649,1.8802,1.2218,5.2189
Straight,OT,160007,1,0.1267,0.1649,0.7340,1.1448,3.6018
Straight,OT,160008,0,0.1867,20.0700,1.0693,1.3279,5.6388
Straight,OT,160009,0,0.1733,0.1650,1.7248,1.4275,8.3147
Straight,OT,160010,0,0.2800,20.0477,1.0076,1.9028,7.9900
Straight,OT,160011,0,0.1933,21.0088,1.9483,2.9267,9.2673
Straight,OT,160012,0,0.1600,0.1649,2.3204,1.5050,7.4426
Straight,OT,160013,0,0.3067,0.1650,2.2121,1.5632,6.1540
Straight,OT,160014,1,0.1733,20.0111,0.7128,1.7969,8.6276
Straight,OT,160015,0,0.2867,0.1650,1.6352,1.2761,6.5950
Straight,OT,160016,1,0.1067,0.3442,0.7449,2.0956,9.9876
Straight,OT,160017,0,0.2467,19.6555,1.6308,2.8943,8.8937
Straight,OT,160018,0,0.1867,0.1650,1.8038,1.1916,6.2012
Straight,OT,160019,1,0.1400,19.9919,0.7245,1.8099,8.2511
Straight,OT,160020,0,0.1400,19.9599,1.0574,1.7216,9.4093
Straight,OT,160021,0,0.1800,0.1649,1.5977,1.3786,8.1806
Straight,OT,160022,0,0.1733,20.0634,1.4616,1.5731,9.1007
Straight,OT,160023,0,0.2667,20.0706,0.9619,1.5399,5.8055
Straight,OT,160024,0,0.2133,20.0532,1.0264,1.5507,6.5195
Straight,OT,160025,0,0.2067,0.1650,1.8345,1.7762,9.1267
Straight,OT,160026,0,0.1733,0.1649,2.1479,1.3853,8.4796
Straight,OT,160027,0,0.1533,0.1649,2.3815,1.2043,3.2741
Straight,OT,160028,0,0.2333,20.0660,0.9838,1.3126,5.6156
Straight,OT,160029,0,0.1200,20.0711,1.1067,1.4798,6.3712
Straight,OT,160030,0,0.1000,20.0298,1.0712,1.3652,7.8582
Straight,OT,160031,0,0.1733,19.9562,1.0193,1.6166,5.7999
Straight,OT,160032,0,0.1200,20.0651,1.0308,1.5268,7.0237
Straight,OT,160033,0,0.1667,4.4837,1.9069,3.1763,9.6771
Straight,OT,160034,0,0.0933,0.1650,1.9971,1.4006,7.7053
