variant,rare_prob,collision_rate,ci_lo,ci_hi,collision_given_rare,rare_occurrences,num_rollouts
Base,0.01,0.026,0.01526,0.04397,0.02469,405,500
Base,0.02,0.01,0.004279,0.02319,0.01044,479,500
Base,0.05,0.022,0.01233,0.03896,0.022,500,500
Base,0.1,0.024,0.01378,0.04148,0.024,500,500
DRO,0.01,0.032,0.01979,0.05135,0.03704,405,500
DRO,0.02,0.022,0.01233,0.03896,0.02088,479,500
DRO,0.05,0.02,0.0109,0.03642,0.02,500,500
DRO,0.1,0.016,0.008129,0.03125,0.016,500,500
OT,0.01,0.028,0.01675,0.04645,0.02963,405,500
OT,0.02,0.028,0.01675,0.04645,0.02923,479,500
OT,0.05,0.03,0.01826,0.0489,0.03,500,500
OT,0.1,0.02,0.0109,0.03642,0.02,500,500
OT+DRO,0.01,0.04,0.02604,0.06097,0.04444,405,500
OT+DRO,0.02,0.026,0.01526,0.04397,0.02505,479,500
OT+DRO,0.05,0.024,0.01378,0.04148,0.024,500,500
OT+DRO,0.1,0.012,0.005511,0.02593,0.012,500,500
