variant,num_scenarios,collision_rate,ci_lo,ci_hi,avg_solve_ms
Base,10,0.14,0.06951,0.2619,1.1
Base,20,0.16,0.08337,0.2851,1.3
Base,40,0.06,0.02061,0.1622,1.6
Base,80,0.12,0.05618,0.2381,2
Base,160,0.04,0.01104,0.1346,2.7
DRO,10,0.16,0.08337,0.2851,1.1
DRO,20,0.18,0.0977,0.308,1.3
DRO,40,0.06,0.02061,0.1622,1.6
DRO,80,0.14,0.06951,0.2619,2
DRO,160,0.06,0.02061,0.1622,2.7
OT,10,0.12,0.05618,0.2381,1.1
OT,20,0.16,0.08337,0.2851,1.3
OT,40,0.04,0.01104,0.1346,1.6
OT,80,0.16,0.08337,0.2851,2.1
OT,160,0.1,0.04348,0.2136,2.8
OT+DRO,10,0.16,0.08337,0.2851,1.1
OT+DRO,20,0.1,0.04348,0.2136,1.3
OT+DRO,40,0.08,0.03155,0.1884,1.6
OT+DRO,80,0.14,0.06951,0.2619,2
OT+DRO,160,0.1,0.04348,0.2136,2.7
