variant,num_scenarios,median_ms,p90_ms,p99_ms,max_ms
Base,10,0.68,1.6,3,3.8
Base,20,0.71,1.5,3.6,5.4
Base,40,0.6,2.5,8.4,20
Base,80,0.65,4.7,9.6,51
Base,160,0.81,10,26,40
DRO,10,0.7,1.8,3.1,7.2
DRO,20,1.2,2.2,5,11
DRO,40,0.65,2.4,8.5,10
DRO,80,0.7,4.3,16,20
DRO,160,0.88,10,32,46
OT,10,0.71,1.7,3.1,4.1
OT,20,0.74,1.6,4.1,5.6
OT,40,0.61,2.3,7.4,9.4
OT,80,0.66,4.5,11,18
OT,160,0.8,10,25,49
OT+DRO,10,0.72,1.9,3.1,3.7
OT+DRO,20,1.1,2.1,5,13
OT+DRO,40,0.64,2.5,8.4,12
OT+DRO,80,0.69,4.5,16,21
OT+DRO,160,0.86,11,32,47
