variant,predicted_risk,observed_collision_rate,ci_lo,ci_hi,num_rollouts
Base,0.02,0.02,0.005502,0.07001,100
Base,0.05,0,0,0.03699,100
Base,0.1,0.01,0.001767,0.05449,100
Base,0.15,0.03,0.01025,0.08452,100
Base,0.2,0.03,0.01025,0.08452,100
Base,0.3,0.01,0.001767,0.05449,100
Base,0.4,0.02,0.005502,0.07001,100
Base,0.5,0.01,0.001767,0.05449,100
DRO,0.02,0.07,0.03432,0.1375,100
DRO,0.05,0.04,0.01566,0.09837,100
DRO,0.1,0.05,0.02154,0.1118,100
DRO,0.15,0.09,0.04807,0.1623,100
DRO,0.2,0.06,0.02779,0.1248,100
DRO,0.3,0.06,0.02779,0.1248,100
DRO,0.4,0.07,0.03432,0.1375,100
DRO,0.5,0.1,0.05523,0.1744,100
OT,0.02,0.01,0.001767,0.05449,100
OT,0.05,0.01,0.001767,0.05449,100
OT,0.1,0.04,0.01566,0.09837,100
OT,0.15,0.06,0.02779,0.1248,100
OT,0.2,0,0,0.03699,100
OT,0.3,0,0,0.03699,100
OT,0.4,0.05,0.02154,0.1118,100
OT,0.5,0.03,0.01025,0.08452,100
OT+DRO,0.02,0.05,0.02154,0.1118,100
OT+DRO,0.05,0.03,0.01025,0.08452,100
OT+DRO,0.1,0.05,0.02154,0.1118,100
OT+DRO,0.15,0.08,0.04109,0.15,100
OT+DRO,0.2,0.06,0.02779,0.1248,100
OT+DRO,0.3,0.05,0.02154,0.1118,100
OT+DRO,0.4,0.06,0.02779,0.1248,100
OT+DRO,0.5,0.1,0.05523,0.1744,100
