variant,num_scenarios,sh_enabled,collision_rate,ci_lo,ci_hi,missed_mode_rate,avg_progress,avg_clearance,avg_solve_ms,predicted_n_safe
Base,40,false,0.0800,0.0411,0.1500,0.2749,14.9699,1.2273,1.70,15
Base+SH,40,true,0.0600,0.0278,0.1248,0.2716,19.8700,1.0359,1.18,10
OT,40,false,0.0800,0.0411,0.1500,0.1864,14.7219,1.2492,1.64,15
OT+SH,40,true,0.0400,0.0157,0.0984,0.1849,19.9848,1.0325,1.20,10
Base,100,false,0.1000,0.0552,0.1744,0.3275,13.9274,1.2376,2.43,15
Base+SH,100,true,0.0600,0.0278,0.1248,0.3283,14.1136,1.2245,2.34,15
OT,100,false,0.0900,0.0481,0.1623,0.2346,13.0087,1.2333,2.51,15
OT+SH,100,true,0.0900,0.0481,0.1623,0.2361,14.9527,1.1746,2.48,15
Base,200,false,0.0700,0.0343,0.1375,0.3489,14.1516,1.2808,3.76,15
Base+SH,200,true,0.0500,0.0215,0.1118,0.3531,13.9349,1.3169,3.68,15
OT,200,false,0.0800,0.0411,0.1500,0.2679,13.2492,1.2966,3.85,15
OT+SH,200,true,0.0800,0.0411,0.1500,0.2585,12.2959,1.3238,3.84,15
Base,500,false,0.1100,0.0625,0.1863,0.3766,12.0559,1.2710,7.95,15
Base+SH,500,true,0.1200,0.0700,0.1981,0.3826,12.0520,1.2938,8.47,15
OT,500,false,0.0700,0.0343,0.1375,0.2755,13.0407,1.3243,8.26,15
OT+SH,500,true,0.1000,0.0552,0.1744,0.2779,13.1968,1.2416,8.30,15
