seed,W2-Euclidean,L1-Manhattan,Flat-NoGeom,Mean-Only,Directional
110000,0,0,0,0,0
110001,0,0,1,0,0
110002,0,0,0,0,0
110003,0,1,0,0,0
110004,0,0,0,0,0
110005,0,0,0,0,0
110006,0,0,0,0,0
110007,0,0,0,0,0
110008,0,0,0,0,0
110009,0,0,0,0,0
110010,0,0,0,0,0
110011,0,0,0,0,0
110012,0,0,0,0,0
110013,0,1,0,1,1
110014,0,0,0,0,0
110015,0,1,0,0,0
110016,0,0,0,0,0
110017,0,1,0,0,0
110018,0,0,0,0,0
110019,1,0,1,0,0
110020,1,0,0,0,0
110021,0,0,0,0,0
110022,0,0,0,0,0
110023,0,0,0,0,0
110024,0,0,0,0,0
110025,0,1,0,0,1
110026,0,1,1,0,0
110027,0,0,0,0,0
110028,0,1,0,0,0
110029,0,0,0,0,0
110030,0,0,0,0,0
110031,0,0,0,0,0
110032,1,0,0,0,0
110033,0,0,0,0,0
110034,0,0,0,0,0
110035,0,0,1,0,0
110036,0,0,0,0,0
110037,0,0,0,0,0
110038,0,0,0,0,0
110039,0,0,0,0,0
110040,0,0,0,0,0
110041,0,0,0,0,0
110042,0,0,0,0,0
110043,0,0,0,0,1
110044,0,0,0,0,0
110045,0,0,0,0,0
110046,0,0,0,0,0
110047,0,0,1,0,0
110048,0,0,0,0,0
110049,0,0,0,0,0
110050,0,0,0,0,0
110051,0,0,0,0,0
110052,0,0,0,0,0
110053,0,0,0,0,0
110054,0,0,0,0,0
110055,0,0,0,0,0
110056,0,0,0,0,0
110057,1,0,0,1,0
110058,0,0,0,0,0
110059,0,0,0,0,0
110060,1,0,1,0,0
110061,0,0,0,0,0
110062,0,0,0,0,0
110063,0,0,0,0,0
110064,1,0,1,1,1
110065,0,0,0,0,0
110066,1,0,0,1,0
110067,0,0,0,0,0
110068,1,0,0,0,0
110069,0,1,0,0,0
110070,0,0,0,0,0
110071,0,0,0,0,0
110072,0,0,0,0,0
110073,0,0,1,0,1
110074,0,0,0,0,0
110075,1,0,0,0,0
