baseline,rare_prob,collision_rate,ci_lo,ci_hi,missed_mode_rate,rare_mode_missed_frac,avg_progress
Standard,0.01,0.1000,0.0657,0.1494,0.2827,0.3059,14.2681
Standard,0.0500,0.0900,0.0577,0.1378,0.2855,0.2951,13.8013
Standard,0.1000,0.0700,0.0422,0.1141,0.2742,0.2507,15.9301
Standard,0.2000,0.1000,0.0657,0.1494,0.2328,0.1706,16.6913
OT,0.0100,0.0950,0.0617,0.1436,0.1926,0.2266,14.1465
OT,0.0500,0.0700,0.0422,0.1141,0.2055,0.2087,14.9831
OT,0.1000,0.0700,0.0422,0.1141,0.1956,0.1930,15.1695
OT,0.2000,0.0400,0.0204,0.0769,0.1653,0.1468,15.8499
OT+SH,0.0100,0.0800,0.0498,0.1260,0.1933,0.3446,20.0622
OT+SH,0.0500,0.0450,0.0239,0.0833,0.2063,0.3222,20.0574
OT+SH,0.1000,0.0850,0.0537,0.1319,0.1997,0.2642,20.0559
OT+SH,0.2000,0.0450,0.0239,0.0833,0.1717,0.2042,20.0562
Uniform,0.0100,0.1000,0.0657,0.1494,0.2792,0.4261,14.3434
Uniform,0.0500,0.0350,0.0171,0.0705,0.2891,0.4476,14.9928
Uniform,0.1000,0.0650,0.0384,0.1080,0.2731,0.4482,15.6705
Uniform,0.2000,0.0950,0.0617,0.1436,0.2380,0.4610,15.9830
Temperature,0.0100,0.0850,0.0537,0.1319,0.2857,0.3553,14.3914
Temperature,0.0500,0.0800,0.0498,0.1260,0.2920,0.2746,15.4975
Temperature,0.1000,0.0650,0.0384,0.1080,0.2707,0.1871,15.4665
Temperature,0.2000,0.0950,0.0617,0.1436,0.2297,0.0761,15.9200
Stratified,0.0100,0.0950,0.0617,0.1436,0.2813,0.2622,13.4089
Stratified,0.0500,0.0750,0.0460,0.1200,0.2872,0.2713,14.6259
Stratified,0.1000,0.0850,0.0537,0.1319,0.2746,0.2292,15.8140
Stratified,0.2000,0.0850,0.0537,0.1319,0.2282,0.2022,15.6928
EpsGreedy,0.0100,0.0500,0.0274,0.0896,0.2861,0.3785,13.5521
EpsGreedy,0.0500,0.0650,0.0384,0.1080,0.2835,0.3632,15.0192
EpsGreedy,0.1000,0.0600,0.0347,0.1019,0.2757,0.3718,15.4507
EpsGreedy,0.2000,0.0950,0.0617,0.1436,0.2325,0.3098,16.0359
