seed,variant,step,ego_x,ego_y,ego_theta,obs_x,obs_y,obs_mode,collision,missed_mode,clearance
200042,Base,0,0.0000,0.0000,0.0000,3.4292,0.4012,constant_velocity,0,0,3.4526
200042,Base,1,0.1647,-0.0068,-0.0800,3.4207,0.4007,constant_velocity,0,0,3.2814
200042,Base,2,0.1647,-0.0068,-0.0800,3.4122,0.4002,constant_velocity,0,0,3.2730
200042,Base,3,0.3579,-0.0295,-0.1522,3.4038,0.3997,constant_velocity,0,0,3.0759
200042,Base,4,0.5803,-0.0615,-0.1338,3.3954,0.3992,constant_velocity,0,0,2.8525
200042,Base,5,0.8311,-0.1057,-0.2138,3.3871,0.3986,constant_velocity,0,0,2.6053
200042,Base,6,1.1101,-0.1619,-0.1843,3.3788,0.3979,turn_right,0,0,2.3368
200042,Base,7,1.4168,-0.2321,-0.2643,3.3706,0.3975,turn_right,0,1,2.0528
200042,Base,8,1.4168,-0.2321,-0.2643,3.3623,0.3972,turn_right,0,0,2.0448
200042,Base,9,1.4168,-0.2321,-0.2643,3.3540,0.3973,turn_right,0,0,2.0369
200042,Base,10,1.7513,-0.3150,-0.2222,3.3456,0.3975,turn_right,0,0,1.7463
200042,Base,11,2.1130,-0.4123,-0.3022,3.3373,0.3980,turn_right,0,0,1.4681
200042,Base,12,2.5029,-0.5203,-0.2389,3.3290,0.3988,turn_right,0,0,1.2358
200042,Base,13,2.9289,-0.6060,-0.1591,3.3209,0.3999,turn_right,0,0,1.0796
200042,Base,14,3.3902,-0.6610,-0.0791,3.3127,0.4013,constant_velocity,0,0,1.0651
200042,Base,15,3.8844,-0.6801,0.0009,3.3044,0.4026,constant_velocity,0,0,1.2283
200042,Base,16,4.4085,-0.7008,-0.0791,3.2961,0.4040,decelerating,0,1,1.5678
200042,Base,17,4.9626,-0.7223,0.0009,3.2878,0.4054,decelerating,0,1,2.0190
200042,Base,18,5.5466,-0.7453,-0.0791,3.2744,0.4018,decelerating,0,0,2.5454
200042,Base,19,6.1607,-0.7691,0.0009,3.2559,0.3933,decelerating,0,1,3.1287
200042,Base,20,6.8046,-0.7945,-0.0791,3.2324,0.3797,decelerating,0,1,3.7603
200042,Base,21,7.4785,-0.8208,0.0006,3.2039,0.3612,constant_velocity,0,0,4.4350
200042,Base,22,8.1825,-0.8462,-0.0724,3.1706,0.3377,decelerating,0,0,5.1498
200042,Base,23,8.9166,-0.8698,0.0076,3.1373,0.3140,decelerating,0,0,5.8993
200042,Base,24,9.6806,-0.8948,-0.0724,3.0991,0.2854,turn_right,0,0,6.6865
200042,Base,25,10.4746,-0.9203,0.0076,3.0548,0.2531,turn_right,0,0,7.5120
200042,Base,26,11.2990,-0.9009,0.0393,3.0095,0.2222,turn_right,0,0,8.3652
200042,Base,27,12.1507,-0.8331,0.1193,2.9633,0.1926,turn_right,0,0,9.2445
200042,Base,28,13.0323,-0.7632,0.0394,2.9161,0.1644,turn_right,0,0,10.1586
200042,Base,29,13.9057,-0.7180,0.0641,2.8680,0.1377,decelerating,0,1,11.0708
200042,Base,30,14.7257,-0.6327,0.1441,2.8199,0.1111,constant_velocity,0,0,11.9290
200042,Base,31,15.4959,-0.5519,0.0641,2.7666,0.0796,constant_velocity,0,0,12.7449
200042,Base,32,16.2178,-0.4903,0.1066,2.7134,0.0481,constant_velocity,0,0,13.5152
200042,Base,33,16.8866,-0.4018,0.1571,2.6602,0.0168,constant_velocity,0,0,14.2325
200042,Base,34,17.4990,-0.2799,0.2370,2.6071,-0.0147,constant_velocity,0,0,14.8944
200042,Base,35,18.0517,-0.1231,0.3170,2.5538,-0.0461,constant_velocity,0,0,15.4981
200042,Base,36,18.5562,0.0206,0.2370,2.5005,-0.0775,decelerating,0,1,16.0560
200042,Base,37,19.0214,0.1138,0.1570,2.4472,-0.1089,decelerating,0,0,16.5757
200042,Base,38,19.4430,0.1637,0.0770,2.3889,-0.1452,decelerating,0,1,17.0569
200042,Base,39,19.8173,0.1779,-0.0030,2.3255,-0.1864,decelerating,0,1,17.4956
200042,Base,40,20.1416,0.1642,-0.0830,2.2570,-0.2328,decelerating,0,1,17.8890
200042,Base,41,20.4141,0.1309,-0.1630,2.1835,-0.2844,decelerating,0,1,18.2354
200042,Base,42,20.6342,0.0859,-0.2430,2.1050,-0.3411,constant_velocity,0,0,18.5342
200042,Base,43,20.8020,0.0374,-0.3230,2.0215,-0.4026,decelerating,0,1,18.7857
200042,Base,44,20.9186,-0.0065,-0.4030,1.9380,-0.4640,decelerating,0,0,18.9861
200042,Base,45,20.9877,-0.0348,-0.3697,1.8496,-0.5305,decelerating,0,0,19.1445
200042,Base,46,21.0109,-0.0431,-0.2897,1.7562,-0.6021,turn_right,0,0,19.2628
200042,Base,47,20.9863,-0.0371,-0.2097,1.6556,-0.6758,turn_left,0,0,19.3412
200042,Base,48,20.9120,-0.0248,-0.1297,1.5573,-0.7525,constant_velocity,0,0,19.3685
200042,Base,49,20.7872,-0.0139,-0.0497,1.4588,-0.8294,constant_velocity,0,0,19.3456
200042,Base,50,20.6283,-0.0084,-0.0197,1.3603,-0.9064,constant_velocity,0,0,19.2889
200042,Base,51,20.4756,-0.0041,-0.0370,1.2618,-0.9833,decelerating,0,1,19.2387
200042,Base,52,20.3533,0.0051,-0.1170,1.1634,-1.0603,decelerating,0,1,19.2194
200042,Base,53,20.2616,0.0194,-0.1970,1.0601,-1.1423,decelerating,0,0,19.2365
200042,Base,54,20.1968,0.0349,-0.2770,0.9519,-1.2294,decelerating,0,0,19.2864
200042,Base,55,20.1520,0.0495,-0.3570,0.8386,-1.3216,decelerating,0,0,19.3620
200042,Base,56,20.1213,0.0623,-0.4370,0.7204,-1.4190,decelerating,0,0,19.4574
200042,Base,57,20.1013,0.0725,-0.5170,0.5972,-1.5213,constant_velocity,0,0,19.5691
200042,Base,58,20.0893,0.0800,-0.5970,0.4691,-1.6286,constant_velocity,0,0,19.6945
200042,Base,59,20.0829,0.0847,-0.6770,0.3409,-1.7361,constant_velocity,0,0,19.8258
200042,Base,60,20.0805,0.0867,-0.7570,0.2127,-1.8436,constant_velocity,0,0,19.9614
200042,Base,61,20.0808,0.0864,-0.8370,0.0845,-1.9511,constant_velocity,0,0,20.0998
200042,Base,62,20.0827,0.0841,-0.9170,-0.0437,-2.0584,constant_velocity,0,0,20.2402
200042,Base,63,20.0856,0.0800,-0.9970,-0.1721,-2.1657,constant_velocity,0,0,20.3817
200042,Base,64,20.0888,0.0745,-1.0770,-0.3005,-2.2730,constant_velocity,0,0,20.5240
200042,Base,65,20.0920,0.0679,-1.1570,-0.4290,-2.3803,turn_left,0,1,20.6665
200042,Base,66,20.0950,0.0604,-1.2370,-0.5542,-2.4915,turn_left,0,0,20.8063
200042,Base,67,20.0975,0.0522,-1.3170,-0.6761,-2.6064,turn_left,0,0,20.9430
200042,Base,68,20.0993,0.0435,-1.3970,-0.7944,-2.7250,turn_left,0,0,21.0764
200042,Base,69,20.1005,0.0346,-1.4770,-0.9091,-2.8470,constant_velocity,0,0,21.2063
200042,Base,70,20.1010,0.0256,-1.5570,-1.0238,-2.9691,constant_velocity,0,0,21.3360
200042,Base,71,20.1008,0.0165,-1.6370,-1.1386,-3.0913,constant_velocity,0,0,21.4656
200042,Base,72,20.0998,0.0076,-1.7170,-1.2536,-3.2136,constant_velocity,0,0,21.5950
200042,Base,73,20.0982,-0.0011,-1.7970,-1.3687,-3.3359,constant_velocity,0,0,21.7244
200042,Base,74,20.0959,-0.0096,-1.8770,-1.4839,-3.4580,constant_velocity,0,0,21.8536
200042,Base,75,20.0929,-0.0177,-1.9570,-1.5992,-3.5800,constant_velocity,0,0,21.9827
200042,Base,76,20.0894,-0.0255,-2.0370,-1.7144,-3.7021,constant_velocity,0,0,22.1116
200042,Base,77,20.0854,-0.0328,-2.1170,-1.8296,-3.8241,constant_velocity,0,0,22.2405
200042,Base,78,20.0808,-0.0396,-2.1970,-1.9447,-3.9463,turn_right,0,0,22.3694
200042,Base,79,20.0759,-0.0459,-2.2770,-2.0636,-4.0649,turn_right,0,1,22.5013
200042,Base,80,20.0705,-0.0517,-2.3570,-2.1859,-4.1800,turn_right,0,0,22.6361
200042,Base,81,20.0648,-0.0570,-2.4370,-2.3117,-4.2915,turn_right,0,0,22.7736
200042,Base,82,20.0588,-0.0617,-2.5170,-2.4408,-4.3991,turn_right,0,0,22.9138
200042,Base,83,20.0525,-0.0659,-2.5970,-2.5730,-4.5029,turn_right,0,0,23.0565
200042,Base,84,20.0460,-0.0695,-2.6770,-2.7082,-4.6026,turn_right,0,0,23.2014
200042,Base,85,20.0394,-0.0725,-2.7570,-2.8463,-4.6983,turn_right,0,0,23.3485
200042,Base,86,20.0326,-0.0749,-2.8370,-2.9873,-4.7897,turn_right,0,0,23.4978
200042,Base,87,20.0258,-0.0767,-2.9170,-3.1309,-4.8770,turn_right,0,0,23.6490
200042,Base,88,20.0189,-0.0780,-2.9970,-3.2770,-4.9599,turn_right,0,1,23.8019
200042,Base,89,20.0121,-0.0787,-3.0770,-3.4254,-5.0385,turn_right,0,0,23.9565
200042,Base,90,20.0053,-0.0789,-3.1570,-3.5762,-5.1126,turn_right,0,1,24.1128
200042,Base,91,19.9985,-0.0785,-3.2370,-3.7293,-5.1824,constant_velocity,0,0,24.2706
200042,Base,92,19.9919,-0.0776,-3.3170,-3.8825,-5.2521,decelerating,0,1,24.4287
200042,Base,93,19.9855,-0.0762,-3.3970,-4.0358,-5.3217,decelerating,0,0,24.5873
200042,Base,94,19.9792,-0.0743,-3.4770,-4.1940,-5.3964,decelerating,0,0,24.7521
200042,Base,95,19.9732,-0.0719,-3.5570,-4.3570,-5.4761,decelerating,0,1,24.9231
200042,Base,96,19.9674,-0.0691,-3.6370,-4.5249,-5.5610,turn_left,0,0,25.1005
200042,Base,97,19.9619,-0.0659,-3.7170,-4.6953,-5.6560,turn_left,0,0,25.2829
200042,Base,98,19.9567,-0.0622,-3.7970,-4.8628,-5.7560,turn_left,0,0,25.4642
200042,Base,99,19.9519,-0.0582,-3.8770,-5.0272,-5.8612,turn_left,0,0,25.6443
200042,Base,100,19.9474,-0.0538,-3.9570,-5.1885,-5.9713,turn_left,0,0,25.8230
