seed,method,S,eps_wass,sigma,shift_rho,shift_boost,ground_cost,collision,collision_step,min_clearance,min_clearance_step,total_progress,control_effort,constraint_active_count,missed_mode_steps,total_steps,avg_solve_ms,p50_solve_ms,p95_solve_ms,max_solve_ms,total_dro_injected,avg_safe_horizon,clearance_5pct
12345,SHMPC,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,0.9699,14,16.7116,358.0000,404,23,80,5.3382,3.8602,14.0190,22.3557,0,7.0000,0.9931
12346,SHMPC,30,0.1000,1.0000,0.0000,0.0000,w2_bures,1,28,0.7199,32,20.4074,673.3774,315,22,80,4.5695,2.9508,13.1483,14.4668,0,7.0000,0.7484
12347,SHMPC,30,0.1000,1.0000,0.0000,0.0000,w2_bures,1,31,0.5822,40,16.7307,356.6145,261,27,80,4.6312,3.0264,11.1565,14.3768,0,7.0000,0.5913
12348,SHMPC,30,0.1000,1.0000,0.0000,0.0000,w2_bures,1,70,0.8209,72,2.7013,90.6996,117,14,80,5.4278,3.7456,13.5467,14.0612,0,7.0000,0.8447
12349,SHMPC,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.0997,11,7.4056,173.0262,260,15,80,5.9823,3.7266,12.5874,14.9024,0,7.0000,1.1158
12350,SHMPC,30,0.1000,1.0000,0.0000,0.0000,w2_bures,1,32,0.5666,44,2.4444,85.7187,104,29,80,5.0318,2.9595,10.4194,11.4326,0,7.0000,0.5748
12351,SHMPC,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.1229,12,19.5815,511.2102,408,24,80,4.0419,2.8008,10.9456,11.1495,0,7.0000,1.1646
12352,SHMPC,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,0.9327,34,4.3159,123.9585,160,22,80,5.1019,3.4463,12.7909,15.0410,0,7.0000,0.9521
12353,SHMPC,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.0312,25,11.0373,254.5269,181,22,80,4.1021,2.8977,10.4768,14.4345,0,7.0000,1.0477
12354,SHMPC,30,0.1000,1.0000,0.0000,0.0000,w2_bures,1,18,0.2671,34,2.0358,94.9283,145,11,80,6.6579,4.5986,13.4960,23.8558,0,7.0000,0.2780
12355,SHMPC,30,0.1000,1.0000,0.0000,0.0000,w2_bures,1,24,0.7363,28,20.5400,640.4831,311,36,80,4.3379,3.0027,12.3090,15.7907,0,7.0000,0.7532
