seed,method,scenario,S,eps_wass,sigma,shift_rho,shift_boost,ground_cost,collision,collision_step,min_clearance,min_clearance_step,total_progress,control_effort,constraint_active_count,missed_mode_steps,total_steps,avg_solve_ms,p50_solve_ms,p95_solve_ms,max_solve_ms,total_dro_injected,avg_safe_horizon,clearance_5pct
1687475184,SHMPC,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.0308,22,17.1084,416.5493,407,13,80,5.3681,3.2723,12.1990,14.9926,0,7.0000,1.0517
1687476184,SHMPC,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,0.9195,25,17.3287,383.3315,343,10,80,5.0035,3.2050,14.0524,16.9008,0,7.0000,0.9262
3157379664,SHMPC_DRO,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,1,17,0.1040,26,20.2832,649.8240,508,17,80,5.0508,3.6529,13.0067,14.8406,12,7.0000,0.1878
3157380664,SHMPC_DRO,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.1854,17,6.7351,195.4140,167,25,80,4.2393,2.8800,10.3153,11.1221,6,7.0000,1.1985
2425270209,SHMPC_AdaptiveDRO,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.0685,61,3.2864,149.3558,132,15,80,4.1006,2.6449,9.8525,10.1520,10,7.0000,1.0799
2425271209,SHMPC_AdaptiveDRO,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,1,23,0.6525,38,3.7297,149.7079,153,15,80,5.0883,3.4466,11.2958,13.6416,12,7.0000,0.6781
2441103055,SHMPC_RTA,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,0.8553,54,2.6760,76.9426,127,21,80,5.1897,3.5737,11.4936,12.8193,0,7.0000,0.8718
2441104055,SHMPC_RTA,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.2487,18,20.1179,775.0432,673,19,80,3.6441,3.0733,10.6078,11.0719,0,7.0000,1.3056
937961351,SHMPC_Conformal,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.3177,11,20.1051,773.9583,586,30,80,2.9207,2.3466,8.2752,13.2470,0,7.0000,1.3616
937962351,SHMPC_Conformal,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.0863,20,8.1740,181.2062,178,26,80,5.4576,3.1963,12.4620,23.0841,0,7.0000,1.0879
462737826,SHMPC_Hazard,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,0.8941,30,13.0147,229.9096,198,32,80,5.1633,3.1931,11.2820,11.9882,0,7.0000,0.8998
462738826,SHMPC_Hazard,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,1,16,0.0677,23,20.1081,769.4723,374,19,80,3.5145,2.4315,11.8238,12.2677,0,7.0000,0.2488
755919688,SHMPC_Bandit,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,1,33,0.6966,42,2.8508,94.6072,118,37,80,4.6600,2.9771,11.2961,15.2847,0,7.0000,0.7036
755920688,SHMPC_Bandit,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.1069,18,3.1975,130.2675,184,25,80,5.6417,3.6327,10.7298,17.4713,0,7.0000,1.1166
2007890247,SHMPC_Certificate,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,1,25,0.8491,25,10.1709,204.9786,268,23,80,4.9054,3.1752,12.2452,16.9092,0,7.0000,0.8550
2007891247,SHMPC_Certificate,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.2990,16,20.0994,803.3937,720,17,80,2.8254,1.9363,7.1563,17.8696,0,7.0000,1.3714
465419941,SHMPC_Compiler,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,0.9897,16,2.8460,96.0361,65,2,80,8.6099,10.9658,13.9683,36.2367,0,7.0000,1.0016
465420941,SHMPC_Compiler,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.1015,15,5.4870,142.9262,102,12,80,6.4972,4.5518,11.6008,16.7155,0,7.0000,1.1170
2864087459,CertificateFirst,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,1,15,0.3774,32,5.4893,143.6779,130,18,80,4.9467,3.5847,13.4658,14.0414,0,7.0000,0.3863
2864088459,CertificateFirst,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,0.9539,18,7.3475,206.9407,204,24,80,3.6886,2.6340,10.2601,13.0277,0,7.0000,1.0338
910066211,ScenarioCompiler,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.0428,12,12.9692,232.5365,360,2,80,6.3690,3.5714,12.8859,13.8008,0,7.0000,1.0512
910067211,ScenarioCompiler,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.2722,13,20.4987,715.9082,811,12,80,5.4981,3.3976,12.5552,25.1704,0,7.0000,1.3426
871445019,SHMPC,high_switch,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,0.9511,23,3.0429,132.0097,157,23,80,5.0124,3.1227,11.6412,14.2944,0,7.0000,0.9743
871446019,SHMPC,high_switch,30,0.1000,1.0000,0.0000,0.0000,w2_bures,1,17,0.3671,26,17.3344,382.3643,426,23,80,5.0237,3.3134,13.4438,17.0200,0,7.0000,0.3749
1250041523,SHMPC_DRO,high_switch,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.3246,31,2.9454,285.8514,255,24,80,4.9537,3.4484,11.1136,12.8731,14,7.0000,1.3641
1250042523,SHMPC_DRO,high_switch,30,0.1000,1.0000,0.0000,0.0000,w2_bures,1,37,0.8388,37,13.8431,256.8124,261,32,80,4.7817,3.2536,12.4760,13.2127,8,7.0000,0.8711
4101642078,SHMPC_AdaptiveDRO,high_switch,30,0.1000,1.0000,0.0000,0.0000,w2_bures,1,21,0.6697,27,15.3561,308.4897,276,23,80,5.3378,3.5647,11.9919,40.4836,9,7.0000,0.7049
4101643078,SHMPC_AdaptiveDRO,high_switch,30,0.1000,1.0000,0.0000,0.0000,w2_bures,1,23,0.8022,26,20.4189,613.5784,458,32,80,4.0858,2.7608,10.9804,13.7534,8,7.0000,0.8198
3362615533,SHMPC_RTA,high_switch,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.0087,35,12.7324,281.7292,285,14,80,4.9583,3.6888,13.3985,14.6187,0,7.0000,1.0158
3362616533,SHMPC_RTA,high_switch,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.1835,17,18.0908,476.7412,424,17,80,3.6388,2.8878,10.2496,15.7364,0,7.0000,1.2412
4024748084,SHMPC_Conformal,high_switch,30,0.1000,1.0000,0.0000,0.0000,w2_bures,1,22,0.5072,30,20.5757,722.5737,406,36,80,4.0427,3.0298,12.8461,17.1388,0,7.0000,0.5356
4024749084,SHMPC_Conformal,high_switch,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,0.9221,35,20.4441,612.1770,329,27,80,3.5963,2.7786,11.6584,12.2415,0,7.0000,0.9418
1631883966,SHMPC_Hazard,high_switch,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.2003,14,11.9579,263.7417,265,24,80,4.1332,2.6831,9.5506,11.6000,0,7.0000,1.2246
1631884966,SHMPC_Hazard,high_switch,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.1895,15,2.4862,85.4239,98,19,80,5.7292,3.6944,12.2314,22.8163,0,7.0000,1.2149
2815004328,SHMPC_Bandit,high_switch,30,0.1000,1.0000,0.0000,0.0000,w2_bures,1,12,0.5238,20,19.2893,523.8081,336,33,80,5.8624,3.8667,15.9917,25.6072,0,7.0000,0.5293
2815005328,SHMPC_Bandit,high_switch,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.2077,16,20.5318,712.5037,340,40,80,3.1992,2.9035,10.3066,10.9001,0,7.0000,1.2723
2531800908,SHMPC_Certificate,high_switch,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,0.9497,13,3.8685,114.7598,136,23,80,4.3026,3.1925,11.6476,20.6458,0,7.0000,0.9644
2531801908,SHMPC_Certificate,high_switch,30,0.1000,1.0000,0.0000,0.0000,w2_bures,1,19,0.5431,26,20.2666,586.8290,369,27,80,4.3170,3.3264,12.0154,15.1597,0,7.0000,0.5746
1867542634,SHMPC_Compiler,high_switch,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,0.9935,40,15.3340,309.3121,323,16,80,5.8126,4.0433,11.1414,13.0993,0,7.0000,1.0020
1867543634,SHMPC_Compiler,high_switch,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.1579,13,20.3135,748.4713,555,13,80,4.5312,2.9305,11.2266,14.8576,0,7.0000,1.1676
2516522784,CertificateFirst,high_switch,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,0.9012,16,8.7281,187.1945,234,24,80,4.9304,2.9413,11.6402,31.0420,0,7.0000,0.9335
2516523784,CertificateFirst,high_switch,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,0.9797,11,17.8772,407.8258,302,31,80,4.3777,3.0155,11.2041,13.9842,0,7.0000,0.9865
2123590209,ScenarioCompiler,high_switch,30,0.1000,1.0000,0.0000,0.0000,w2_bures,1,19,0.6617,27,20.6066,692.0374,879,11,80,6.1441,4.2476,13.1920,15.5684,0,7.0000,0.6662
2123591209,ScenarioCompiler,high_switch,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.0274,21,6.0766,153.8607,217,12,80,7.2712,10.2365,12.7028,14.1249,0,7.0000,1.0446
1487968605,SHMPC,rare_heavy,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.0761,13,20.0932,772.2534,584,19,80,3.6145,2.4819,11.4068,12.8733,0,7.0000,1.1582
1487969605,SHMPC,rare_heavy,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.2912,12,20.1035,777.6775,608,14,80,2.7633,1.6953,8.9716,10.6458,0,7.0000,1.3341
3536811447,SHMPC_DRO,rare_heavy,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.3110,16,20.1170,782.9224,553,17,80,3.3284,2.4873,9.6507,11.6104,6,7.0000,1.3606
3536812447,SHMPC_DRO,rare_heavy,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.1950,12,20.1082,771.1810,565,17,80,3.3348,2.3909,10.9359,12.2269,5,7.0000,1.2660
1822447650,SHMPC_AdaptiveDRO,rare_heavy,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.2750,10,18.8166,461.6768,491,22,80,4.2118,2.8753,11.3798,13.8100,5,7.0000,1.2979
1822448650,SHMPC_AdaptiveDRO,rare_heavy,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,0.9231,43,6.7558,162.6533,177,20,80,5.4733,3.4216,13.8081,20.9790,8,7.0000,0.9282
2673514419,SHMPC_RTA,rare_heavy,30,0.1000,1.0000,0.0000,0.0000,w2_bures,1,20,0.3451,47,2.3425,120.2454,189,11,80,5.6781,4.0802,13.2573,14.7781,0,7.0000,0.3542
