variant,switch_prob,collision_rate,ci_lo,ci_hi,num_rollouts
Base,0,0.0200,0.0078,0.0503,200
Base,0.0500,0.0300,0.0138,0.0639,200
Base,0.1000,0.0300,0.0138,0.0639,200
Base,0.2000,0.0150,0.0051,0.0432,200
Base,0.3000,0.0250,0.0107,0.0572,200
Base,0.5000,0.0750,0.0460,0.1200,200
Extremes,0.0000,0.0300,0.0138,0.0639,200
Extremes,0.0500,0.0500,0.0274,0.0896,200
Extremes,0.1000,0.0350,0.0171,0.0705,200
Extremes,0.2000,0.0250,0.0107,0.0572,200
Extremes,0.3000,0.0400,0.0204,0.0769,200
Extremes,0.5000,0.0650,0.0384,0.1080,200
OT,0.0000,0.0200,0.0078,0.0503,200
OT,0.0500,0.0100,0.0027,0.0357,200
OT,0.1000,0.0450,0.0239,0.0833,200
OT,0.2000,0.0400,0.0204,0.0769,200
OT,0.3000,0.0100,0.0027,0.0357,200
OT,0.5000,0.0700,0.0422,0.1141,200
OT+Extremes,0.0000,0.0300,0.0138,0.0639,200
OT+Extremes,0.0500,0.0500,0.0274,0.0896,200
OT+Extremes,0.1000,0.0300,0.0138,0.0639,200
OT+Extremes,0.2000,0.0150,0.0051,0.0432,200
OT+Extremes,0.3000,0.0300,0.0138,0.0639,200
OT+Extremes,0.5000,0.0650,0.0384,0.1080,200
