variant,switch_prob,missed_mode_rate,avg_progress,avg_clearance
Base,0,0,19.81,1.052
Base,0.05,0.1889,19.95,1.033
Base,0.1,0.2453,20.06,1.042
Base,0.2,0.2791,20.07,1.047
Base,0.3,0.2908,20.06,1.039
Base,0.5,0.314,20.01,1.017
Extremes,0,0,19.76,1.041
Extremes,0.05,0.0562,19.68,1.032
Extremes,0.1,0.0474,20.02,1.042
Extremes,0.2,0.0323,20.06,1.047
Extremes,0.3,0.03277,20.08,1.03
Extremes,0.5,0.02897,20.06,1.03
OT,0,0,19.79,1.047
OT,0.05,0.0816,20.05,1.057
OT,0.1,0.1352,19.96,1.029
OT,0.2,0.1857,20.06,1.031
OT,0.3,0.2123,20.06,1.051
OT,0.5,0.2517,19.95,1.016
OT+Extremes,0,0,19.71,1.05
OT+Extremes,0.05,0.02263,19.95,1.03
OT+Extremes,0.1,0.02263,20.06,1.04
OT+Extremes,0.2,0.01783,20.06,1.052
OT+Extremes,0.3,0.0205,20.06,1.042
OT+Extremes,0.5,0.02003,20.08,1.031
