label,epsilon,uncertainty_scale,use_sh,collision_rate,ci_lo,ci_hi,missed_mode_rate,rare_mode_missed_frac,avg_progress,avg_clearance,mean_solve_ms,p99_solve_ms
OT_e0.001_s0.2,0.001,0.2,0,0.0650,0.0384,0.1080,0.2005,0.1924,14.5145,1.3030,1.7486,9.1243
OT_e0.001_s0.5,0.0010,0.5000,0,0.1000,0.0657,0.1494,0.1979,0.2016,15.4537,1.2499,1.6827,9.0252
OT_e0.001_s1.0,0.0010,1.0000,0,0.0900,0.0577,0.1378,0.2015,0.2008,14.4403,1.2847,1.7205,9.0549
OT_e0.001_s2.0,0.0010,2.0000,0,0.1150,0.0779,0.1666,0.1949,0.2029,14.6630,1.2400,1.7511,9.1359
OT_e0.001_s5.0,0.0010,5.0000,0,0.0850,0.0537,0.1319,0.1988,0.1845,13.6605,1.2636,1.6536,9.0551
OT_e0.010_s0.2,0.0100,0.2000,0,0.1200,0.0820,0.1723,0.1988,0.1974,14.6222,1.2602,1.6819,8.9283
OT_e0.010_s0.5,0.0100,0.5000,0,0.1200,0.0820,0.1723,0.1982,0.1963,14.1773,1.2313,1.6798,8.9458
OT_e0.010_s1.0,0.0100,1.0000,0,0.0850,0.0537,0.1319,0.2011,0.1898,13.5693,1.3046,1.6630,8.8667
OT_e0.010_s2.0,0.0100,2.0000,0,0.0800,0.0498,0.1260,0.1975,0.1964,14.6350,1.2773,1.7029,8.9795
OT_e0.010_s5.0,0.0100,5.0000,0,0.0750,0.0460,0.1200,0.1928,0.1877,14.0767,1.2798,1.6761,8.9183
OT_e0.050_s0.2,0.0500,0.2000,0,0.1000,0.0657,0.1494,0.1959,0.1944,14.7718,1.2576,1.6895,8.9704
OT_e0.050_s0.5,0.0500,0.5000,0,0.0750,0.0460,0.1200,0.1963,0.1981,14.1683,1.2619,1.6435,8.8910
OT_e0.050_s1.0,0.0500,1.0000,0,0.0850,0.0537,0.1319,0.1989,0.2005,14.7968,1.2813,1.7335,8.9862
OT_e0.050_s2.0,0.0500,2.0000,0,0.1050,0.0697,0.1552,0.1960,0.1955,14.4081,1.2604,1.6826,8.9296
OT_e0.050_s5.0,0.0500,5.0000,0,0.0850,0.0537,0.1319,0.1976,0.1891,14.1431,1.2972,1.6883,8.9495
OT_e0.100_s0.2,0.1000,0.2000,0,0.1050,0.0697,0.1552,0.2000,0.1989,14.0761,1.2525,1.6460,8.8641
OT_e0.100_s0.5,0.1000,0.5000,0,0.0950,0.0617,0.1436,0.1969,0.1950,14.3936,1.2864,1.6320,8.8818
OT_e0.100_s1.0,0.1000,1.0000,0,0.1200,0.0820,0.1723,0.2017,0.1955,13.5375,1.2797,1.6218,8.8014
OT_e0.100_s2.0,0.1000,2.0000,0,0.0950,0.0617,0.1436,0.1983,0.1968,14.7806,1.2474,1.6375,8.8535
OT_e0.100_s5.0,0.1000,5.0000,0,0.0900,0.0577,0.1378,0.1988,0.2025,14.8393,1.2466,1.6186,8.7839
OT_e0.500_s0.2,0.5000,0.2000,0,0.0550,0.0310,0.0958,0.1992,0.2001,14.4534,1.3043,1.6474,8.8511
OT_e0.500_s0.5,0.5000,0.5000,0,0.1000,0.0657,0.1494,0.1983,0.2028,14.4527,1.2584,1.7174,8.9876
OT_e0.500_s1.0,0.5000,1.0000,0,0.0550,0.0310,0.0958,0.1999,0.2013,14.7278,1.3128,1.6851,8.9292
OT_e0.500_s2.0,0.5000,2.0000,0,0.0800,0.0498,0.1260,0.1943,0.1928,14.5225,1.2776,1.6227,8.8195
OT_e0.500_s5.0,0.5000,5.0000,0,0.0800,0.0498,0.1260,0.1943,0.1921,14.4188,1.2868,1.7335,8.9472
OT_e1.000_s0.2,1.0000,0.2000,0,0.0850,0.0537,0.1319,0.2010,0.2073,14.6667,1.2936,1.6905,8.9020
OT_e1.000_s0.5,1.0000,0.5000,0,0.0850,0.0537,0.1319,0.1954,0.1841,13.4741,1.2692,1.6735,8.9294
OT_e1.000_s1.0,1.0000,1.0000,0,0.0900,0.0577,0.1378,0.1986,0.1945,14.2727,1.2742,1.7007,8.9372
OT_e1.000_s2.0,1.0000,2.0000,0,0.0700,0.0422,0.1141,0.1968,0.1923,14.0509,1.3386,1.6635,8.8833
OT_e1.000_s5.0,1.0000,5.0000,0,0.0800,0.0498,0.1260,0.1996,0.1977,14.5203,1.2802,1.6125,8.7623
OT_e5.000_s0.2,5.0000,0.2000,0,0.1000,0.0657,0.1494,0.1967,0.1990,14.7040,1.2642,1.7087,8.9851
OT_e5.000_s0.5,5.0000,0.5000,0,0.1000,0.0657,0.1494,0.1999,0.1938,14.1839,1.2689,1.6677,8.9311
OT_e5.000_s1.0,5.0000,1.0000,0,0.0850,0.0537,0.1319,0.1918,0.1871,14.2294,1.2857,1.6314,8.8753
OT_e5.000_s2.0,5.0000,2.0000,0,0.1100,0.0738,0.1609,0.1937,0.1853,14.0490,1.2766,1.6641,8.9114
OT_e5.000_s5.0,5.0000,5.0000,0,0.0850,0.0537,0.1319,0.1989,0.2017,14.4625,1.2840,1.6569,8.8484
OT+SH_e0.010_s0.5,0.0100,0.5000,1,0.0300,0.0138,0.0639,0.1989,0.2765,20.0654,1.0492,1.1421,5.1474
OT+SH_e0.010_s1.0,0.0100,1.0000,1,0.0600,0.0347,0.1019,0.1969,0.2655,20.0622,1.0380,1.1614,5.3506
