variant,rare_prob,collision_rate,ci_lo,ci_hi,collision_given_rare,rare_occurrences,num_rollouts
Base,0.01,0.022,0.01233,0.03896,0.01975,405,500
Base,0.02,0.024,0.01378,0.04148,0.02505,479,500
Base,0.05,0.018,0.009498,0.03385,0.018,500,500
Base,0.1,0.026,0.01526,0.04397,0.026,500,500
Extremes,0.01,0.014,0.006798,0.02861,0.01481,405,500
Extremes,0.02,0.03,0.01826,0.0489,0.03132,479,500
Extremes,0.05,0.016,0.008129,0.03125,0.016,500,500
Extremes,0.1,0.018,0.009498,0.03385,0.018,500,500
OT,0.01,0.026,0.01526,0.04397,0.02716,405,500
OT,0.02,0.03,0.01826,0.0489,0.03132,479,500
OT,0.05,0.028,0.01675,0.04645,0.028,500,500
OT,0.1,0.012,0.005511,0.02593,0.012,500,500
OT+Extremes,0.01,0.02,0.0109,0.03642,0.01975,405,500
OT+Extremes,0.02,0.016,0.008129,0.03125,0.0167,479,500
OT+Extremes,0.05,0.02,0.0109,0.03642,0.02,500,500
OT+Extremes,0.1,0.014,0.006798,0.02861,0.014,500,500
