variant,rare_prob,avg_progress,avg_clearance,avg_solve_ms
Base,0.01,19.92,1.058,1.3
Base,0.02,19.93,1.069,1.3
Base,0.05,19.95,1.081,1.3
Base,0.1,19.92,1.089,1.3
Extremes,0.01,19.93,1.067,1.8
Extremes,0.02,19.83,1.065,1.8
Extremes,0.05,20.02,1.088,1.9
Extremes,0.1,19.98,1.099,1.9
OT,0.01,19.89,1.057,1.3
OT,0.02,19.8,1.061,1.3
OT,0.05,19.94,1.083,1.3
OT,0.1,20.03,1.101,1.3
OT+Extremes,0.01,19.84,1.061,1.9
OT+Extremes,0.02,19.88,1.072,1.9
OT+Extremes,0.05,19.84,1.082,2
OT+Extremes,0.1,19.91,1.095,2
