variant,num_scenarios,collision_rate,ci_lo,ci_hi,avg_solve_ms
Base,10,0.04,0.01104,0.1346,0.77
Base,20,0.02,0.003539,0.105,1
Base,40,0.04,0.01104,0.1346,1.4
Base,80,0.04,0.01104,0.1346,1.9
Base,160,0,0,0.07135,2.7
Extremes,10,0.06,0.02061,0.1622,0.9
Extremes,20,0.08,0.03155,0.1884,1.4
Extremes,40,0.02,0.003539,0.105,2.1
Extremes,80,0,0,0.07135,3.9
Extremes,160,0,0,0.07135,9.3
OT,10,0.04,0.01104,0.1346,0.79
OT,20,0.06,0.02061,0.1622,1
OT,40,0.06,0.02061,0.1622,1.3
OT,80,0.04,0.01104,0.1346,1.8
OT,160,0.02,0.003539,0.105,3
OT+Extremes,10,0.02,0.003539,0.105,0.92
OT+Extremes,20,0.1,0.04348,0.2136,1.5
OT+Extremes,40,0.06,0.02061,0.1622,2.2
OT+Extremes,80,0.08,0.03155,0.1884,4.1
OT+Extremes,160,0.02,0.003539,0.105,9.5
