variant,num_scenarios,median_ms,p90_ms,p99_ms,max_ms
Base,10,0.68,1.6,3,4.1
Base,20,1,1.7,4.7,10
Base,40,0.61,2.5,8.3,30
Base,80,0.66,4.7,12,18
Base,160,0.79,10,21,35
Extremes,10,0.69,1.7,3,11
Extremes,20,1.1,2.1,4.9,17
Extremes,40,2,2.8,8.2,14
Extremes,80,4.1,5.6,15,20
Extremes,160,10,15,33,60
OT,10,0.7,1.6,3,3.6
OT,20,1,1.8,4.9,9.3
OT,40,0.6,2.3,8.1,18
OT,80,0.67,4.4,12,39
OT,160,0.81,11,29,37
OT+Extremes,10,0.72,1.8,3,10
OT+Extremes,20,1.2,2.4,5,17
OT+Extremes,40,2.1,2.9,8.3,17
OT+Extremes,80,4.3,5.8,16,31
OT+Extremes,160,11,14,32,58
