variant,predicted_risk,observed_collision_rate,ci_lo,ci_hi,num_rollouts
Base,0.02,0.01,0.001767,0.05449,100
Base,0.05,0.01,0.001767,0.05449,100
Base,0.1,0.04,0.01566,0.09837,100
Base,0.15,0.03,0.01025,0.08452,100
Base,0.2,0.01,0.001767,0.05449,100
Base,0.3,0.05,0.02154,0.1118,100
Base,0.4,0.03,0.01025,0.08452,100
Base,0.5,0,0,0.03699,100
Extremes,0.02,0.02,0.005502,0.07001,100
Extremes,0.05,0.03,0.01025,0.08452,100
Extremes,0.1,0.07,0.03432,0.1375,100
Extremes,0.15,0.08,0.04109,0.15,100
Extremes,0.2,0.01,0.001767,0.05449,100
Extremes,0.3,0,0,0.03699,100
Extremes,0.4,0.05,0.02154,0.1118,100
Extremes,0.5,0.03,0.01025,0.08452,100
OT,0.02,0.02,0.005502,0.07001,100
OT,0.05,0.02,0.005502,0.07001,100
OT,0.1,0.05,0.02154,0.1118,100
OT,0.15,0.04,0.01566,0.09837,100
OT,0.2,0.02,0.005502,0.07001,100
OT,0.3,0.03,0.01025,0.08452,100
OT,0.4,0.05,0.02154,0.1118,100
OT,0.5,0.03,0.01025,0.08452,100
OT+Extremes,0.02,0,0,0.03699,100
OT+Extremes,0.05,0.03,0.01025,0.08452,100
OT+Extremes,0.1,0.04,0.01566,0.09837,100
OT+Extremes,0.15,0.09,0.04807,0.1623,100
OT+Extremes,0.2,0.01,0.001767,0.05449,100
OT+Extremes,0.3,0.01,0.001767,0.05449,100
OT+Extremes,0.4,0.01,0.001767,0.05449,100
OT+Extremes,0.5,0.05,0.02154,0.1118,100
