seed,step,extreme_max_displacement,obs_future_displacement,non_anticipative
42424,0,0,0.03164,1
42424,1,0,0.03167,1
42424,2,0,0.03174,1
42424,3,0,0.03185,1
42424,4,0,0.03195,1
42424,5,0,0.03193,1
42424,6,0,0.03193,1
42424,7,0,0.03201,1
42424,8,0,0.03192,1
42424,9,0,0.03171,1
42424,10,0,0.03168,1
42424,11,0,0.03545,1
42424,12,0,0.0401,1
42424,13,0,0.04535,1
42424,14,0,0.05091,1
42424,15,0.4809,0.05687,1
42424,16,0.5014,0.06312,1
42424,17,0.5281,0.06957,1
42424,18,0.5616,0.07614,1
42424,19,0.6018,0.07616,1
42424,20,0.6438,0.07609,1
42424,21,0.6875,0.07599,1
42424,22,0.7333,0.08281,1
42424,23,0.7866,0.08291,1
42424,24,0.8415,0.08298,1
42424,25,0.8977,0.08297,1
42424,26,0.9484,0.08285,1
42424,27,0.9931,0.08275,1
42424,28,1.032,0.08275,1
42424,29,1.065,0.08273,1
42424,30,1.091,0.08272,1
42424,31,1.111,0.08268,1
42424,32,1.125,0.08974,1
42424,33,1.139,0.09694,1
42424,34,1.16,0.1041,1
42424,35,1.189,0.1111,1
42424,36,1.226,0.1111,1
42424,37,1.255,0.111,1
42424,38,1.284,0.1109,1
42424,39,1.313,0.1109,1
42424,40,1.34,0.1108,1
42424,41,1.368,0.1107,1
42424,42,1.395,0.1107,1
42424,43,1.421,0.1106,1
42424,44,1.447,0.1105,1
42424,45,1.474,0.1105,1
42424,46,1.501,0.1105,1
42424,47,1.521,0.1105,1
42424,48,1.535,0.1104,1
42424,49,1.543,0.1104,1
42424,50,1.544,0.1104,1
42424,51,1.545,0.1104,1
42424,52,1.545,0.1103,1
42424,53,1.546,0.1102,1
42424,54,1.546,0.1102,1
42424,55,1.546,0.1104,1
42424,56,1.546,0.1106,1
42424,57,1.546,0.1107,1
42424,58,1.546,0.1107,1
42424,59,1.546,0.1107,1
42424,60,1.546,0.1107,1
42424,61,1.546,0.1107,1
42424,62,1.546,0.1107,1
42424,63,1.546,0.1106,1
42424,64,1.546,0.1105,1
42424,65,1.546,0.1106,1
42424,66,1.546,0.1107,1
42424,67,1.546,0.1108,1
42424,68,1.546,0.1109,1
42424,69,1.546,0.1109,1
42424,70,1.546,0.111,1
42424,71,1.546,0.1111,1
42424,72,1.546,0.111,1
42424,73,1.546,0.111,1
42424,74,1.547,0.1109,1
42424,75,1.548,0.1109,1
42424,76,1.549,0.1179,1
42424,77,1.557,0.1248,1
42424,78,1.572,0.1317,1
42424,79,1.594,0.1388,1
