seed,base_collision,extremes_collision,ot_collision,ot_extremes_collision,base_missed,extremes_missed,ot_missed,ot_extremes_missed,base_clearance,extremes_clearance,ot_clearance,ot_extremes_clearance
50,1,1,1,1,61,47,45,44,0.6511,0.4066,0.6048,0.1606
1050,0,0,0,0,35,47,30,28,1.055,1.049,1.065,1.1
2050,0,0,0,0,46,38,38,39,1.052,1.069,1.056,1.073
3050,0,0,0,0,44,51,31,40,1.058,0.9182,1.121,1.037
4050,0,0,0,0,50,54,28,34,1.063,1.289,1.066,1.062
5050,0,0,0,0,58,53,44,44,1.066,0.8947,1.083,0.8948
6050,0,0,0,0,60,51,38,50,1.091,1.059,1.085,1.113
7050,0,0,0,0,48,47,35,37,1.054,1.073,1.059,0.8757
8050,0,0,0,0,61,60,46,33,1.041,1.029,1.057,1.038
9050,0,0,0,0,50,44,44,43,1.043,1.062,1.051,1.075
10050,0,0,0,0,46,51,35,40,1.034,1.017,1.036,1.076
11050,0,0,0,0,44,38,38,38,1.065,1.001,1.068,0.9159
12050,0,0,0,0,36,42,39,49,1.078,1.1,1.068,1.343
13050,0,0,1,0,53,45,43,40,1.502,1.028,0.639,1.057
14050,1,0,0,0,45,52,47,45,0.05899,1.379,1.182,1.1
15050,0,0,0,0,37,35,29,30,1.091,1.081,1.11,1.097
16050,0,0,0,0,56,49,42,43,1.115,1.07,1.067,1.107
17050,0,0,0,0,50,50,38,50,1.056,1.092,1.066,1.278
18050,0,0,0,0,45,44,38,35,1.067,0.8707,1.059,0.942
19050,0,0,0,0,50,47,42,38,1.074,1.053,1.069,1.057
20050,0,0,0,0,53,59,44,36,1.068,1.062,1.068,1.06
21050,0,0,0,0,45,43,49,60,1.522,1.631,1.084,1.628
22050,0,0,0,0,48,44,46,33,1.025,1.073,1.03,1.022
23050,0,0,0,0,37,48,30,34,1.065,0.954,1.063,1.026
24050,0,0,0,0,46,43,34,37,0.8705,0.8625,1.071,0.9927
25050,0,0,0,0,44,33,39,38,1.052,0.9647,1.045,1.069
26050,0,0,0,0,57,63,51,52,1.059,1.309,1.055,1.021
27050,0,0,0,0,51,38,39,42,1.063,1.061,1.058,1.058
28050,0,0,0,0,42,42,39,39,1.452,1.524,1.43,1.317
29050,0,0,0,0,40,38,25,31,1.073,0.958,1.083,1.004
30050,0,0,0,0,59,54,45,41,1.061,1.01,1.044,1.043
31050,0,0,0,0,48,52,44,38,0.928,1.071,1.065,0.9551
32050,0,0,0,0,41,38,35,30,1.023,1.007,1.044,1.05
33050,0,0,0,0,48,46,46,42,0.9766,1.04,1.024,1.052
34050,0,0,0,0,55,48,39,33,1.067,1.051,1.062,1.066
35050,0,0,0,0,56,55,40,47,0.9978,1.041,1.021,1.048
36050,0,1,0,1,57,55,45,39,1.055,0.7778,1.06,0.7349
37050,0,0,0,1,59,56,45,39,1.067,0.9099,1.081,0.6455
38050,0,1,0,0,30,40,33,32,1.078,0.601,1.279,0.8956
39050,0,0,0,0,42,45,34,34,1.066,1.063,1.066,1.069
40050,1,0,0,0,59,45,44,48,0.7926,1.056,0.9261,1.06
41050,0,0,0,0,51,53,39,40,1.053,1.03,1.066,0.9957
42050,0,0,0,0,39,48,39,39,1.043,1.064,1.048,0.9904
43050,0,0,0,0,49,47,36,37,1.034,1.048,1.025,1.034
44050,0,0,0,0,42,44,38,34,1.063,1.09,1.057,1.035
45050,0,0,0,0,41,44,34,42,1.068,1.077,1.103,1.081
46050,0,0,0,0,37,44,35,41,1.066,1.086,1.057,0.9927
47050,1,0,0,0,47,53,36,45,0.05217,1.025,0.9738,1.027
48050,0,0,1,0,31,35,27,20,0.972,0.9773,0.682,1.013
49050,0,0,0,0,40,49,34,40,1.074,1.068,1.068,1.061
50050,0,0,0,0,50,42,46,38,1.071,1.056,1.053,1.057
51050,0,0,0,0,51,48,42,48,1.072,1.062,1.066,1.065
52050,0,0,0,0,45,51,46,46,1.074,1.072,1.061,1.059
53050,0,0,0,1,38,37,26,37,1.004,0.8849,1.069,0.646
54050,0,0,0,0,50,42,37,40,1.062,1.045,1.054,1.042
55050,0,0,0,0,45,38,38,44,1.06,1.063,1.251,1.491
56050,0,0,0,0,38,45,39,39,1.065,1.086,1.066,1.06
57050,0,0,0,0,36,34,32,23,1.061,1.053,1.059,1.055
58050,0,0,0,0,53,43,38,38,1.069,1.064,1.069,1.065
59050,0,0,0,0,48,43,47,39,1.02,0.8818,1.112,1.043
