mode_i,mode_j,w2_distance,horizon
constant_velocity,constant_velocity,0,15
constant_velocity,decelerating,0.263987,15
constant_velocity,lane_change_left,0.24,15
constant_velocity,lane_change_right,0.24,15
constant_velocity,turn_left,0.0677417,15
constant_velocity,turn_right,0.0677417,15
decelerating,constant_velocity,0.263987,15
decelerating,decelerating,0,15
decelerating,lane_change_left,0.467608,15
decelerating,lane_change_right,0.216324,15
decelerating,turn_left,0.310433,15
decelerating,turn_right,0.215109,15
lane_change_left,constant_velocity,0.24,15
lane_change_left,decelerating,0.467608,15
lane_change_left,lane_change_left,0,15
lane_change_left,lane_change_right,0.48,15
lane_change_left,turn_left,0.17305,15
lane_change_left,turn_right,0.307355,15
lane_change_right,constant_velocity,0.24,15
lane_change_right,decelerating,0.216324,15
lane_change_right,lane_change_left,0.48,15
lane_change_right,lane_change_right,0,15
lane_change_right,turn_left,0.307355,15
lane_change_right,turn_right,0.17305,15
turn_left,constant_velocity,0.0677417,15
turn_left,decelerating,0.310433,15
turn_left,lane_change_left,0.17305,15
turn_left,lane_change_right,0.307355,15
turn_left,turn_left,0,15
turn_left,turn_right,0.134446,15
turn_right,constant_velocity,0.0677417,15
turn_right,decelerating,0.215109,15
turn_right,lane_change_left,0.307355,15
turn_right,lane_change_right,0.17305,15
turn_right,turn_left,0.134446,15
turn_right,turn_right,0,15
