environment,variant,collision_rate,ci_lo,ci_hi,missed_mode_rate,avg_progress,avg_clearance,avg_solve_ms
Straight,Base,0.0450,0.0239,0.0833,0.2723,8.8999,1.5446,1.66
Straight,OT,0.0800,0.0498,0.1260,0.1795,9.7057,1.5076,1.72
Straight,Base+SH,0.0300,0.0138,0.0639,0.2733,20.0646,1.0503,1.15
Straight,OT+SH,0.0500,0.0274,0.0896,0.1768,20.0633,1.0419,1.17
Narrow,Base,0.0350,0.0171,0.0705,0.2667,14.4833,1.0984,1.44
Narrow,OT,0.0700,0.0422,0.1141,0.1769,14.4369,1.0754,1.44
Narrow,Base+SH,0.0150,0.0051,0.0432,0.2620,15.0605,1.0705,1.07
Narrow,OT+SH,0.0100,0.0027,0.0357,0.1749,15.0588,1.0658,1.08
Intersection,Base,0.0000,0.0000,0.0188,0.3076,18.0635,2.9099,1.38
Intersection,OT,0.0000,0.0000,0.0188,0.2244,18.0635,2.9126,1.41
Intersection,Base+SH,0.0000,0.0000,0.0188,0.3106,18.0620,2.7457,1.05
Intersection,OT+SH,0.0000,0.0000,0.0188,0.2257,18.0616,2.7475,1.09
Oncoming,Base,0.1000,0.0657,0.1494,0.2750,20.0598,1.0691,1.50
Oncoming,OT,0.0850,0.0537,0.1319,0.1925,20.0662,1.0703,1.50
Oncoming,Base+SH,0.1150,0.0779,0.1666,0.2763,20.0595,1.0406,1.14
Oncoming,OT+SH,0.0900,0.0577,0.1378,0.1903,20.0605,1.0430,1.15
