variant,rare_prob,collision_rate,ci_lo,ci_hi,missed_mode_rate,rare_mode_missed_frac,avg_progress,avg_clearance
Base,0.01,0.0900,0.0577,0.1378,0.2737,0.2618,14.7505,1.2246
Base,0.0500,0.0750,0.0460,0.1200,0.2798,0.2731,14.9631,1.2109
Base,0.1000,0.1050,0.0697,0.1552,0.2733,0.2699,16.3035,1.1843
Base,0.2000,0.1100,0.0738,0.1609,0.2210,0.1849,16.3964,1.1772
OT,0.0100,0.0600,0.0347,0.1019,0.1937,0.2435,14.8471,1.2595
OT,0.0500,0.0900,0.0577,0.1378,0.2045,0.2140,16.0627,1.1837
OT,0.1000,0.0700,0.0422,0.1141,0.1933,0.1974,15.7794,1.1802
OT,0.2000,0.0550,0.0310,0.0958,0.1674,0.1555,16.7766,1.2173
OT+SH,0.0100,0.0550,0.0310,0.0958,0.1879,0.3248,20.0587,1.0342
OT+SH,0.0500,0.0450,0.0239,0.0833,0.2009,0.3081,20.0635,1.0485
OT+SH,0.1000,0.0350,0.0171,0.0705,0.2015,0.2715,20.0585,1.0461
OT+SH,0.2000,0.0550,0.0310,0.0958,0.1696,0.1902,20.0573,1.0366
