variant,num_modes,collision_rate,ci_lo,ci_hi,missed_mode_rate,avg_progress,avg_solve_ms
Base,2,0.0050,0.0009,0.0278,0.0549,10.7038,1.5366
Base,3,0.0050,0.0009,0.0278,0.1296,10.2145,1.5421
Base,4,0.0650,0.0384,0.1080,0.2714,12.5270,1.6358
Base,6,0.0700,0.0422,0.1141,0.3796,11.2812,1.5270
OT,2,0.0100,0.0027,0.0357,0.0278,9.6706,1.5715
OT,3,0.0100,0.0027,0.0357,0.0560,9.3150,1.5415
OT,4,0.0650,0.0384,0.1080,0.1812,12.1649,1.6702
OT,6,0.0700,0.0422,0.1141,0.2811,11.4483,1.6076
OT+SH,2,0.0200,0.0078,0.0503,0.0263,20.0682,1.0385
OT+SH,3,0.0000,0.0000,0.0188,0.0543,20.0695,1.0462
OT+SH,4,0.0150,0.0051,0.0432,0.1776,20.0657,1.1686
OT+SH,6,0.0150,0.0051,0.0432,0.2278,20.0679,1.0792
