num_scenarios,epsilon,beta,safe_horizon_theoretical
5,0.05,0.01,0
5,0.1,0.01,0
5,0.15,0.01,0
5,0.2,0.01,0
10,0.05,0.01,0
10,0.1,0.01,0
10,0.15,0.01,0
10,0.2,0.01,0
15,0.05,0.01,0
15,0.1,0.01,0
15,0.15,0.01,0
15,0.2,0.01,0
20,0.05,0.01,0
20,0.1,0.01,0
20,0.15,0.01,0
20,0.2,0.01,0
25,0.05,0.01,0
25,0.1,0.01,0
25,0.15,0.01,0
25,0.2,0.01,0
30,0.05,0.01,0
30,0.1,0.01,0
30,0.15,0.01,0
30,0.2,0.01,0
35,0.05,0.01,0
35,0.1,0.01,0
35,0.15,0.01,0
35,0.2,0.01,0
40,0.05,0.01,0
40,0.1,0.01,0
40,0.15,0.01,0
40,0.2,0.01,0
45,0.05,0.01,0
45,0.1,0.01,0
45,0.15,0.01,0
45,0.2,0.01,0
50,0.05,0.01,0
50,0.1,0.01,0
50,0.15,0.01,0
50,0.2,0.01,0
55,0.05,0.01,0
55,0.1,0.01,0
55,0.15,0.01,0
55,0.2,0.01,0
60,0.05,0.01,0
60,0.1,0.01,0
60,0.15,0.01,0
60,0.2,0.01,0
65,0.05,0.01,0
65,0.1,0.01,0
65,0.15,0.01,0
65,0.2,0.01,0
70,0.05,0.01,0
70,0.1,0.01,0
70,0.15,0.01,0
70,0.2,0.01,0
75,0.05,0.01,0
75,0.1,0.01,0
75,0.15,0.01,0
75,0.2,0.01,0
80,0.05,0.01,0
80,0.1,0.01,0
80,0.15,0.01,0
80,0.2,0.01,0
85,0.05,0.01,0
85,0.1,0.01,0
85,0.15,0.01,0
85,0.2,0.01,0
90,0.05,0.01,0
90,0.1,0.01,0
90,0.15,0.01,0
90,0.2,0.01,0
95,0.05,0.01,0
95,0.1,0.01,0
95,0.15,0.01,0
95,0.2,0.01,0
100,0.05,0.01,0
100,0.1,0.01,0
100,0.15,0.01,0
100,0.2,0.01,1
105,0.05,0.01,0
105,0.1,0.01,0
105,0.15,0.01,0
105,0.2,0.01,1
110,0.05,0.01,0
110,0.1,0.01,0
110,0.15,0.01,0
110,0.2,0.01,1
115,0.05,0.01,0
115,0.1,0.01,0
115,0.15,0.01,0
115,0.2,0.01,1
120,0.05,0.01,0
120,0.1,0.01,0
120,0.15,0.01,0
120,0.2,0.01,1
125,0.05,0.01,0
125,0.1,0.01,0
125,0.15,0.01,0
125,0.2,0.01,1
130,0.05,0.01,0
130,0.1,0.01,0
130,0.15,0.01,0
130,0.2,0.01,1
135,0.05,0.01,0
135,0.1,0.01,0
135,0.15,0.01,1
135,0.2,0.01,1
140,0.05,0.01,0
140,0.1,0.01,0
140,0.15,0.01,1
140,0.2,0.01,1
145,0.05,0.01,0
145,0.1,0.01,0
145,0.15,0.01,1
145,0.2,0.01,1
150,0.05,0.01,0
150,0.1,0.01,0
150,0.15,0.01,1
150,0.2,0.01,2
155,0.05,0.01,0
155,0.1,0.01,0
155,0.15,0.01,1
155,0.2,0.01,2
160,0.05,0.01,0
160,0.1,0.01,0
160,0.15,0.01,1
160,0.2,0.01,2
165,0.05,0.01,0
165,0.1,0.01,0
165,0.15,0.01,1
165,0.2,0.01,2
170,0.05,0.01,0
170,0.1,0.01,0
170,0.15,0.01,1
170,0.2,0.01,2
175,0.05,0.01,0
175,0.1,0.01,0
175,0.15,0.01,1
175,0.2,0.01,2
180,0.05,0.01,0
180,0.1,0.01,0
180,0.15,0.01,1
180,0.2,0.01,2
185,0.05,0.01,0
185,0.1,0.01,0
185,0.15,0.01,1
185,0.2,0.01,2
190,0.05,0.01,0
190,0.1,0.01,0
190,0.15,0.01,1
190,0.2,0.01,2
195,0.05,0.01,0
195,0.1,0.01,0
195,0.15,0.01,1
195,0.2,0.01,2
200,0.05,0.01,0
200,0.1,0.01,0
200,0.15,0.01,1
200,0.2,0.01,3
205,0.05,0.01,0
205,0.1,0.01,0
205,0.15,0.01,1
205,0.2,0.01,3
210,0.05,0.01,0
210,0.1,0.01,0
210,0.15,0.01,2
210,0.2,0.01,3
215,0.05,0.01,0
215,0.1,0.01,0
215,0.15,0.01,2
215,0.2,0.01,3
220,0.05,0.01,0
220,0.1,0.01,1
220,0.15,0.01,2
220,0.2,0.01,3
225,0.05,0.01,0
225,0.1,0.01,1
225,0.15,0.01,2
225,0.2,0.01,3
230,0.05,0.01,0
230,0.1,0.01,1
230,0.15,0.01,2
230,0.2,0.01,3
235,0.05,0.01,0
235,0.1,0.01,1
235,0.15,0.01,2
235,0.2,0.01,3
240,0.05,0.01,0
240,0.1,0.01,1
240,0.15,0.01,2
240,0.2,0.01,3
245,0.05,0.01,0
245,0.1,0.01,1
245,0.15,0.01,2
245,0.2,0.01,3
250,0.05,0.01,0
250,0.1,0.01,1
250,0.15,0.01,2
250,0.2,0.01,4
255,0.05,0.01,0
255,0.1,0.01,1
255,0.15,0.01,2
255,0.2,0.01,4
260,0.05,0.01,0
260,0.1,0.01,1
260,0.15,0.01,2
260,0.2,0.01,4
265,0.05,0.01,0
265,0.1,0.01,1
265,0.15,0.01,2
265,0.2,0.01,4
270,0.05,0.01,0
270,0.1,0.01,1
270,0.15,0.01,2
270,0.2,0.01,4
275,0.05,0.01,0
275,0.1,0.01,1
275,0.15,0.01,2
275,0.2,0.01,4
280,0.05,0.01,0
280,0.1,0.01,1
280,0.15,0.01,2
280,0.2,0.01,4
285,0.05,0.01,0
285,0.1,0.01,1
285,0.15,0.01,3
285,0.2,0.01,4
290,0.05,0.01,0
290,0.1,0.01,1
290,0.15,0.01,3
290,0.2,0.01,4
295,0.05,0.01,0
295,0.1,0.01,1
295,0.15,0.01,3
295,0.2,0.01,4
300,0.05,0.01,0
300,0.1,0.01,1
300,0.15,0.01,3
300,0.2,0.01,5
305,0.05,0.01,0
305,0.1,0.01,1
305,0.15,0.01,3
305,0.2,0.01,5
310,0.05,0.01,0
310,0.1,0.01,1
310,0.15,0.01,3
310,0.2,0.01,5
315,0.05,0.01,0
315,0.1,0.01,1
315,0.15,0.01,3
315,0.2,0.01,5
320,0.05,0.01,0
320,0.1,0.01,1
320,0.15,0.01,3
320,0.2,0.01,5
325,0.05,0.01,0
325,0.1,0.01,1
325,0.15,0.01,3
325,0.2,0.01,5
330,0.05,0.01,0
330,0.1,0.01,1
330,0.15,0.01,3
330,0.2,0.01,5
335,0.05,0.01,0
335,0.1,0.01,1
335,0.15,0.01,3
335,0.2,0.01,5
340,0.05,0.01,0
340,0.1,0.01,2
340,0.15,0.01,3
340,0.2,0.01,5
345,0.05,0.01,0
345,0.1,0.01,2
345,0.15,0.01,3
345,0.2,0.01,5
350,0.05,0.01,0
350,0.1,0.01,2
350,0.15,0.01,3
350,0.2,0.01,6
355,0.05,0.01,0
355,0.1,0.01,2
355,0.15,0.01,4
355,0.2,0.01,6
360,0.05,0.01,0
360,0.1,0.01,2
360,0.15,0.01,4
360,0.2,0.01,6
365,0.05,0.01,0
365,0.1,0.01,2
365,0.15,0.01,4
365,0.2,0.01,6
370,0.05,0.01,0
370,0.1,0.01,2
370,0.15,0.01,4
370,0.2,0.01,6
375,0.05,0.01,0
375,0.1,0.01,2
375,0.15,0.01,4
375,0.2,0.01,6
380,0.05,0.01,0
380,0.1,0.01,2
380,0.15,0.01,4
380,0.2,0.01,6
385,0.05,0.01,0
385,0.1,0.01,2
385,0.15,0.01,4
385,0.2,0.01,6
390,0.05,0.01,0
390,0.1,0.01,2
390,0.15,0.01,4
390,0.2,0.01,6
395,0.05,0.01,0
395,0.1,0.01,2
395,0.15,0.01,4
395,0.2,0.01,6
400,0.05,0.01,0
400,0.1,0.01,2
400,0.15,0.01,4
400,0.2,0.01,7
405,0.05,0.01,0
405,0.1,0.01,2
405,0.15,0.01,4
405,0.2,0.01,7
410,0.05,0.01,0
410,0.1,0.01,2
410,0.15,0.01,4
410,0.2,0.01,7
415,0.05,0.01,0
415,0.1,0.01,2
415,0.15,0.01,4
415,0.2,0.01,7
420,0.05,0.01,0
420,0.1,0.01,2
420,0.15,0.01,4
420,0.2,0.01,7
425,0.05,0.01,0
425,0.1,0.01,2
425,0.15,0.01,4
425,0.2,0.01,7
430,0.05,0.01,0
430,0.1,0.01,2
430,0.15,0.01,5
430,0.2,0.01,7
435,0.05,0.01,0
435,0.1,0.01,2
435,0.15,0.01,5
435,0.2,0.01,7
440,0.05,0.01,0
440,0.1,0.01,2
440,0.15,0.01,5
440,0.2,0.01,7
445,0.05,0.01,0
445,0.1,0.01,2
445,0.15,0.01,5
445,0.2,0.01,7
450,0.05,0.01,0
450,0.1,0.01,2
450,0.15,0.01,5
450,0.2,0.01,8
455,0.05,0.01,0
455,0.1,0.01,2
455,0.15,0.01,5
455,0.2,0.01,8
460,0.05,0.01,0
460,0.1,0.01,2
460,0.15,0.01,5
460,0.2,0.01,8
465,0.05,0.01,0
465,0.1,0.01,3
465,0.15,0.01,5
465,0.2,0.01,8
470,0.05,0.01,0
470,0.1,0.01,3
470,0.15,0.01,5
470,0.2,0.01,8
475,0.05,0.01,0
475,0.1,0.01,3
475,0.15,0.01,5
475,0.2,0.01,8
480,0.05,0.01,0
480,0.1,0.01,3
480,0.15,0.01,5
480,0.2,0.01,8
485,0.05,0.01,1
485,0.1,0.01,3
485,0.15,0.01,5
485,0.2,0.01,8
490,0.05,0.01,1
490,0.1,0.01,3
490,0.15,0.01,5
490,0.2,0.01,8
495,0.05,0.01,1
495,0.1,0.01,3
495,0.15,0.01,5
495,0.2,0.01,8
500,0.05,0.01,1
500,0.1,0.01,3
500,0.15,0.01,6
500,0.2,0.01,9
