seed,method,scenario,S,eps_wass,sigma,shift_rho,shift_boost,ground_cost,collision,collision_step,min_clearance,min_clearance_step,total_progress,control_effort,constraint_active_count,missed_mode_steps,total_steps,avg_solve_ms,p50_solve_ms,p95_solve_ms,max_solve_ms,total_dro_injected,avg_safe_horizon,clearance_5pct
12345,SHMPC,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,1,34,0.7976,38,11.2595,220.0179,239,24,80,5.5359,3.4983,12.6361,15.1494,0,7.0000,0.8063
12346,SHMPC,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,0.8645,19,20.1620,788.3056,406,31,80,3.6360,2.7760,12.8404,19.5144,0,7.0000,0.8887
12347,SHMPC,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,1,34,0.6099,42,16.6395,360.2913,221,27,80,5.0118,3.8681,14.4673,20.3384,0,7.0000,0.6191
12348,SHMPC,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,1,28,0.6392,72,2.3820,91.0739,143,12,80,7.4752,4.6034,17.6771,25.3981,0,7.0000,0.6641
12349,SHMPC,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.1115,12,7.3970,172.7770,198,18,80,5.5838,4.2639,13.8784,15.6637,0,7.0000,1.1297
12350,SHMPC,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,0.9752,42,3.8015,114.8692,159,33,80,5.1129,3.3005,11.5836,14.6800,0,7.0000,0.9817
12351,SHMPC,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.1252,12,20.3390,745.6857,512,22,80,3.7690,2.9037,9.8696,13.1320,0,7.0000,1.1561
12352,SHMPC,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,0.9263,34,9.5988,201.7121,195,17,80,5.1549,3.3085,13.8838,14.3527,0,7.0000,0.9457
12353,SHMPC,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.0269,52,8.2247,235.8180,268,22,80,5.5664,4.3038,14.3717,17.2021,0,7.0000,1.0350
12354,SHMPC,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,1,18,0.1223,34,2.3627,103.9144,149,3,80,6.2643,4.0866,14.9381,18.3351,0,7.0000,0.1483
12355,SHMPC,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,1,24,0.7392,28,20.5408,640.6444,390,38,80,5.1126,3.6562,17.1008,20.7393,0,7.0000,0.7539
12356,SHMPC,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,1,18,0.2400,45,2.0758,76.3950,114,24,80,7.0292,4.6665,16.2341,20.3215,0,7.0000,0.2510
12357,SHMPC,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.1801,15,20.1119,801.2482,793,11,80,3.5797,2.9269,10.4690,13.5266,0,7.0000,1.2410
12358,SHMPC,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.1539,12,20.1113,775.6099,643,20,80,2.9051,1.9428,9.1614,16.1229,0,7.0000,1.2267
