variant,switch_prob,collision_rate,ci_lo,ci_hi,num_rollouts
Base,0,0.0300,0.0138,0.0639,200
Base,0.0500,0.0450,0.0239,0.0833,200
Base,0.1000,0.0450,0.0239,0.0833,200
Base,0.2000,0.0100,0.0027,0.0357,200
Base,0.3000,0.0400,0.0204,0.0769,200
Base,0.5000,0.0750,0.0460,0.1200,200
DRO,0.0000,0.1250,0.0861,0.1780,200
DRO,0.0500,0.0950,0.0617,0.1436,200
DRO,0.1000,0.0950,0.0617,0.1436,200
DRO,0.2000,0.1200,0.0820,0.1723,200
DRO,0.3000,0.0900,0.0577,0.1378,200
DRO,0.5000,0.1000,0.0657,0.1494,200
OT,0.0000,0.0300,0.0138,0.0639,200
OT,0.0500,0.0300,0.0138,0.0639,200
OT,0.1000,0.0250,0.0107,0.0572,200
OT,0.2000,0.0250,0.0107,0.0572,200
OT,0.3000,0.0350,0.0171,0.0705,200
OT,0.5000,0.0450,0.0239,0.0833,200
OT+DRO,0.0000,0.0950,0.0617,0.1436,200
OT+DRO,0.0500,0.0550,0.0310,0.0958,200
OT+DRO,0.1000,0.0850,0.0537,0.1319,200
OT+DRO,0.2000,0.1500,0.1071,0.2061,200
OT+DRO,0.3000,0.1050,0.0697,0.1552,200
OT+DRO,0.5000,0.1300,0.0903,0.1837,200
