variant,switch_prob,missed_mode_rate,avg_progress,avg_clearance
Base,0,0,19.63,1.047
Base,0.05,0.1897,20.06,1.036
Base,0.1,0.2446,20.07,1.036
Base,0.2,0.2813,20.07,1.054
Base,0.3,0.2941,20.06,1.039
Base,0.5,0.309,19.95,1.015
DRO,0,0.0001333,18.52,0.9845
DRO,0.05,0.1898,19.84,0.9919
DRO,0.1,0.2427,19.86,1.002
DRO,0.2,0.2809,20.05,0.9939
DRO,0.3,0.2951,19.96,0.9917
DRO,0.5,0.3115,20.04,0.9947
OT,0,0,19.51,1.042
OT,0.05,0.08007,19.98,1.038
OT,0.1,0.132,19.95,1.043
OT,0.2,0.1892,20.06,1.052
OT,0.3,0.2105,20.06,1.031
OT,0.5,0.2571,20.05,1.024
OT+DRO,0,0.0002,18.75,1.01
OT+DRO,0.05,0.08037,19.7,1.006
OT+DRO,0.1,0.1305,19.78,1.006
OT+DRO,0.2,0.1886,20.02,0.9774
OT+DRO,0.3,0.2124,20.13,0.9864
OT+DRO,0.5,0.2548,20.02,0.9863
