variant,num_scenarios,collision_rate,ci_lo,ci_hi,avg_solve_ms
Base,10,0.06,0.02061,0.1622,0.79
Base,20,0,0,0.07135,0.94
Base,40,0.02,0.003539,0.105,1.4
Base,80,0.02,0.003539,0.105,1.9
Base,160,0,0,0.07135,2.8
DRO,10,0.08,0.03155,0.1884,0.86
DRO,20,0.1,0.04348,0.2136,1.2
DRO,40,0.06,0.02061,0.1622,1.4
DRO,80,0.08,0.03155,0.1884,2
DRO,160,0.08,0.03155,0.1884,3.2
OT,10,0.06,0.02061,0.1622,0.8
OT,20,0.02,0.003539,0.105,0.98
OT,40,0.02,0.003539,0.105,1.3
OT,80,0.04,0.01104,0.1346,1.8
OT,160,0.02,0.003539,0.105,2.8
OT+DRO,10,0.08,0.03155,0.1884,0.89
OT+DRO,20,0.12,0.05618,0.2381,1.2
OT+DRO,40,0.08,0.03155,0.1884,1.4
OT+DRO,80,0.1,0.04348,0.2136,2
OT+DRO,160,0.1,0.04348,0.2136,3.1
