variant,num_scenarios,median_ms,p90_ms,p99_ms,max_ms
Base,10,0.76,2.3,3.3,3.6
Base,20,0.95,2.6,5.2,5.6
Base,40,1.1,3.4,8.5,10
Base,80,1.1,4.3,9.3,18
Base,160,1.3,6,16,35
DRO,10,0.78,2.4,3.3,4.4
DRO,20,0.96,2.7,4,5.5
DRO,40,1.1,3.5,5.3,9.9
DRO,80,1.2,4.4,8.4,17
DRO,160,1.3,6,15,34
OT,10,0.76,2.3,3.3,3.5
OT,20,1,2.7,5.2,10
OT,40,1.1,3.4,8.6,13
OT,80,1.1,4.5,10,23
OT,160,1.3,6.4,17,35
OT+DRO,10,0.79,2.4,3.3,12
OT+DRO,20,1,2.7,4.1,5.6
OT+DRO,40,1.1,3.5,5.5,10
OT+DRO,80,1.1,4.5,9,24
OT+DRO,160,1.3,6.3,16,34
