seed,step,dro_risk,obs_future_displacement,non_anticipative
42424,0,0,0.03164,1
42424,1,0,0.03167,1
42424,2,0,0.03174,1
42424,3,0,0.03185,1
42424,4,0,0.03195,1
42424,5,0,0.03193,1
42424,6,0,0.03193,1
42424,7,0,0.03201,1
42424,8,0,0.03192,1
42424,9,0,0.03171,1
42424,10,0,0.03168,1
42424,11,0,0.03545,1
42424,12,0.0267,0.0401,1
42424,13,0.1457,0.04535,1
42424,14,0.2631,0.05091,1
42424,15,0.376,0.05687,1
42424,16,0.4836,0.06312,1
42424,17,0.5742,0.06957,1
42424,18,0.6357,0.07614,1
42424,19,0.63,0.07616,1
42424,20,0.6104,0.07609,1
42424,21,0.5823,0.07599,1
42424,22,0.6705,0.08281,1
42424,23,0.736,0.08291,1
42424,24,0.7867,0.08298,1
42424,25,0.8175,0.08297,1
42424,26,0.8225,0.08285,1
42424,27,0.8082,0.08275,1
42424,28,0.7724,0.08275,1
42424,29,0.7169,0.08273,1
42424,30,0.6502,0.08272,1
42424,31,0.5731,0.08268,1
42424,32,0.4775,0.08974,1
42424,33,0.3626,0.09694,1
42424,34,0.2438,0.1041,1
42424,35,0.1374,0.1111,1
42424,36,0.09926,0.1111,1
42424,37,0.07336,0.111,1
42424,38,0.04243,0.1109,1
42424,39,0.01303,0.1109,1
42424,40,0,0.1108,1
42424,41,0,0.1107,1
42424,42,0,0.1107,1
42424,43,0,0.1106,1
42424,44,0,0.1105,1
42424,45,0,0.1105,1
42424,46,0,0.1105,1
42424,47,0,0.1105,1
42424,48,0,0.1104,1
42424,49,0,0.1104,1
42424,50,0,0.1104,1
42424,51,0,0.1104,1
42424,52,0,0.1103,1
42424,53,0,0.1102,1
42424,54,0,0.1102,1
42424,55,0,0.1104,1
42424,56,0,0.1106,1
42424,57,0,0.1107,1
42424,58,0,0.1107,1
42424,59,0,0.1107,1
42424,60,0,0.1107,1
42424,61,0,0.1107,1
42424,62,0,0.1107,1
42424,63,0,0.1106,1
42424,64,0,0.1105,1
42424,65,0,0.1106,1
42424,66,0,0.1107,1
42424,67,0,0.1108,1
42424,68,0,0.1109,1
42424,69,0,0.1109,1
42424,70,0,0.111,1
42424,71,0,0.1111,1
42424,72,0,0.111,1
42424,73,0,0.111,1
42424,74,0,0.1109,1
42424,75,0,0.1109,1
42424,76,0,0.1179,1
42424,77,0,0.1248,1
42424,78,0,0.1317,1
42424,79,0,0.1388,1
