seed,base_collision,dro_collision,ot_collision,ot_dro_collision,base_missed,dro_missed,ot_missed,ot_dro_missed,base_clearance,dro_clearance,ot_clearance,ot_dro_clearance
50,0,1,1,1,59,53,47,44,1.04,0.5948,0.4985,0.5262
1050,0,0,0,0,43,40,35,32,1.059,1.064,1.053,1.052
2050,0,0,0,0,36,45,40,29,1.067,1.063,1.059,1.061
3050,1,0,0,0,40,41,35,36,0.08011,0.908,1.063,0.9225
4050,0,0,0,0,42,34,29,32,1.057,1.058,1.066,1.058
5050,0,0,0,0,53,58,43,53,1.085,1.075,1.059,1.072
6050,0,0,0,0,58,49,50,37,1.072,1.067,1.068,1.067
7050,0,0,0,0,51,54,30,44,1.06,1.049,1.062,0.9665
8050,0,0,0,0,57,62,38,46,1.062,1.169,1.043,1.018
9050,0,0,0,0,49,47,45,39,1.053,1.033,1.23,1.022
10050,0,0,0,0,38,38,36,29,1.033,1.032,1.068,1.055
11050,0,0,0,0,49,40,37,34,1.093,1.094,1.087,1.069
12050,0,0,0,0,42,50,43,32,1.087,0.9866,1.079,1.09
13050,1,0,0,0,50,54,28,47,0.1827,1.048,1.01,1.066
14050,0,1,0,0,50,48,42,38,0.897,0.06398,1.015,1.105
15050,0,0,0,0,49,36,34,45,1.09,1.078,1.084,1.078
16050,0,0,0,0,46,50,41,54,1.076,1.063,1.085,1.056
17050,0,0,0,0,50,45,37,41,1.113,0.8632,1.073,1.076
18050,0,0,0,0,35,34,39,29,1.064,1.056,1.062,1.059
19050,0,0,0,0,51,50,47,49,1.061,1.072,1.187,1.078
20050,0,0,0,0,56,60,44,44,1.063,1.07,1.069,1.058
21050,0,0,0,0,51,43,46,40,1.552,1.007,1.517,1.642
22050,0,0,0,0,54,55,46,41,1.057,1.061,1.011,1.055
23050,0,0,0,0,50,50,32,42,1.098,1.024,1.067,0.9482
24050,0,1,0,0,41,43,36,28,0.8985,0.7281,1.055,1.094
25050,0,0,0,0,36,46,42,45,1.049,1.057,1.043,1.189
26050,0,0,0,0,51,65,52,46,1.061,1.02,1.063,0.9809
27050,0,0,0,0,46,42,46,39,1.052,1.052,1.079,1.06
28050,0,0,0,0,44,40,35,41,1.073,1.064,1.224,1.452
29050,0,0,0,0,41,51,25,34,1.071,1.466,1.088,1.022
