variant,forced_n_safe,collision_rate,ci_lo,ci_hi,avg_progress,avg_clearance,avg_solve_ms
Base+SH,3,0.8450,0.7884,0.8886,19.5176,0.5066,0.99
Base+SH,5,0.3750,0.3109,0.4439,19.7917,0.8534,1.03
Base+SH,8,0.0250,0.0107,0.0572,20.0626,1.0621,1.02
Base+SH,10,0.0200,0.0078,0.0503,20.0662,1.0633,1.10
Base+SH,12,0.0150,0.0051,0.0432,19.8805,1.0636,1.20
Base+SH,15,0.1900,0.1417,0.2500,9.1527,1.1989,1.56
OT+SH,3,0.8150,0.7554,0.8627,19.3857,0.5245,1.00
OT+SH,5,0.2500,0.1951,0.3143,19.7132,0.9265,1.01
OT+SH,8,0.0150,0.0051,0.0432,20.0033,1.0762,1.01
OT+SH,10,0.0050,0.0009,0.0278,20.0678,1.0829,1.10
OT+SH,12,0.0150,0.0051,0.0432,20.0678,1.0625,1.21
OT+SH,15,0.1600,0.1157,0.2171,10.1741,1.1768,1.60
