sweep_dim,sweep_value,avg_total_ms,avg_constraint_ms,avg_qp_ms,p50_total_ms,p90_total_ms,collision_rate
S,10,1.566,0.008,1.531,1.264,2.736,0.0200
S,20,2.482,0.012,2.419,2.134,4.523,0.1800
S,40,5.723,0.018,5.603,3.627,14.569,0.2600
S,80,10.159,0.024,9.951,4.189,40.671,0.3200
S,160,16.618,0.034,16.247,4.583,21.536,0.2800
S,320,22.010,0.047,21.337,5.506,23.179,0.3000
D,1,1.693,0.005,1.591,1.276,3.825,0.0000
D,3,5.448,0.017,5.334,3.543,13.722,0.2800
D,5,8.696,0.024,8.567,5.243,23.247,0.3600
D,7,12.174,0.029,12.031,6.898,33.556,0.4000
N_safe,3,2.306,0.016,2.197,2.260,3.973,0.0000
N_safe,5,3.302,0.017,3.190,2.447,6.828,0.2000
N_safe,8,4.655,0.019,4.535,3.151,10.252,0.3400
N_safe,10,5.431,0.017,5.315,3.523,13.894,0.3200
N_safe,15,7.044,0.018,6.924,4.347,17.916,0.2600
