variant,num_scenarios,collision_rate,ci_lo,ci_hi,missed_mode_rate,avg_progress
Base,10,0.1080,0.0837,0.1383,0.1910,14.8736
Base,20,0.1020,0.0784,0.1316,0.2296,13.9539
Base,40,0.0740,0.0542,0.1003,0.2784,14.0878
Base,80,0.0820,0.0610,0.1094,0.3184,13.6882
Base,160,0.0820,0.0610,0.1094,0.3470,13.5937
OT,10,0.1140,0.0890,0.1448,0.1110,14.5245
OT,20,0.1000,0.0767,0.1294,0.1472,13.7536
OT,40,0.0700,0.0508,0.0958,0.1863,14.5039
OT,80,0.0800,0.0593,0.1071,0.2230,14.4110
OT,160,0.0800,0.0593,0.1071,0.2504,13.2673
OT+SH,10,0.5840,0.5403,0.6264,0.1047,19.3246
OT+SH,20,0.1820,0.1506,0.2182,0.1366,19.9213
OT+SH,40,0.0600,0.0423,0.0844,0.1859,19.9761
OT+SH,80,0.0880,0.0662,0.1161,0.2247,13.7640
OT+SH,160,0.0800,0.0593,0.1071,0.2502,13.2627
