seed,W2-Euclidean,Random-Permuted,Constant,Flat-NoGeom,Mean-Only
150000,0,0,0,0,0
150001,0,0,0,0,0
150002,1,1,1,1,1
150003,0,0,0,0,0
150004,0,0,0,0,0
150005,0,0,0,0,0
150006,0,0,0,0,0
150007,0,0,0,0,0
150008,0,0,0,0,0
150009,0,0,0,0,0
150010,0,0,0,0,0
150011,1,0,0,0,0
150012,0,0,0,0,0
150013,1,1,0,1,1
150014,0,0,0,0,0
150015,0,0,0,0,0
150016,0,0,0,0,0
150017,0,0,0,0,0
150018,0,0,0,0,0
150019,0,0,0,0,0
150020,0,0,0,0,1
150021,0,0,0,0,0
150022,0,0,0,0,0
150023,1,0,0,0,0
150024,0,0,0,0,0
150025,0,0,0,1,0
150026,0,0,0,0,0
150027,0,0,0,0,0
150028,0,0,0,0,0
150029,0,0,0,0,0
150030,0,0,0,0,0
150031,0,1,0,1,0
150032,0,0,0,0,0
150033,0,0,0,0,0
150034,0,0,0,0,0
150035,0,0,0,0,0
150036,0,0,0,0,0
150037,0,0,0,0,0
150038,0,1,0,0,0
150039,0,0,0,0,0
150040,0,0,0,0,0
150041,0,0,0,0,0
150042,0,0,0,0,0
150043,0,0,0,0,0
150044,0,0,0,0,0
150045,0,0,0,0,0
150046,0,1,1,1,0
150047,0,0,0,0,0
150048,0,0,0,0,0
150049,0,0,0,0,0
150050,0,0,0,0,0
150051,0,0,0,0,0
150052,0,0,0,0,0
150053,0,0,0,0,0
150054,0,1,0,0,0
150055,0,0,0,0,0
150056,1,0,0,0,1
150057,0,0,0,0,0
150058,0,0,0,0,0
150059,0,0,0,0,0
150060,0,0,0,0,0
150061,0,0,0,0,0
150062,0,0,0,0,0
150063,0,0,0,0,0
150064,1,1,1,0,1
150065,1,1,0,0,0
150066,0,0,0,0,0
150067,0,0,0,0,0
150068,0,0,1,0,0
150069,0,0,0,1,0
150070,0,0,0,0,0
150071,0,0,0,0,0
150072,0,0,0,0,0
150073,0,0,0,0,0
150074,0,0,0,0,0
150075,0,0,0,0,0
150076,0,0,0,0,0
150077,0,0,0,0,0
150078,0,0,0,0,0
150079,0,0,0,0,0
150080,0,0,0,0,0
150081,0,0,0,0,0
150082,0,0,0,0,1
150083,0,0,0,0,0
150084,0,0,0,0,0
150085,0,0,0,0,0
150086,0,0,0,0,0
150087,0,1,1,1,1
150088,0,0,0,0,0
150089,0,0,0,0,0
150090,0,0,0,0,0
150091,0,0,0,0,0
150092,0,0,0,0,0
150093,0,0,0,0,0
150094,0,0,0,0,0
150095,0,0,0,0,0
150096,0,0,0,0,0
150097,0,0,0,0,0
150098,0,0,0,0,0
150099,0,0,0,1,0
150100,0,0,0,0,0
150101,0,0,0,0,0
150102,0,0,0,0,0
150103,0,0,0,0,0
150104,0,0,0,0,1
150105,0,0,0,0,0
150106,0,0,0,0,0
150107,0,0,0,0,0
150108,1,0,0,0,0
150109,0,0,0,0,0
150110,0,0,0,0,0
150111,0,0,0,0,0
150112,0,0,0,0,1
150113,0,0,0,0,0
150114,0,1,0,0,0
150115,0,0,0,0,0
150116,0,0,0,0,0
150117,0,0,0,0,0
150118,0,0,0,0,0
150119,0,0,0,0,0
150120,0,0,0,0,0
150121,1,0,0,0,0
150122,0,0,0,0,0
150123,0,0,0,0,0
150124,1,0,0,0,0
150125,0,1,0,1,0
150126,0,0,1,0,0
150127,0,0,0,0,0
150128,0,0,0,0,0
150129,0,0,0,0,0
150130,0,0,0,1,0
150131,0,0,0,0,0
150132,0,0,0,0,0
150133,0,0,0,0,0
150134,0,0,0,0,0
150135,0,1,1,0,0
150136,0,0,0,0,0
150137,0,0,0,0,0
150138,0,0,0,0,0
150139,0,0,0,0,0
150140,0,0,0,0,0
150141,1,0,0,0,0
150142,0,0,0,0,0
150143,0,0,0,0,0
150144,0,0,0,0,0
150145,0,0,0,0,0
150146,0,0,0,0,0
150147,0,1,0,0,0
150148,1,0,0,0,0
150149,0,0,0,0,0
150150,0,0,1,0,1
150151,0,0,0,0,0
150152,0,0,0,0,0
150153,0,0,0,0,0
150154,0,0,0,0,0
150155,0,0,0,0,0
150156,1,0,0,0,0
150157,0,0,0,0,0
150158,0,0,0,0,0
150159,0,1,0,0,1
150160,0,0,0,0,0
150161,0,0,0,0,0
150162,0,0,0,0,0
150163,0,0,0,0,0
150164,0,0,0,0,0
150165,0,0,1,1,0
150166,1,0,0,0,0
150167,0,0,0,0,0
150168,0,0,0,0,0
150169,0,0,0,0,0
150170,0,0,0,0,0
150171,0,0,0,0,0
150172,0,0,0,0,0
150173,0,0,0,0,0
150174,0,0,1,1,1
150175,0,0,0,0,0
150176,0,0,0,0,0
150177,0,0,0,0,0
150178,1,1,1,1,1
150179,0,0,0,0,0
150180,0,0,0,0,0
150181,0,0,0,0,0
150182,0,0,0,0,0
150183,0,0,0,0,0
150184,0,0,0,0,0
150185,0,0,0,0,0
150186,0,0,0,1,1
150187,0,0,0,0,0
150188,0,0,0,0,0
150189,0,0,0,0,0
150190,0,0,0,0,0
150191,1,0,0,0,1
150192,0,0,0,0,0
150193,0,0,0,0,0
150194,0,0,0,0,0
150195,1,0,0,0,0
150196,0,0,0,0,0
150197,1,0,0,0,0
150198,0,0,0,0,0
150199,0,1,1,1,1
150200,0,1,0,0,0
150201,0,0,0,0,0
150202,0,0,0,0,0
150203,0,0,0,0,0
150204,0,0,0,0,0
150205,0,0,0,0,0
150206,0,0,0,0,0
150207,0,0,0,0,0
150208,0,0,0,0,0
150209,0,0,0,1,0
150210,0,0,0,0,0
150211,0,0,0,0,0
150212,0,0,0,0,0
150213,0,0,0,0,0
150214,0,0,0,0,0
150215,0,0,0,0,0
150216,0,0,0,0,0
150217,0,0,0,0,0
150218,1,0,1,1,0
150219,0,0,0,0,0
150220,0,0,0,0,0
150221,0,0,0,0,0
150222,0,0,0,0,0
150223,0,0,0,0,0
150224,0,0,0,0,0
150225,0,0,0,0,0
150226,0,0,0,0,0
150227,0,0,1,0,0
150228,0,0,0,0,0
150229,0,0,0,0,0
150230,0,0,0,0,0
150231,0,0,0,0,0
150232,0,0,0,0,0
150233,0,0,0,0,0
150234,0,0,0,0,0
150235,0,0,0,0,0
150236,0,0,0,0,0
150237,0,0,0,0,0
150238,0,0,1,0,0
150239,0,0,0,0,0
150240,0,0,0,0,0
150241,0,0,0,0,0
150242,0,0,0,0,0
150243,0,0,0,0,0
150244,1,0,0,1,0
150245,0,0,0,0,0
150246,0,0,0,0,0
150247,0,0,0,0,0
150248,0,0,0,0,0
150249,0,0,0,0,0
150250,0,0,0,0,0
150251,0,1,0,0,0
150252,0,0,0,0,0
150253,0,0,0,0,0
150254,0,0,0,1,1
150255,0,0,0,1,0
150256,0,0,1,0,0
150257,0,0,0,0,0
150258,0,0,0,0,0
150259,0,0,0,0,0
150260,0,0,0,0,0
150261,0,0,1,0,1
150262,0,0,0,0,0
150263,1,0,0,0,0
150264,0,0,0,0,0
150265,0,0,0,0,0
150266,0,0,0,0,0
150267,0,0,1,0,0
150268,0,0,0,0,1
150269,0,0,0,0,0
150270,0,0,0,0,0
150271,0,0,0,0,0
150272,0,1,0,0,1
150273,0,0,0,0,0
150274,0,0,0,0,0
150275,0,0,0,0,0
150276,0,0,0,1,0
150277,0,0,0,0,0
150278,0,0,0,0,0
150279,0,0,0,0,0
150280,0,0,0,0,0
150281,0,0,0,0,0
150282,0,0,0,0,0
150283,1,0,0,0,0
150284,0,0,0,0,0
150285,0,0,0,0,0
150286,0,0,0,0,0
150287,1,0,1,1,0
150288,0,0,0,0,0
150289,0,0,0,0,0
150290,0,0,0,0,0
150291,0,0,0,0,0
150292,0,0,0,0,0
150293,0,0,0,0,0
150294,0,0,0,0,0
150295,0,0,1,0,1
150296,0,0,0,0,0
150297,0,0,0,0,1
150298,0,0,0,0,0
150299,0,0,0,0,0
150300,0,0,0,0,0
150301,0,0,0,0,0
150302,0,0,0,0,0
150303,0,0,0,0,0
150304,0,0,0,0,0
150305,0,0,0,0,0
150306,0,0,0,0,0
150307,0,0,0,0,0
150308,0,0,0,0,0
150309,0,0,0,0,0
150310,0,0,0,0,0
150311,0,0,0,0,0
150312,0,0,0,0,0
150313,0,0,0,0,0
150314,0,0,0,0,0
150315,0,0,1,0,0
150316,0,0,0,0,0
150317,1,0,0,1,0
150318,0,0,0,0,0
150319,0,0,0,0,0
150320,0,0,0,0,0
150321,0,0,0,0,0
150322,0,0,0,0,0
150323,1,1,1,1,1
150324,0,0,0,0,0
150325,0,0,0,0,0
150326,0,0,0,0,0
150327,0,1,0,0,0
150328,0,0,0,1,0
150329,0,0,0,0,0
150330,0,0,0,0,0
150331,0,0,0,0,0
150332,0,0,0,0,0
150333,0,0,0,0,0
150334,0,0,0,0,0
150335,0,0,0,0,0
150336,0,0,0,0,0
150337,0,0,1,0,0
150338,0,0,0,0,0
150339,0,0,0,0,0
150340,0,0,0,0,0
150341,0,0,0,0,0
150342,0,0,0,0,0
150343,0,0,0,0,0
150344,0,0,0,0,0
150345,0,0,1,0,1
150346,0,0,0,0,0
150347,0,1,0,0,0
150348,0,0,0,0,0
150349,0,0,0,1,0
150350,0,0,0,0,0
150351,0,0,0,0,0
150352,0,0,0,0,0
150353,0,0,0,0,0
150354,0,0,1,0,0
150355,0,0,0,0,0
150356,0,0,0,0,0
150357,0,1,0,0,0
150358,0,0,0,0,0
150359,1,0,0,0,0
150360,0,0,0,1,1
150361,1,1,1,1,1
150362,1,0,0,0,0
150363,0,0,0,0,0
150364,0,0,0,0,0
150365,0,0,0,0,0
150366,0,0,0,0,0
150367,0,0,0,0,0
150368,0,0,0,0,0
150369,0,0,0,0,0
150370,0,0,0,0,0
150371,0,0,0,0,0
150372,0,0,0,0,0
150373,0,0,0,0,0
150374,0,0,0,0,0
150375,0,0,0,0,0
150376,0,0,0,0,0
150377,0,0,0,0,0
150378,0,0,0,0,0
150379,1,0,0,1,1
150380,0,0,0,0,0
150381,1,0,1,0,1
150382,0,0,0,0,0
150383,1,0,0,0,0
150384,0,0,0,0,0
150385,0,0,0,0,0
150386,0,0,0,0,0
150387,0,0,0,0,0
150388,1,0,0,0,0
150389,0,0,0,0,0
150390,0,1,0,0,0
150391,0,0,0,0,0
150392,0,0,0,0,0
150393,0,0,0,0,0
150394,0,0,0,0,0
150395,0,0,0,0,0
150396,0,0,0,0,0
150397,0,0,0,0,0
150398,0,0,0,0,0
150399,0,0,0,0,0
150400,0,0,0,0,0
150401,0,0,0,0,0
150402,0,0,0,0,0
150403,0,0,0,0,0
150404,0,0,0,0,0
150405,0,0,0,0,0
150406,0,0,0,0,0
150407,0,0,0,0,0
150408,0,0,0,0,0
150409,0,0,0,0,0
150410,0,0,0,0,0
150411,0,0,0,0,0
150412,0,0,0,1,0
150413,0,0,0,0,0
150414,0,0,0,0,0
150415,0,1,0,0,0
150416,0,0,0,0,0
150417,0,0,0,0,0
150418,1,1,1,1,1
150419,0,0,0,0,0
150420,0,0,0,0,0
150421,0,0,0,0,0
150422,0,0,0,0,0
150423,0,0,0,0,0
150424,0,0,0,0,0
150425,0,0,0,0,0
150426,0,0,0,0,0
150427,0,0,0,0,0
150428,0,0,0,0,0
150429,0,0,0,0,0
150430,0,0,0,0,0
150431,1,1,0,0,0
150432,0,0,0,0,0
150433,1,1,1,1,1
150434,0,0,0,0,0
150435,0,1,1,0,0
150436,0,0,0,0,0
150437,0,0,0,0,0
150438,0,0,0,0,0
150439,0,1,0,0,0
150440,0,0,0,0,1
150441,1,0,0,0,0
150442,0,0,0,0,0
150443,0,0,0,1,0
150444,0,0,0,0,0
150445,0,0,0,0,0
150446,0,0,0,0,0
150447,1,0,0,0,0
150448,0,0,0,0,0
150449,0,0,0,0,0
150450,1,0,0,0,0
150451,0,0,0,0,0
150452,0,0,0,0,0
150453,0,0,0,0,0
150454,0,0,0,0,1
150455,1,0,0,0,1
150456,0,0,0,0,0
150457,0,0,0,0,0
150458,0,0,0,0,0
150459,0,1,0,0,1
150460,0,0,0,0,0
150461,0,0,0,0,0
150462,0,0,0,0,0
150463,0,0,0,0,0
150464,0,0,0,0,0
150465,0,0,0,0,1
150466,0,0,0,0,0
150467,0,0,0,0,0
150468,0,0,1,0,0
150469,0,0,0,0,0
150470,0,0,0,0,0
150471,0,1,0,0,0
150472,1,0,1,0,0
150473,1,0,1,1,1
150474,0,0,0,0,0
150475,0,0,0,0,0
150476,0,0,0,0,0
150477,1,0,0,0,0
150478,0,0,0,0,0
150479,0,0,0,0,0
150480,0,0,0,0,0
150481,0,0,0,0,0
150482,0,0,0,0,0
150483,0,0,0,1,0
150484,0,0,0,1,0
150485,0,0,0,0,0
150486,0,0,0,0,0
150487,0,0,0,0,0
150488,0,0,0,0,0
150489,0,0,0,0,0
150490,0,0,1,0,0
150491,0,0,0,0,0
150492,0,0,0,1,1
150493,0,0,0,0,0
150494,0,0,0,0,0
150495,0,0,1,0,0
150496,0,0,1,0,0
150497,0,0,0,0,0
150498,0,0,0,0,0
150499,0,0,0,0,0
150500,0,0,0,0,0
150501,0,0,0,0,0
150502,0,0,0,0,0
150503,0,0,0,0,0
150504,0,0,0,0,0
150505,0,0,0,0,0
150506,1,1,0,1,1
150507,0,0,0,0,0
150508,0,1,0,0,0
150509,0,1,0,1,0
150510,0,0,0,0,0
150511,0,0,0,0,0
150512,1,0,0,1,0
150513,0,0,0,0,0
150514,0,0,0,1,0
150515,0,0,0,0,0
150516,0,0,0,0,0
150517,0,0,0,0,0
150518,0,0,0,0,0
150519,0,0,0,0,0
150520,0,0,0,0,0
150521,0,0,1,0,0
150522,0,0,0,0,0
150523,0,0,0,0,0
150524,0,0,0,0,0
150525,0,0,0,0,0
150526,0,0,0,0,0
150527,0,0,0,0,0
150528,1,0,0,1,0
150529,0,0,0,0,0
150530,0,0,0,0,0
150531,1,1,0,0,0
150532,0,0,0,0,0
150533,1,1,0,0,0
150534,0,0,1,1,0
150535,0,0,0,0,0
150536,0,0,0,0,1
150537,0,0,0,0,0
150538,0,0,0,0,0
150539,0,0,0,0,0
150540,0,0,0,0,0
150541,0,0,0,0,0
150542,0,0,0,0,0
150543,1,0,1,0,1
150544,0,0,0,0,0
150545,0,1,1,0,1
150546,0,0,0,0,0
150547,0,0,0,0,0
150548,0,0,0,0,0
150549,0,0,0,0,0
150550,0,0,0,0,0
150551,1,0,0,0,0
150552,0,0,0,0,0
150553,0,0,0,0,0
150554,0,0,0,0,0
150555,0,0,0,0,0
150556,0,0,0,0,0
150557,0,0,0,0,0
150558,0,0,0,0,0
150559,0,0,0,0,0
150560,0,0,1,0,0
150561,0,0,0,0,0
150562,0,0,0,0,0
150563,0,0,0,0,0
150564,0,0,0,0,0
150565,0,0,0,0,0
150566,0,0,0,0,0
150567,0,0,0,0,0
150568,0,0,0,0,0
150569,0,0,0,0,0
150570,0,0,0,0,0
150571,0,0,0,0,0
150572,0,0,0,0,0
150573,0,0,0,0,0
150574,0,0,0,0,0
150575,0,0,0,0,0
150576,0,0,0,0,0
150577,0,0,0,1,1
150578,0,0,0,0,0
150579,0,0,0,0,0
150580,0,0,0,0,0
150581,0,0,0,0,0
150582,0,0,0,0,0
150583,0,0,0,0,0
150584,0,0,0,0,0
150585,0,0,0,0,0
150586,0,0,0,0,0
150587,0,0,0,0,0
150588,0,1,0,0,0
150589,0,0,0,0,0
150590,1,1,0,0,1
150591,0,0,0,0,0
150592,1,0,0,0,0
150593,0,0,0,0,0
150594,0,0,0,0,0
150595,0,0,0,0,0
150596,0,0,0,0,0
150597,0,0,0,1,0
150598,0,0,0,0,0
150599,0,0,0,0,0
150600,0,0,0,0,0
150601,0,0,0,0,0
150602,0,0,0,0,0
150603,0,0,0,0,1
150604,0,0,0,0,0
150605,0,0,0,0,0
150606,0,0,0,1,0
150607,0,0,0,0,0
150608,0,0,0,0,0
150609,0,0,0,0,0
150610,0,0,0,0,0
150611,0,0,0,0,0
150612,0,0,0,0,0
150613,0,0,0,0,0
150614,0,0,0,0,0
150615,0,0,0,0,0
150616,0,0,0,0,0
150617,0,0,0,0,0
150618,0,0,0,0,0
150619,0,0,0,0,0
150620,0,0,0,0,0
150621,0,0,0,0,0
150622,0,0,0,0,0
150623,0,0,0,0,0
150624,0,0,0,0,0
150625,0,0,0,0,0
150626,0,0,0,0,0
150627,0,0,0,0,0
150628,0,0,0,0,0
150629,0,0,0,0,0
150630,0,0,0,0,0
150631,0,0,0,0,0
150632,0,1,0,0,0
150633,0,0,0,0,0
150634,0,0,0,0,0
150635,0,0,1,0,1
150636,0,0,0,0,1
150637,1,1,0,0,0
150638,0,0,0,0,0
150639,0,0,0,0,0
150640,0,0,0,1,0
150641,0,0,0,0,0
150642,0,0,0,0,0
150643,0,0,1,1,0
150644,0,0,0,0,0
150645,0,0,0,0,0
150646,0,0,0,0,0
150647,0,0,0,0,0
150648,0,0,0,0,0
150649,0,0,0,0,0
150650,0,0,0,0,0
150651,0,0,1,0,0
150652,0,0,0,0,0
150653,0,0,0,1,1
150654,0,1,1,0,0
150655,0,0,0,0,0
150656,1,0,0,0,0
150657,0,0,0,0,0
150658,0,0,0,0,0
150659,0,0,0,0,0
150660,1,1,0,0,0
150661,0,0,0,0,0
150662,0,0,0,0,0
150663,0,0,0,0,0
150664,1,0,0,0,0
150665,1,0,0,1,0
150666,0,0,0,0,0
150667,1,0,0,1,1
150668,0,0,0,0,0
150669,0,0,0,0,0
150670,0,0,0,0,0
150671,0,0,0,0,0
150672,0,0,0,0,0
150673,0,0,0,0,0
150674,0,0,0,0,0
150675,0,0,0,0,0
150676,0,0,0,0,0
150677,0,0,0,0,0
150678,0,0,0,0,0
150679,0,0,0,0,0
150680,0,0,0,0,0
150681,0,0,0,0,0
150682,0,0,0,0,0
150683,1,1,1,0,0
150684,0,0,0,1,0
150685,0,0,0,0,0
150686,0,0,0,0,0
150687,0,0,0,0,0
150688,0,0,0,0,0
150689,0,0,0,0,0
150690,0,0,0,0,0
150691,0,0,0,1,0
150692,0,0,0,0,0
150693,0,0,0,0,0
150694,0,0,0,0,0
150695,0,0,0,0,0
150696,0,0,0,0,0
150697,0,0,0,0,0
150698,0,0,0,0,0
150699,0,0,0,0,0
150700,0,0,0,0,0
150701,0,0,0,0,0
150702,0,0,0,0,0
150703,0,0,0,0,0
150704,0,0,0,0,0
150705,0,0,0,0,0
150706,0,0,0,0,0
150707,0,0,0,0,0
150708,0,0,0,0,0
150709,0,0,0,0,0
150710,0,0,0,0,0
150711,0,0,0,0,0
150712,1,0,1,1,1
150713,0,1,0,0,0
150714,0,0,0,0,0
150715,0,0,0,1,0
150716,0,0,0,0,1
150717,0,0,0,0,0
150718,0,0,0,1,0
150719,1,0,0,0,0
150720,0,0,0,0,0
150721,0,0,0,0,0
150722,0,0,0,0,0
150723,0,0,0,0,0
150724,0,0,0,0,0
150725,0,0,0,0,0
150726,0,0,0,0,0
150727,0,0,0,0,0
150728,0,0,0,0,0
150729,0,0,0,0,0
150730,0,0,0,0,0
150731,0,0,0,0,0
150732,0,0,0,0,0
150733,0,0,0,0,0
150734,1,0,0,0,0
150735,0,0,0,0,1
150736,0,0,0,0,0
150737,0,0,0,0,0
150738,0,0,0,0,0
150739,0,0,0,0,0
150740,0,0,0,0,0
150741,0,0,0,0,0
150742,0,0,0,0,0
150743,0,0,0,0,0
150744,0,0,0,1,0
150745,0,0,0,0,0
150746,0,0,0,0,0
150747,0,0,0,0,0
150748,0,0,0,0,0
150749,0,0,0,0,0
150750,0,0,0,0,0
150751,0,1,0,0,0
150752,0,0,0,0,0
150753,0,0,0,0,0
150754,0,0,0,0,0
150755,0,0,0,0,1
150756,0,0,0,0,0
150757,0,0,1,0,0
150758,0,0,0,0,0
150759,0,0,0,0,0
150760,0,0,0,0,0
150761,0,0,0,0,0
150762,0,1,1,1,0
150763,0,0,0,0,0
150764,0,0,0,0,0
150765,0,0,0,0,0
150766,0,0,0,0,0
150767,0,0,0,0,0
150768,0,0,0,0,0
150769,0,0,0,0,0
150770,0,0,0,0,0
150771,0,0,0,0,0
150772,1,1,0,1,0
150773,0,0,0,0,0
150774,0,0,0,0,0
150775,0,0,0,0,0
150776,0,0,0,0,0
150777,0,0,0,0,0
150778,0,0,0,0,0
150779,0,0,0,0,0
150780,0,1,0,0,0
